date,tmax,tmin,precip,wind,rh
2023-01-01,21.8,11.1,0.0,11.9,64.375
2023-01-02,21.4,9.1,0.0,11.2,71.54166666666667
2023-01-03,20.7,8.6,0.0,13.9,75.20833333333333
2023-01-04,19.0,8.0,0.0,15.7,76.25
2023-01-05,19.7,7.6,0.0,13.7,76.79166666666667
2023-01-06,21.5,7.5,0.0,12.5,71.25
2023-01-07,21.7,7.2,0.0,9.5,65.25
2023-01-08,22.8,7.1,0.0,12.2,61.458333333333336
2023-01-09,23.9,8.7,0.0,11.0,52.666666666666664
2023-01-10,24.1,9.3,0.0,10.3,57.916666666666664
2023-01-11,24.8,9.6,0.0,10.3,56.916666666666664
2023-01-12,25.6,10.9,0.0,11.2,59.375
2023-01-13,25.7,12.4,0.0,16.4,65.375
2023-01-14,21.8,11.3,0.0,12.8,58.166666666666664
2023-01-15,20.3,9.2,0.0,10.7,65.45833333333333
2023-01-16,21.7,7.1,0.0,10.5,61.833333333333336
2023-01-17,21.2,8.2,0.0,12.7,57.25
2023-01-18,21.6,7.6,0.0,11.0,54.833333333333336
2023-01-19,23.5,8.0,0.0,11.2,60.083333333333336
2023-01-20,27.6,11.6,0.0,20.4,65.625
2023-01-21,26.5,12.9,0.1,10.6,71.58333333333333
2023-01-22,26.6,13.1,0.0,17.1,70.58333333333333
2023-01-23,27.4,15.0,0.0,18.0,69.91666666666667
2023-01-24,27.1,14.8,0.1,17.6,67.95833333333333
2023-01-25,22.5,16.1,7.5,13.3,84.70833333333333
2023-01-26,23.6,16.7,17.3,13.0,87.16666666666667
2023-01-27,22.8,15.2,0.0,14.8,85.875
2023-01-28,24.9,12.9,0.0,10.7,78.95833333333333
2023-01-29,27.6,13.8,0.0,14.8,67.91666666666667
2023-01-30,26.7,16.1,0.1,17.1,70.375
2023-01-31,23.8,13.7,0.0,15.1,77.29166666666667
2023-02-01,21.8,11.0,0.0,13.6,74.08333333333333
2023-02-02,22.8,8.4,0.0,11.8,65.625
2023-02-03,24.8,9.3,0.0,12.4,63.541666666666664
2023-02-04,25.1,9.6,0.0,11.5,51.333333333333336
2023-02-05,26.3,10.7,0.0,11.0,53.041666666666664
2023-02-06,27.8,12.0,0.0,11.8,50.375
