date,tmax,tmin,precip,wind,rh
2023-01-01,20.5,9.3,0.0,10.1,70.375
2023-01-02,19.8,8.8,0.0,10.4,78.79166666666667
2023-01-03,19.9,7.5,0.0,11.7,78.54166666666667
2023-01-04,18.2,7.3,0.0,13.0,80.5
2023-01-05,18.8,6.4,0.0,11.6,78.79166666666667
2023-01-06,19.3,5.0,0.0,9.7,76.29166666666667
2023-01-07,20.5,4.2,0.0,10.7,73.58333333333333
2023-01-08,22.0,5.0,0.0,9.6,58.666666666666664
2023-01-09,23.7,7.4,0.0,11.8,58.208333333333336
2023-01-10,23.3,9.9,0.0,11.4,55.125
2023-01-11,23.8,8.7,0.0,8.9,62.416666666666664
2023-01-12,24.6,10.2,0.0,10.7,64.16666666666667
2023-01-13,24.5,13.4,0.0,14.3,65.125
2023-01-14,21.6,10.9,0.0,11.8,67.33333333333333
2023-01-15,19.6,8.3,0.0,8.6,75.54166666666667
2023-01-16,20.1,5.9,0.0,11.3,70.25
2023-01-17,19.4,6.3,0.0,10.9,59.833333333333336
2023-01-18,20.3,5.0,0.0,11.1,59.75
2023-01-19,21.3,6.8,0.0,11.3,61.333333333333336
2023-01-20,26.5,10.7,0.1,20.4,63.25
2023-01-21,24.6,12.3,0.3,8.9,74.875
2023-01-22,25.8,14.4,0.1,22.1,77.875
2023-01-23,26.7,15.1,0.1,14.9,76.29166666666667
2023-01-24,27.4,13.8,0.0,9.4,69.54166666666667
2023-01-25,26.2,15.6,8.5,17.4,82.25
2023-01-26,20.2,16.2,14.0,12.0,91.33333333333333
2023-01-27,21.4,13.3,0.0,14.3,86.54166666666667
2023-01-28,22.1,10.1,0.0,9.5,75.91666666666667
2023-01-29,26.3,12.4,0.0,16.2,69.70833333333333
2023-01-30,25.2,15.2,3.6,14.7,72.75
2023-01-31,22.3,12.8,0.0,13.8,81.5
2023-02-01,20.7,8.9,0.0,11.2,76.875
2023-02-02,22.2,6.4,0.0,11.8,69.08333333333333
2023-02-03,23.8,10.2,0.0,12.9,59.75
2023-02-04,24.5,13.9,0.0,10.1,52.291666666666664
2023-02-05,25.7,9.5,0.0,12.0,55.291666666666664
2023-02-06,26.5,13.2,0.0,10.5,51.416666666666664
2023-02-07,25.8,11.9,0.0,11.4,60.541666666666664
2023-02-08,24.4,9.5,0.0,11.3,59.0
2023-02-09,26.6,12.9,0.0,12.6,55.125
2023-02-10,28.7,14.2,0.0,15.6,50.958333333333336
2023-02-11,26.9,14.9,0.0,15.3,53.333333333333336
2023-02-12,25.1,12.3,0.0,14.2,55.166666666666664
2023-02-13,22.6,9.7,0.0,13.4,49.375
2023-02-14,25.2,9.5,0.0,11.2,47.125
2023-02-15,27.5,10.9,0.0,10.7,53.333333333333336
2023-02-16,28.0,14.0,0.0,15.0,53.833333333333336
2023-02-17,26.7,12.2,0.0,11.9,66.95833333333333
2023-02-18,27.6,12.5,0.0,11.2,66.70833333333333
2023-02-19,28.6,13.8,0.0,11.1,60.833333333333336
2023-02-20,30.7,13.3,0.0,11.6,51.583333333333336
2023-02-21,30.8,16.8,0.0,16.5,41.625
2023-02-22,30.0,14.9,0.0,12.6,41.25
2023-02-23,29.8,14.9,0.0,10.7,51.458333333333336
2023-02-24,29.4,15.5,0.0,11.7,53.375
2023-02-25,29.5,15.7,0.0,9.7,47.375
2023-02-26,30.0,16.5,0.0,11.5,45.041666666666664
2023-02-27,30.2,17.3,0.0,12.2,39.583333333333336
2023-02-28,30.7,17.4,0.0,13.4,39.416666666666664
2023-03-01,30.5,18.6,0.0,16.4,42.833333333333336
2023-03-02,30.8,18.1,0.0,11.8,44.166666666666664
2023-03-03,31.7,17.8,0.0,11.8,43.916666666666664
2023-03-04,30.3,17.3,0.2,17.1,46.833333333333336
2023-03-05,30.5,18.2,0.0,12.8,52.375
2023-03-06,30.7,16.5,0.1,14.8,51.416666666666664
2023-03-07,25.2,17.2,4.2,18.1,66.875
2023-03-08,28.2,14.6,0.0,10.9,59.916666666666664
2023-03-09,28.2,16.0,0.0,14.9,59.458333333333336
2023-03-10,27.2,14.4,0.0,10.9,61.791666666666664
2023-03-11,28.7,15.4,0.0,10.7,49.166666666666664
2023-03-12,30.4,16.5,0.0,10.2,46.041666666666664
2023-03-13,31.3,17.1,0.0,10.1,42.791666666666664
2023-03-14,29.9,19.1,0.0,10.8,45.291666666666664
2023-03-15,32.0,17.5,0.0,10.3,39.0
2023-03-16,28.0,18.5,0.6,17.7,50.333333333333336
2023-03-17,28.7,16.9,0.8,15.7,58.291666666666664
2023-03-18,27.5,16.5,4.8,22.3,66.08333333333333
2023-03-19,27.1,16.6,9.6,12.3,70.625
2023-03-20,26.2,16.0,1.0,17.3,72.83333333333333
2023-03-21,28.1,15.5,0.0,18.7,62.0
2023-03-22,28.9,15.3,0.0,9.7,57.708333333333336
2023-03-23,29.4,16.7,0.0,11.0,49.333333333333336
2023-03-24,31.5,19.2,0.0,15.3,45.291666666666664
2023-03-25,32.3,20.4,0.0,17.0,42.166666666666664
2023-03-26,30.2,19.6,2.2,18.8,50.708333333333336
2023-03-27,31.1,17.8,0.0,11.9,52.791666666666664
2023-03-28,32.2,18.7,0.0,14.1,39.375
2023-03-29,33.5,19.0,0.0,17.3,36.25
2023-03-30,35.1,20.6,0.0,21.7,35.041666666666664
2023-03-31,30.1,19.9,2.7,21.4,51.958333333333336
2023-04-01,29.1,17.8,0.1,12.3,52.541666666666664
2023-04-02,32.0,18.7,0.0,21.5,44.416666666666664
2023-04-03,34.2,20.1,0.0,19.2,33.5
2023-04-04,33.0,21.2,0.0,18.0,33.708333333333336
2023-04-05,33.8,20.6,0.0,17.0,37.333333333333336
2023-04-06,33.0,19.7,0.0,10.9,34.708333333333336
2023-04-07,33.7,19.9,0.0,13.9,32.458333333333336
2023-04-08,31.0,20.4,5.0,19.7,56.291666666666664
2023-04-09,33.6,18.7,0.0,14.3,46.875
2023-04-10,34.6,18.9,0.0,15.3,35.833333333333336
2023-04-11,35.7,20.3,0.0,12.1,27.083333333333332
2023-04-12,37.1,20.6,0.0,12.4,26.791666666666668
2023-04-13,37.7,21.9,0.0,18.7,28.416666666666668
2023-04-14,37.0,23.6,0.0,14.6,25.75
2023-04-15,35.9,24.1,0.0,18.4,28.541666666666668
2023-04-16,37.7,24.1,0.0,20.5,29.708333333333332
2023-04-17,38.1,24.5,0.0,14.0,23.208333333333332
2023-04-18,38.3,23.2,0.0,15.9,22.416666666666668
2023-04-19,37.9,25.9,0.0,23.5,22.25
2023-04-20,36.2,25.4,0.5,28.2,29.541666666666668
2023-04-21,35.1,23.3,0.0,20.9,31.791666666666668
2023-04-22,34.7,21.2,1.0,10.2,28.916666666666668
2023-04-23,33.0,21.1,0.6,18.5,40.041666666666664
2023-04-24,34.1,19.9,0.0,24.5,43.625
2023-04-25,33.8,18.5,0.0,16.5,43.75
2023-04-26,33.6,21.7,0.1,20.4,47.666666666666664
2023-04-27,31.8,19.9,1.6,17.2,49.458333333333336
2023-04-28,31.8,21.7,9.7,21.7,56.916666666666664
2023-04-29,29.4,20.3,0.9,15.8,69.41666666666667
2023-04-30,29.5,19.6,8.5,13.6,78.83333333333333
2023-05-01,29.1,18.3,0.0,16.8,71.54166666666667
2023-05-02,30.1,18.8,8.3,13.3,68.54166666666667
2023-05-03,28.1,19.6,8.2,15.1,78.20833333333333
2023-05-04,31.1,19.4,7.5,16.8,72.08333333333333
2023-05-05,31.4,19.7,0.0,8.5,64.41666666666667
2023-05-06,34.8,21.0,0.0,12.6,50.25
2023-05-07,36.4,25.5,0.0,16.3,40.333333333333336
2023-05-08,37.3,24.4,0.0,14.8,37.666666666666664
2023-05-09,38.6,24.4,0.0,17.5,27.708333333333332
2023-05-10,39.2,21.3,0.0,21.5,18.5
2023-05-11,39.7,22.1,0.0,12.7,19.458333333333332
2023-05-12,40.3,22.1,0.0,21.9,19.541666666666668
2023-05-13,41.6,24.4,0.0,25.4,17.166666666666668
2023-05-14,41.6,24.7,0.0,21.0,19.875
2023-05-15,40.1,27.1,0.0,23.6,18.875
2023-05-16,39.2,27.6,0.0,21.6,30.416666666666668
2023-05-17,39.4,27.0,0.0,18.8,31.25
2023-05-18,37.6,27.2,0.1,21.8,31.166666666666668
2023-05-19,39.1,26.1,0.0,18.0,30.208333333333332
2023-05-20,40.8,26.0,0.0,15.6,22.75
2023-05-21,41.6,25.6,0.0,17.5,24.375
2023-05-22,39.9,28.3,0.1,19.9,29.291666666666668
2023-05-23,40.3,28.8,0.0,19.7,28.75
2023-05-24,40.3,28.5,0.0,20.8,24.25
2023-05-25,38.4,25.8,0.0,32.6,34.958333333333336
2023-05-26,35.7,25.1,0.1,17.9,37.583333333333336
2023-05-27,38.1,26.3,2.2,22.0,47.0
2023-05-28,37.7,25.2,0.0,26.7,47.25
2023-05-29,35.7,22.4,0.0,12.9,50.25
2023-05-30,37.5,24.3,0.1,19.1,49.791666666666664
2023-05-31,36.9,21.3,0.0,19.2,43.416666666666664
2023-06-01,38.0,23.1,0.0,17.2,33.375
2023-06-02,36.9,26.1,0.2,22.6,36.125
2023-06-03,36.9,25.5,0.5,15.2,40.5
2023-06-04,37.2,25.1,1.7,26.1,41.25
2023-06-05,37.7,24.7,0.0,16.7,36.75
2023-06-06,38.4,25.5,0.0,18.0,35.416666666666664
2023-06-07,38.9,26.7,0.0,15.0,30.75
2023-06-08,39.4,25.2,0.0,17.6,31.291666666666668
2023-06-09,38.2,28.0,0.0,19.4,35.875
2023-06-10,39.4,28.1,0.0,22.3,32.041666666666664
2023-06-11,38.7,28.8,1.4,24.8,33.791666666666664
2023-06-12,39.6,29.2,0.0,18.5,32.541666666666664
2023-06-13,39.5,28.0,8.0,24.8,47.375
2023-06-14,38.4,29.3,0.1,23.6,38.666666666666664
2023-06-15,38.3,28.7,0.0,21.3,39.5
2023-06-16,38.1,28.8,0.0,20.5,36.375
2023-06-17,38.2,28.9,0.0,21.1,39.083333333333336
2023-06-18,37.7,27.9,0.0,22.1,43.333333333333336
2023-06-19,37.6,28.1,1.9,28.3,50.916666666666664
2023-06-20,34.4,27.3,1.7,25.8,59.458333333333336
2023-06-21,36.4,27.5,1.0,20.9,58.875
2023-06-22,32.5,25.1,9.5,23.5,70.0
2023-06-23,31.7,25.1,13.7,18.4,81.125
2023-06-24,33.0,24.1,4.0,17.3,80.25
2023-06-25,32.6,24.2,16.2,14.4,82.08333333333333
2023-06-26,30.5,22.7,12.0,16.0,86.33333333333333
2023-06-27,32.0,23.1,39.2,19.1,86.66666666666667
2023-06-28,30.0,22.5,40.5,14.4,89.83333333333333
2023-06-29,29.0,23.0,15.6,17.0,90.5
2023-06-30,29.9,23.7,5.3,22.2,85.20833333333333
2023-07-01,30.2,23.9,10.3,21.2,85.45833333333333
2023-07-02,30.4,23.8,1.0,18.8,81.75
2023-07-03,32.8,24.4,0.7,14.9,77.58333333333333
2023-07-04,33.5,25.6,0.5,13.0,75.95833333333333
2023-07-05,32.3,25.1,33.6,12.3,85.04166666666667
2023-07-06,32.6,24.2,37.8,13.5,85.20833333333333
2023-07-07,30.4,24.6,13.8,9.3,89.08333333333333
2023-07-08,30.3,23.7,6.8,14.8,85.75
2023-07-09,29.1,24.1,25.3,25.3,85.125
2023-07-10,30.5,23.9,6.9,18.9,83.83333333333333
2023-07-11,29.1,24.0,14.5,16.8,85.75
2023-07-12,31.0,23.5,3.8,13.7,86.41666666666667
2023-07-13,29.8,23.1,11.3,12.7,86.66666666666667
2023-07-14,29.3,23.7,7.8,14.5,87.75
2023-07-15,28.6,23.7,20.6,17.3,92.95833333333333
2023-07-16,30.0,22.9,1.5,15.4,86.75
2023-07-17,30.0,23.3,22.4,14.2,88.75
2023-07-18,30.9,23.5,11.0,13.5,89.41666666666667
2023-07-19,31.2,24.3,36.3,14.8,85.625
2023-07-20,31.5,24.4,14.2,14.2,84.66666666666667
2023-07-21,32.4,23.5,6.1,15.8,81.0
2023-07-22,31.3,24.4,9.8,17.4,87.04166666666667
2023-07-23,31.7,24.2,2.2,19.2,85.45833333333333
2023-07-24,30.6,23.8,2.0,10.0,85.58333333333333
2023-07-25,31.0,24.1,0.9,14.8,84.75
2023-07-26,31.9,23.9,2.9,13.6,84.33333333333333
2023-07-27,32.0,24.9,1.3,15.6,82.125
2023-07-28,30.6,24.3,2.8,14.9,85.79166666666667
2023-07-29,30.3,24.4,3.8,20.7,84.95833333333333
2023-07-30,29.1,23.9,4.4,22.3,82.75
2023-07-31,29.0,23.4,4.4,20.5,84.83333333333333
2023-08-01,30.1,24.4,1.9,21.6,82.20833333333333
2023-08-02,28.3,24.4,5.6,23.6,88.16666666666667
2023-08-03,26.3,23.7,65.5,33.8,93.41666666666667
2023-08-04,26.7,23.0,24.0,26.2,92.04166666666667
2023-08-05,29.0,23.3,15.6,22.5,90.125
2023-08-06,28.9,23.7,1.6,23.1,87.16666666666667
2023-08-07,29.9,23.7,0.5,26.4,78.16666666666667
2023-08-08,29.5,23.7,0.9,23.0,77.875
2023-08-09,28.7,23.1,1.0,22.1,80.20833333333333
2023-08-10,30.5,23.4,0.3,20.7,76.91666666666667
2023-08-11,30.4,23.4,0.5,17.7,78.16666666666667
2023-08-12,30.2,23.5,0.4,20.9,77.25
2023-08-13,29.0,23.4,0.8,19.3,79.29166666666667
2023-08-14,29.0,23.2,1.4,15.0,80.0
2023-08-15,29.5,23.2,0.6,14.6,81.125
2023-08-16,30.0,23.4,1.0,17.9,82.58333333333333
2023-08-17,30.1,23.8,14.1,19.5,86.79166666666667
2023-08-18,30.5,23.0,21.6,15.2,88.54166666666667
2023-08-19,29.5,22.9,9.8,14.5,90.20833333333333
2023-08-20,30.8,23.9,1.3,14.0,85.66666666666667
2023-08-21,30.3,23.8,1.8,13.7,87.125
2023-08-22,30.6,23.7,15.2,16.3,85.875
2023-08-23,30.0,24.0,4.3,19.1,88.375
2023-08-24,28.3,23.4,1.1,21.7,82.25
2023-08-25,28.1,23.6,1.6,19.4,83.875
2023-08-26,29.7,22.1,1.1,19.5,78.04166666666667
2023-08-27,29.4,22.4,0.2,22.8,75.58333333333333
2023-08-28,29.0,22.1,0.1,22.7,75.41666666666667
2023-08-29,30.1,21.7,0.7,16.2,78.04166666666667
2023-08-30,30.5,22.8,1.1,13.5,75.25
2023-08-31,31.2,22.1,0.2,11.4,73.25
2023-09-01,32.1,23.4,0.2,14.3,72.91666666666667
2023-09-02,32.8,24.3,0.1,14.8,70.91666666666667
2023-09-03,33.4,24.4,0.0,14.7,65.16666666666667
2023-09-04,33.1,24.2,0.0,19.2,60.416666666666664
2023-09-05,30.0,23.1,15.4,17.1,80.41666666666667
2023-09-06,27.8,22.8,21.8,16.6,92.41666666666667
2023-09-07,28.7,23.1,16.2,19.3,89.91666666666667
2023-09-08,29.2,23.3,22.0,13.2,92.54166666666667
2023-09-09,28.4,23.2,12.9,8.7,92.29166666666667
2023-09-10,28.1,23.3,22.3,15.1,92.33333333333333
2023-09-11,28.9,23.0,11.7,21.2,89.125
2023-09-12,29.3,22.9,1.0,16.8,86.04166666666667
2023-09-13,29.3,23.4,4.9,14.2,87.16666666666667
2023-09-14,30.1,23.4,15.2,12.1,89.20833333333333
2023-09-15,26.9,22.8,37.8,27.7,94.5
2023-09-16,28.6,23.1,3.7,31.2,84.91666666666667
2023-09-17,29.1,22.9,1.1,29.2,78.20833333333333
2023-09-18,29.7,22.3,0.7,13.2,82.75
2023-09-19,30.7,21.9,0.1,8.6,76.79166666666667
2023-09-20,30.8,23.5,13.3,18.3,84.79166666666667
2023-09-21,29.9,23.5,16.2,16.1,90.04166666666667
2023-09-22,30.1,22.9,6.0,15.1,88.45833333333333
2023-09-23,30.5,23.4,0.5,12.0,84.70833333333333
2023-09-24,31.3,23.0,2.1,15.9,80.5
2023-09-25,30.6,22.5,2.7,10.5,85.33333333333333
2023-09-26,30.7,22.2,0.6,12.3,80.58333333333333
2023-09-27,31.0,22.2,0.0,13.6,75.58333333333333
2023-09-28,31.0,21.7,0.0,12.1,75.70833333333333
2023-09-29,30.9,23.5,0.0,12.0,68.5
2023-09-30,31.3,21.7,0.0,14.1,65.875
2023-10-01,31.0,20.7,0.0,14.6,72.625
2023-10-02,30.5,23.0,1.5,18.3,76.41666666666667
2023-10-03,31.2,21.2,0.0,18.5,64.375
2023-10-04,31.2,19.0,0.0,20.3,56.875
2023-10-05,31.1,18.7,0.0,18.9,56.125
2023-10-06,32.6,18.5,0.0,14.0,57.416666666666664
2023-10-07,33.0,20.1,0.0,13.9,58.708333333333336
2023-10-08,33.3,20.5,0.0,12.1,57.125
2023-10-09,33.6,22.3,0.0,14.2,59.0
2023-10-10,33.1,22.1,0.0,12.1,56.083333333333336
2023-10-11,33.3,21.7,0.0,14.5,49.75
2023-10-12,32.8,21.6,0.0,13.4,47.916666666666664
2023-10-13,32.9,21.6,0.0,11.3,46.0
2023-10-14,32.5,20.3,0.0,11.6,47.791666666666664
2023-10-15,32.4,22.1,0.0,13.4,48.666666666666664
2023-10-16,31.4,20.8,0.1,15.0,56.208333333333336
2023-10-17,30.1,19.5,0.3,15.0,66.83333333333333
2023-10-18,29.4,18.6,0.0,10.1,69.66666666666667
2023-10-19,28.7,19.3,0.4,10.4,66.625
2023-10-20,30.1,18.6,0.0,10.5,51.875
2023-10-21,30.6,18.2,0.0,13.1,51.166666666666664
2023-10-22,30.6,19.0,0.0,17.3,50.208333333333336
2023-10-23,29.0,17.5,0.0,15.6,55.791666666666664
2023-10-24,29.1,17.5,0.0,15.0,54.791666666666664
2023-10-25,29.3,17.0,0.0,16.2,48.541666666666664
2023-10-26,29.5,16.7,0.0,13.8,48.041666666666664
2023-10-27,29.5,17.9,0.0,11.3,47.625
2023-10-28,28.9,16.3,0.0,11.2,49.041666666666664
2023-10-29,29.7,16.1,0.0,10.8,50.375
2023-10-30,30.1,17.0,0.0,13.6,51.916666666666664
2023-10-31,29.6,18.2,0.0,12.2,54.958333333333336
2023-11-01,29.4,18.6,0.0,9.6,59.416666666666664
2023-11-02,29.5,18.5,0.0,10.9,56.791666666666664
2023-11-03,29.8,18.1,0.0,14.7,53.833333333333336
2023-11-04,30.4,16.7,0.0,13.3,48.416666666666664
2023-11-05,30.3,16.9,0.0,11.3,45.125
2023-11-06,30.3,17.6,0.0,11.0,44.625
2023-11-07,30.0,17.4,0.0,10.9,45.791666666666664
2023-11-08,30.8,17.9,0.0,10.2,46.666666666666664
2023-11-09,30.7,17.8,0.0,10.5,46.166666666666664
2023-11-10,31.4,18.9,0.0,9.5,46.208333333333336
2023-11-11,30.6,18.0,0.0,14.5,52.5
2023-11-12,26.8,16.7,0.0,10.5,69.58333333333333
2023-11-13,27.1,15.4,0.0,10.1,64.08333333333333
2023-11-14,27.4,15.8,0.0,13.4,59.25
2023-11-15,26.7,15.5,0.0,12.1,62.666666666666664
2023-11-16,27.0,16.2,0.0,11.5,61.25
2023-11-17,26.3,15.2,0.0,10.9,62.833333333333336
2023-11-18,27.6,15.2,0.0,10.5,65.45833333333333
2023-11-19,28.9,17.0,0.0,10.5,63.25
2023-11-20,28.7,17.7,0.0,13.9,63.708333333333336
2023-11-21,27.6,17.3,0.0,10.8,68.625
2023-11-22,27.5,15.4,0.0,8.7,67.5
2023-11-23,27.4,15.8,0.0,13.8,62.833333333333336
2023-11-24,26.4,16.2,0.0,12.4,53.041666666666664
2023-11-25,26.7,14.5,0.0,11.9,49.416666666666664
2023-11-26,25.9,13.4,0.0,11.5,55.25
2023-11-27,22.9,16.3,5.5,16.9,69.125
2023-11-28,23.5,15.7,0.9,12.3,79.41666666666667
2023-11-29,25.0,14.6,1.0,11.1,83.20833333333333
2023-11-30,25.6,16.7,3.5,14.0,86.5
2023-12-01,25.4,17.3,4.1,12.4,90.70833333333333
2023-12-02,24.9,17.3,0.0,15.2,86.125
2023-12-03,27.3,17.0,0.0,17.6,82.0
2023-12-04,27.4,17.2,0.6,15.2,83.16666666666667
2023-12-05,24.7,16.0,1.9,14.8,82.25
2023-12-06,23.6,16.8,0.0,21.1,77.95833333333333
2023-12-07,21.8,16.0,0.8,15.4,80.08333333333333
2023-12-08,23.9,13.8,0.0,11.8,77.875
2023-12-09,23.7,13.7,0.0,9.2,72.95833333333333
2023-12-10,24.0,13.3,0.0,8.2,69.95833333333333
2023-12-11,24.2,12.9,0.0,9.0,68.25
2023-12-12,24.3,12.4,0.0,9.2,68.66666666666667
2023-12-13,23.1,11.6,0.0,9.6,66.5
2023-12-14,23.7,11.3,0.0,8.6,56.083333333333336
2023-12-15,24.0,10.9,0.0,9.4,56.041666666666664
2023-12-16,24.9,12.1,0.0,10.8,59.25
2023-12-17,22.5,12.3,0.0,11.4,62.166666666666664
2023-12-18,21.8,9.8,0.0,16.3,60.708333333333336
2023-12-19,21.0,9.0,0.0,12.4,59.5
2023-12-20,22.5,9.2,0.0,10.6,58.541666666666664
2023-12-21,23.5,10.0,0.0,9.8,57.666666666666664
2023-12-22,23.0,10.2,0.0,8.7,63.708333333333336
2023-12-23,25.8,11.1,0.0,9.3,67.5
2023-12-24,26.0,12.1,0.0,9.8,70.04166666666667
2023-12-25,26.4,11.3,0.0,11.1,65.95833333333333
2023-12-26,25.9,10.5,0.0,9.3,63.5
2023-12-27,25.9,11.9,0.0,10.0,61.916666666666664
2023-12-28,25.2,11.4,0.0,11.9,64.75
2023-12-29,25.2,11.3,0.0,11.0,69.45833333333333
2023-12-30,25.6,11.6,0.0,10.1,75.83333333333333
2023-12-31,26.3,13.8,0.0,12.4,75.33333333333333
2024-01-01,26.2,14.1,0.5,12.0,77.33333333333333
2024-01-02,24.7,12.6,0.3,10.7,81.25
2024-01-03,22.4,13.4,0.5,10.0,86.29166666666667
2024-01-04,18.4,13.8,5.0,9.7,91.41666666666667
2024-01-05,18.7,13.3,8.6,13.5,92.08333333333333
2024-01-06,22.0,13.1,0.3,11.6,85.375
2024-01-07,19.2,11.9,0.0,11.9,89.625
2024-01-08,22.8,13.0,0.4,12.3,87.33333333333333
2024-01-09,24.9,14.0,0.7,11.5,88.625
2024-01-10,20.4,13.2,1.0,11.0,91.04166666666667
2024-01-11,22.9,11.9,0.0,9.8,87.16666666666667
2024-01-12,22.7,10.6,0.0,8.4,79.33333333333333
2024-01-13,25.1,11.4,0.0,10.0,73.70833333333333
2024-01-14,24.6,13.2,0.0,13.4,70.83333333333333
2024-01-15,21.7,10.8,0.0,9.5,71.5
2024-01-16,22.2,8.7,0.0,7.8,75.0
2024-01-17,23.5,9.6,0.0,12.5,66.54166666666667
2024-01-18,22.1,9.0,0.0,10.7,68.04166666666667
2024-01-19,20.9,6.5,0.0,11.8,71.04166666666667
2024-01-20,20.9,10.2,0.0,9.8,69.625
2024-01-21,20.5,7.3,0.0,8.5,76.25
2024-01-22,21.0,7.6,0.0,11.5,63.416666666666664
2024-01-23,21.1,8.2,0.0,11.6,63.291666666666664
2024-01-24,21.7,6.3,0.0,10.2,53.708333333333336
2024-01-25,22.0,7.3,0.0,11.1,48.708333333333336
2024-01-26,23.2,8.8,0.0,9.4,52.875
2024-01-27,23.9,9.3,0.0,8.6,57.875
2024-01-28,25.3,10.9,0.0,10.4,55.875
2024-01-29,27.1,12.5,0.0,17.8,51.75
2024-01-30,24.7,11.9,0.0,9.4,63.875
2024-01-31,25.5,13.9,0.0,10.3,57.75
2024-02-01,26.9,13.9,0.0,15.1,52.833333333333336
2024-02-02,26.3,13.2,0.0,20.2,61.875
2024-02-03,26.4,12.1,0.0,8.4,63.916666666666664
2024-02-04,29.5,15.3,0.0,18.0,55.875
2024-02-05,28.3,14.6,0.0,19.1,68.5
2024-02-06,25.2,15.6,0.1,15.0,79.5
2024-02-07,24.3,12.8,0.0,12.9,62.25
2024-02-08,21.8,11.6,0.0,14.1,41.541666666666664
2024-02-09,22.9,8.6,0.0,11.2,40.208333333333336
2024-02-10,24.3,11.2,0.0,13.9,46.791666666666664
2024-02-11,25.2,11.9,0.0,14.8,53.958333333333336
2024-02-12,26.0,13.5,1.6,14.1,70.25
2024-02-13,27.2,15.2,0.2,13.8,75.5
2024-02-14,25.5,15.6,0.2,11.0,76.45833333333333
2024-02-15,25.9,14.5,0.0,11.3,64.08333333333333
2024-02-16,27.3,14.1,0.0,12.2,59.583333333333336
2024-02-17,28.8,13.6,0.0,13.9,53.708333333333336
2024-02-18,29.9,15.5,0.0,15.5,50.625
2024-02-19,30.9,16.5,0.0,18.3,46.0
2024-02-20,29.8,18.4,0.0,18.2,39.333333333333336
2024-02-21,27.9,17.3,0.0,24.4,49.083333333333336
2024-02-22,25.9,14.8,0.2,19.8,57.125
2024-02-23,24.8,14.5,0.0,12.7,46.583333333333336
2024-02-24,26.2,13.5,0.0,18.8,37.333333333333336
2024-02-25,25.7,13.9,0.0,20.0,41.083333333333336
2024-02-26,25.2,15.7,0.0,21.0,44.708333333333336
2024-02-27,24.7,15.6,4.5,19.2,61.708333333333336
2024-02-28,26.6,12.7,0.0,10.7,63.083333333333336
2024-02-29,29.1,13.6,0.0,12.1,49.416666666666664
2024-03-01,32.4,16.5,0.0,12.7,42.208333333333336
2024-03-02,27.1,19.9,1.1,21.9,56.708333333333336
2024-03-03,27.6,16.8,2.9,19.9,72.08333333333333
2024-03-04,25.2,12.3,0.0,13.5,49.0
2024-03-05,25.2,12.3,0.0,11.2,54.958333333333336
2024-03-06,26.4,11.8,0.0,12.1,47.25
2024-03-07,28.0,13.3,0.0,11.3,47.416666666666664
2024-03-08,27.9,13.5,0.0,11.6,43.875
2024-03-09,29.1,13.8,0.0,15.3,40.833333333333336
2024-03-10,31.0,15.7,0.0,15.0,43.041666666666664
2024-03-11,31.4,17.1,0.0,12.1,45.916666666666664
2024-03-12,32.9,18.8,0.0,17.7,37.208333333333336
2024-03-13,31.9,17.5,0.0,17.8,36.083333333333336
2024-03-14,31.6,16.9,0.0,11.9,32.666666666666664
2024-03-15,30.9,17.7,0.0,14.3,39.416666666666664
2024-03-16,30.6,18.3,0.0,16.8,35.916666666666664
2024-03-17,31.1,18.1,0.0,16.0,35.791666666666664
2024-03-18,30.8,18.9,0.0,15.2,36.708333333333336
2024-03-19,30.6,18.2,0.0,18.9,29.5
2024-03-20,31.6,16.9,0.0,16.6,28.125
2024-03-21,31.0,16.1,0.0,11.6,35.083333333333336
2024-03-22,33.1,17.3,0.0,14.3,40.291666666666664
2024-03-23,35.6,19.6,0.0,14.8,26.416666666666668
2024-03-24,36.0,21.5,0.0,19.2,26.666666666666668
2024-03-25,35.2,20.4,0.0,16.9,30.25
2024-03-26,36.0,21.4,0.0,14.4,26.708333333333332
2024-03-27,37.4,22.9,0.0,13.6,25.333333333333332
2024-03-28,39.3,25.0,0.0,16.3,23.291666666666668
2024-03-29,39.2,24.2,0.0,15.2,28.833333333333332
2024-03-30,37.0,24.8,0.0,17.3,35.541666666666664
2024-03-31,36.1,23.7,0.0,25.0,26.375
2024-04-01,36.0,21.1,0.0,16.8,21.625
