date,tmax,tmin,precip,wind,rh
2023-01-01,21.5,10.5,0.0,10.2,74.58333333333333
2023-01-02,20.9,8.2,0.0,10.5,76.25
2023-01-03,20.7,7.9,0.0,14.9,81.54166666666667
2023-01-04,19.0,7.8,0.0,11.0,79.0
2023-01-05,18.6,5.4,0.0,12.6,83.20833333333333
2023-01-06,18.9,5.5,0.0,9.6,84.375
2023-01-07,19.6,5.2,0.0,10.5,76.66666666666667
2023-01-08,21.1,4.2,0.0,9.0,70.54166666666667
2023-01-09,22.4,5.5,0.0,8.4,69.91666666666667
2023-01-10,23.1,6.6,0.0,8.9,73.91666666666667
2023-01-11,23.5,8.1,0.0,10.5,75.54166666666667
2023-01-12,24.7,8.3,0.0,9.4,72.16666666666667
2023-01-13,26.4,12.0,0.0,11.0,67.66666666666667
2023-01-14,24.7,12.1,0.0,14.7,76.54166666666667
2023-01-15,20.5,9.2,0.0,10.1,74.58333333333333
2023-01-16,19.6,6.4,0.0,9.9,68.66666666666667
2023-01-17,19.6,6.1,0.0,10.8,65.66666666666667
2023-01-18,20.2,6.2,0.0,11.4,68.08333333333333
2023-01-19,21.2,6.5,0.0,9.2,64.625
2023-01-20,25.1,7.5,0.0,13.6,69.08333333333333
2023-01-21,25.1,12.0,0.3,10.1,77.5
2023-01-22,25.7,14.2,1.8,16.8,80.16666666666667
2023-01-23,27.4,14.4,0.0,13.4,73.5
2023-01-24,28.5,14.5,0.0,12.7,59.041666666666664
2023-01-25,28.0,16.8,1.5,14.5,69.41666666666667
2023-01-26,24.4,17.0,0.0,15.5,85.625
2023-01-27,25.0,14.5,0.0,15.3,78.70833333333333
2023-01-28,23.4,10.0,0.0,7.5,62.833333333333336
2023-01-29,26.2,9.2,0.0,12.5,65.875
2023-01-30,28.5,12.0,0.0,17.3,65.58333333333333
2023-01-31,23.9,13.7,0.0,16.9,79.25
2023-02-01,22.1,10.8,0.0,13.7,69.95833333333333
2023-02-02,23.4,8.5,0.0,12.8,71.29166666666667
2023-02-03,25.1,8.4,0.0,13.2,68.875
2023-02-04,25.7,9.1,0.0,14.0,67.20833333333333
2023-02-05,27.1,10.2,0.0,13.5,61.0
2023-02-06,28.2,11.8,0.0,12.6,55.833333333333336
2023-02-07,28.2,13.6,0.0,18.0,53.875
2023-02-08,25.7,12.3,0.0,15.9,59.375
2023-02-09,27.4,10.1,0.0,9.4,58.208333333333336
2023-02-10,30.2,12.5,0.0,15.9,51.541666666666664
2023-02-11,29.6,14.3,0.0,20.1,51.958333333333336
2023-02-12,26.3,13.4,0.0,24.9,49.5
2023-02-13,23.7,11.1,0.0,22.1,40.625
2023-02-14,25.5,9.8,0.0,17.4,45.958333333333336
2023-02-15,27.3,11.4,0.0,15.6,49.875
2023-02-16,26.8,11.1,0.0,11.9,59.333333333333336
2023-02-17,27.1,12.7,0.0,11.3,62.125
2023-02-18,28.0,13.3,0.0,9.9,66.66666666666667
2023-02-19,28.6,14.4,0.0,10.0,64.95833333333333
2023-02-20,30.9,13.6,0.0,10.4,58.541666666666664
2023-02-21,33.0,15.0,0.0,17.7,49.375
2023-02-22,31.5,15.0,0.0,13.6,44.625
2023-02-23,30.8,15.5,0.0,12.0,46.333333333333336
2023-02-24,30.4,15.2,0.0,13.0,44.25
2023-02-25,30.1,14.1,0.0,13.2,47.291666666666664
2023-02-26,31.0,15.7,0.0,11.0,38.25
2023-02-27,31.6,16.3,0.0,12.0,40.666666666666664
2023-02-28,31.3,16.7,0.0,13.0,43.208333333333336
2023-03-01,32.9,19.5,0.0,15.6,38.708333333333336
2023-03-02,32.5,16.6,0.0,12.5,45.708333333333336
2023-03-03,33.8,16.5,0.0,17.6,44.083333333333336
2023-03-04,33.1,18.1,0.0,16.1,45.541666666666664
2023-03-05,32.7,17.7,0.0,16.3,46.458333333333336
2023-03-06,32.0,16.6,0.0,17.5,46.666666666666664
2023-03-07,29.5,16.6,0.9,17.3,58.166666666666664
2023-03-08,28.6,15.7,0.0,11.0,58.916666666666664
2023-03-09,30.0,16.9,0.0,17.8,55.333333333333336
2023-03-10,30.2,16.5,0.0,12.7,51.083333333333336
2023-03-11,30.7,16.8,0.0,13.5,46.833333333333336
2023-03-12,31.7,17.2,0.0,14.6,43.833333333333336
2023-03-13,32.3,17.9,0.0,9.4,44.416666666666664
2023-03-14,33.0,18.3,0.0,19.5,42.875
2023-03-15,33.4,17.5,0.0,13.2,39.583333333333336
2023-03-16,30.4,19.6,0.7,20.6,49.666666666666664
2023-03-17,30.0,17.9,5.3,20.5,60.666666666666664
2023-03-18,28.3,17.5,0.5,11.6,63.208333333333336
2023-03-19,27.5,18.1,1.0,12.5,72.83333333333333
2023-03-20,23.8,17.3,6.6,11.6,78.91666666666667
2023-03-21,28.4,16.5,3.4,17.1,72.29166666666667
2023-03-22,29.0,15.1,0.0,16.3,64.16666666666667
2023-03-23,29.8,15.7,0.0,13.0,58.25
2023-03-24,31.3,18.5,2.4,11.6,54.125
2023-03-25,33.0,19.8,0.0,17.8,51.125
2023-03-26,30.5,20.3,2.3,16.1,59.916666666666664
2023-03-27,31.4,18.4,0.0,12.5,53.166666666666664
2023-03-28,31.8,19.2,0.0,11.6,42.666666666666664
2023-03-29,32.9,18.3,0.0,13.8,39.541666666666664
2023-03-30,33.9,19.8,0.0,18.9,44.791666666666664
2023-03-31,30.5,19.5,6.0,28.3,68.95833333333333
2023-04-01,30.0,16.9,0.0,20.2,69.125
2023-04-02,31.1,16.8,0.0,21.2,52.333333333333336
2023-04-03,33.8,17.5,0.0,18.8,44.041666666666664
2023-04-04,34.7,18.7,0.0,23.3,40.458333333333336
2023-04-05,33.3,19.9,0.0,15.0,42.75
2023-04-06,33.7,18.3,0.0,10.5,38.208333333333336
2023-04-07,34.0,20.3,0.0,11.2,33.291666666666664
2023-04-08,33.6,20.9,0.0,13.1,38.708333333333336
2023-04-09,32.3,19.9,0.0,20.4,50.0
2023-04-10,35.5,19.5,0.0,18.8,35.833333333333336
2023-04-11,36.5,18.5,0.0,20.9,27.041666666666668
2023-04-12,37.8,21.1,0.0,14.1,28.833333333333332
2023-04-13,38.6,20.5,0.0,15.6,30.583333333333332
2023-04-14,38.4,21.8,0.0,12.8,33.083333333333336
2023-04-15,38.9,23.1,0.0,23.5,28.5
2023-04-16,39.0,23.9,0.0,16.8,29.166666666666668
2023-04-17,39.4,22.2,0.0,12.0,30.708333333333332
2023-04-18,39.9,24.3,0.0,22.2,24.833333333333332
2023-04-19,40.8,23.4,0.0,25.3,24.041666666666668
2023-04-20,37.0,23.0,0.3,25.6,28.458333333333332
2023-04-21,37.1,26.1,0.0,27.3,30.375
2023-04-22,33.9,21.9,1.0,19.6,37.583333333333336
2023-04-23,34.8,22.1,1.5,15.5,47.458333333333336
2023-04-24,34.2,19.4,0.0,23.8,48.125
2023-04-25,33.8,19.0,0.0,13.1,50.666666666666664
2023-04-26,34.8,22.0,0.0,13.1,44.458333333333336
2023-04-27,33.8,22.5,0.0,20.1,44.5
2023-04-28,34.0,22.4,0.2,21.2,46.458333333333336
2023-04-29,32.9,23.6,0.3,17.7,48.25
2023-04-30,31.4,22.5,7.7,24.2,65.45833333333333
2023-05-01,29.7,19.9,19.3,16.1,72.875
2023-05-02,31.6,18.7,8.1,24.4,69.45833333333333
2023-05-03,28.6,21.4,0.4,17.0,70.91666666666667
2023-05-04,31.2,20.4,7.6,15.0,72.33333333333333
2023-05-05,32.6,21.0,0.0,13.7,59.791666666666664
2023-05-06,34.6,20.4,0.0,16.4,47.041666666666664
2023-05-07,36.5,22.2,0.0,19.6,44.5
2023-05-08,36.9,22.7,0.0,19.5,49.833333333333336
2023-05-09,39.3,23.4,0.0,18.9,37.041666666666664
2023-05-10,38.1,21.8,0.0,21.0,23.958333333333332
2023-05-11,37.7,23.1,0.0,16.2,25.125
2023-05-12,37.6,22.2,0.0,10.5,29.958333333333332
2023-05-13,38.9,22.1,0.0,14.0,29.5
2023-05-14,40.5,22.6,0.0,20.8,30.583333333333332
2023-05-15,39.6,24.1,0.0,22.4,27.625
2023-05-16,39.5,23.9,0.0,20.1,29.416666666666668
2023-05-17,40.3,26.2,0.0,16.3,28.916666666666668
2023-05-18,38.9,24.8,0.0,24.0,30.916666666666668
2023-05-19,39.4,25.3,0.0,20.2,33.958333333333336
2023-05-20,40.5,24.7,0.0,17.9,28.416666666666668
2023-05-21,41.5,24.1,0.0,23.4,25.666666666666668
2023-05-22,41.0,27.0,0.0,26.6,27.958333333333332
2023-05-23,41.8,26.0,0.0,23.2,28.166666666666668
2023-05-24,40.6,27.3,0.0,20.8,33.291666666666664
2023-05-25,34.9,26.0,0.7,22.6,51.708333333333336
2023-05-26,33.0,23.4,1.8,21.3,61.333333333333336
2023-05-27,35.9,22.6,4.8,30.0,68.33333333333333
2023-05-28,35.8,22.8,0.1,12.1,63.666666666666664
2023-05-29,35.0,23.3,0.0,20.0,64.0
2023-05-30,36.2,25.2,0.1,16.6,52.375
2023-05-31,36.8,24.7,0.0,13.8,46.541666666666664
2023-06-01,36.7,23.8,0.0,18.3,43.041666666666664
2023-06-02,36.2,24.5,0.7,16.2,44.333333333333336
2023-06-03,38.3,25.3,0.0,12.2,40.25
2023-06-04,36.7,25.2,0.4,10.4,45.833333333333336
2023-06-05,36.5,24.9,0.0,10.7,46.75
2023-06-06,38.6,26.2,0.0,17.8,38.416666666666664
2023-06-07,39.7,27.0,0.0,15.6,33.458333333333336
2023-06-08,40.1,25.9,0.0,19.0,31.375
2023-06-09,39.7,25.8,0.0,22.0,32.958333333333336
2023-06-10,39.9,28.0,0.0,24.4,34.708333333333336
2023-06-11,40.6,28.5,0.0,27.3,31.5
2023-06-12,40.5,28.5,0.0,20.7,35.125
2023-06-13,41.5,30.1,0.0,24.7,33.75
2023-06-14,40.2,30.8,0.1,28.4,36.416666666666664
2023-06-15,40.5,31.7,0.0,28.9,33.0
2023-06-16,40.4,29.7,0.0,24.1,32.875
2023-06-17,41.0,29.0,0.0,21.0,35.333333333333336
2023-06-18,39.9,31.8,0.0,23.1,36.25
2023-06-19,39.9,30.9,0.0,23.5,40.166666666666664
2023-06-20,39.1,29.3,0.1,20.5,47.875
2023-06-21,38.0,29.5,0.9,23.6,55.458333333333336
2023-06-22,35.2,25.7,4.0,25.0,64.79166666666667
2023-06-23,35.1,27.5,2.2,15.3,66.54166666666667
2023-06-24,35.5,27.0,1.0,11.2,71.79166666666667
2023-06-25,35.7,26.3,18.9,17.8,70.41666666666667
2023-06-26,31.9,24.9,25.0,17.7,84.16666666666667
2023-06-27,34.3,25.5,5.7,20.2,71.25
2023-06-28,31.5,26.0,16.8,10.9,80.75
2023-06-29,28.7,24.9,12.5,18.7,86.79166666666667
2023-06-30,32.0,24.6,13.1,20.2,83.04166666666667
2023-07-01,33.5,25.9,7.3,20.1,76.16666666666667
2023-07-02,32.4,25.9,6.3,16.0,77.79166666666667
2023-07-03,33.8,26.6,0.5,16.3,72.58333333333333
2023-07-04,34.5,27.3,3.6,12.0,73.375
2023-07-05,34.0,27.6,6.8,13.0,74.5
2023-07-06,35.0,26.3,16.8,12.5,78.04166666666667
2023-07-07,32.0,25.9,13.9,12.1,84.91666666666667
2023-07-08,31.8,25.5,2.6,15.9,80.0
2023-07-09,32.5,26.0,1.1,18.6,78.08333333333333
2023-07-10,32.7,25.4,5.1,13.4,79.66666666666667
2023-07-11,32.6,26.1,5.5,13.0,79.875
2023-07-12,33.5,25.9,1.3,10.8,76.125
2023-07-13,34.2,27.1,0.3,13.8,70.04166666666667
2023-07-14,32.7,26.9,5.3,11.0,77.29166666666667
2023-07-15,30.6,25.3,19.2,13.0,87.875
2023-07-16,32.4,24.1,21.6,10.1,83.54166666666667
2023-07-17,31.3,24.8,11.4,16.8,84.625
2023-07-18,32.8,25.6,1.4,18.2,79.08333333333333
2023-07-19,34.1,26.6,0.3,20.1,70.70833333333333
2023-07-20,34.3,27.2,0.1,16.6,67.16666666666667
2023-07-21,35.1,27.9,1.1,20.5,64.5
2023-07-22,33.8,27.7,5.4,24.7,74.125
2023-07-23,34.5,26.7,3.4,20.9,72.08333333333333
2023-07-24,33.9,26.6,9.6,13.6,75.70833333333333
2023-07-25,34.4,25.2,12.8,15.9,74.41666666666667
2023-07-26,35.2,26.7,0.1,16.1,68.125
2023-07-27,35.1,27.6,1.8,15.8,68.5
2023-07-28,35.1,26.9,4.9,13.0,70.16666666666667
2023-07-29,33.9,24.7,16.4,16.9,82.125
2023-07-30,32.9,25.5,4.1,17.6,80.25
2023-07-31,33.1,26.0,4.2,18.9,77.375
2023-08-01,31.4,26.2,21.5,18.0,82.66666666666667
2023-08-02,29.7,25.3,74.6,26.3,91.25
2023-08-03,30.8,24.8,26.6,23.5,90.29166666666667
2023-08-04,30.3,25.0,12.9,15.3,87.95833333333333
2023-08-05,29.8,25.1,13.3,15.3,88.79166666666667
2023-08-06,29.1,24.6,21.2,21.2,87.41666666666667
2023-08-07,31.3,25.6,2.3,22.8,78.45833333333333
2023-08-08,31.0,25.6,1.2,23.2,74.16666666666667
2023-08-09,30.2,25.8,0.8,19.1,77.66666666666667
