date,tmax,tmin,precip,wind,rh
2023-01-01,22.8,11.6,0.0,10.0,68.75
2023-01-02,22.8,9.9,0.0,10.9,67.45833333333333
2023-01-03,22.4,9.4,0.0,13.0,73.75
2023-01-04,20.8,10.0,0.1,16.3,76.54166666666667
2023-01-05,21.5,8.7,0.0,14.5,72.875
2023-01-06,21.1,7.5,0.0,10.9,68.375
2023-01-07,21.5,5.9,0.0,11.5,69.0
2023-01-08,21.9,6.0,0.0,11.2,61.833333333333336
2023-01-09,23.5,7.5,0.0,10.2,58.041666666666664
2023-01-10,23.6,8.3,0.0,11.3,61.166666666666664
2023-01-11,24.6,8.5,0.0,10.6,61.708333333333336
2023-01-12,24.9,9.3,0.0,10.0,63.416666666666664
2023-01-13,25.8,11.9,0.0,10.1,68.91666666666667
2023-01-14,24.0,12.8,0.0,13.2,69.54166666666667
2023-01-15,21.1,9.9,0.0,10.5,73.45833333333333
2023-01-16,22.0,8.5,0.0,12.0,68.70833333333333
2023-01-17,21.9,10.0,0.0,13.0,55.833333333333336
2023-01-18,22.3,7.8,0.0,12.6,55.333333333333336
2023-01-19,24.1,9.2,0.0,12.4,60.166666666666664
2023-01-20,28.9,12.0,0.1,18.4,62.458333333333336
2023-01-21,28.2,16.2,0.0,12.3,59.125
2023-01-22,29.1,16.0,0.0,19.1,56.875
2023-01-23,28.5,14.6,0.0,14.0,53.0
2023-01-24,29.5,16.3,0.0,14.8,58.458333333333336
2023-01-25,29.6,17.8,0.2,14.7,66.20833333333333
2023-01-26,26.5,16.8,0.0,14.4,80.75
2023-01-27,25.7,17.3,0.0,15.6,75.04166666666667
2023-01-28,26.1,14.1,0.0,13.3,69.08333333333333
2023-01-29,29.7,13.9,0.0,12.2,58.458333333333336
2023-01-30,30.9,15.7,0.0,19.1,60.458333333333336
2023-01-31,25.7,15.3,0.0,18.5,72.0
2023-02-01,24.4,11.9,0.0,12.6,62.791666666666664
2023-02-02,24.7,9.0,0.0,9.7,60.291666666666664
