date,tmax,tmin,precip,wind,rh
2023-01-01,20.1,7.8,0.0,10.3,76.41666666666667
2023-01-02,19.3,8.6,0.0,9.8,74.75
2023-01-03,18.3,6.6,0.0,11.2,80.58333333333333
2023-01-04,16.6,5.9,0.0,10.9,81.625
2023-01-05,15.8,4.3,0.0,9.3,84.33333333333333
2023-01-06,15.8,4.4,0.0,8.3,86.0
2023-01-07,17.1,4.3,0.0,9.5,82.41666666666667
2023-01-08,20.2,4.6,0.0,11.5,76.79166666666667
2023-01-09,21.5,6.6,0.0,9.9,77.20833333333333
2023-01-10,22.8,8.2,0.0,10.9,75.41666666666667
2023-01-11,23.8,10.0,0.0,10.9,80.375
2023-01-12,24.2,12.1,1.0,12.9,77.33333333333333
2023-01-13,24.7,12.3,0.0,11.8,70.5
2023-01-14,19.8,9.7,0.0,16.4,80.16666666666667
2023-01-15,16.6,6.7,0.0,13.2,66.0
2023-01-16,17.1,4.6,0.0,11.3,61.25
2023-01-17,17.6,5.3,0.0,10.9,63.416666666666664
2023-01-18,18.2,6.7,0.0,10.4,53.375
2023-01-19,20.7,5.5,0.0,10.3,56.208333333333336
2023-01-20,21.4,6.3,0.0,10.5,59.375
2023-01-21,22.8,8.8,0.0,10.8,71.875
2023-01-22,23.0,9.9,1.1,13.8,74.25
2023-01-23,22.2,11.2,2.5,10.5,82.375
2023-01-24,24.0,14.2,6.7,18.8,84.66666666666667
2023-01-25,23.1,15.6,8.2,11.8,86.41666666666667
2023-01-26,21.0,13.1,0.0,14.9,82.66666666666667
2023-01-27,19.4,9.4,0.0,16.4,70.375
2023-01-28,22.0,7.4,0.0,9.6,61.958333333333336
2023-01-29,22.0,9.9,0.1,14.5,65.625
2023-01-30,20.5,11.7,15.7,18.7,82.375
2023-01-31,20.9,11.2,0.0,18.2,84.95833333333333
2023-02-01,20.8,9.6,0.0,15.5,75.91666666666667
2023-02-02,22.6,9.9,0.0,15.1,68.45833333333333
2023-02-03,24.2,11.2,0.0,11.2,63.916666666666664
2023-02-04,25.0,11.1,0.0,13.9,65.375
2023-02-05,26.4,13.2,0.0,13.6,61.458333333333336
2023-02-06,28.9,12.9,0.0,13.4,61.375
2023-02-07,25.5,14.0,0.0,15.6,58.291666666666664
2023-02-08,24.3,12.2,0.0,13.6,60.916666666666664
2023-02-09,28.1,11.4,0.0,12.6,57.333333333333336
2023-02-10,30.7,15.1,0.0,14.2,47.291666666666664
2023-02-11,27.8,16.6,0.0,16.4,53.125
2023-02-12,25.2,12.9,0.0,19.3,52.208333333333336
2023-02-13,23.0,11.3,0.0,22.1,37.625
2023-02-14,25.4,10.8,0.0,13.3,42.791666666666664
2023-02-15,27.2,13.3,0.0,12.7,50.375
