date,tmax,tmin,precip,wind,rh
2023-01-01,19.4,8.8,0.0,10.5,71.08333333333333
2023-01-02,20.0,7.7,0.0,9.7,70.25
2023-01-03,19.0,8.8,0.0,10.1,76.70833333333333
2023-01-04,17.2,7.3,0.0,11.8,84.83333333333333
2023-01-05,18.6,7.2,0.0,10.7,84.41666666666667
2023-01-06,19.6,8.2,0.0,9.4,71.45833333333333
2023-01-07,19.8,8.2,0.0,9.0,55.083333333333336
2023-01-08,19.8,8.9,0.0,8.7,41.958333333333336
2023-01-09,22.4,9.9,0.0,9.6,39.208333333333336
2023-01-10,21.0,13.4,0.0,8.4,44.25
2023-01-11,23.0,12.2,0.0,7.6,47.875
2023-01-12,21.7,10.0,0.0,8.6,55.333333333333336
2023-01-13,21.8,11.0,0.0,9.7,65.25
2023-01-14,19.7,9.7,0.0,9.1,63.875
2023-01-15,19.7,7.7,0.0,8.1,66.33333333333333
2023-01-16,20.7,8.2,0.0,9.3,71.20833333333333
2023-01-17,19.4,8.5,0.0,8.4,74.54166666666667
2023-01-18,20.6,7.2,0.0,9.6,67.66666666666667
2023-01-19,21.7,10.7,0.0,9.1,67.75
2023-01-20,24.0,14.0,0.0,19.5,64.83333333333333
2023-01-21,24.4,13.8,0.0,12.8,61.375
2023-01-22,24.0,14.9,0.0,17.7,60.041666666666664
2023-01-23,23.9,14.5,0.0,16.2,54.875
2023-01-24,24.6,14.0,0.0,14.0,63.416666666666664
2023-01-25,24.4,14.5,2.2,12.7,69.83333333333333
2023-01-26,22.9,14.2,0.0,10.2,82.16666666666667
2023-01-27,21.2,13.6,0.0,12.3,84.54166666666667
2023-01-28,23.6,11.8,0.3,10.9,75.20833333333333
2023-01-29,25.0,14.4,0.0,13.5,60.125
2023-01-30,24.9,13.9,0.0,13.0,65.95833333333333
2023-01-31,21.4,12.0,6.2,12.4,78.08333333333333
2023-02-01,20.0,9.7,0.0,10.7,66.45833333333333
2023-02-02,21.0,7.9,0.0,9.2,52.25
2023-02-03,22.7,9.5,0.0,9.0,43.0
2023-02-04,22.4,13.4,0.0,10.0,36.0
2023-02-05,23.6,15.1,0.0,9.7,30.708333333333332
2023-02-06,24.8,13.1,0.0,11.9,40.625
2023-02-07,24.1,12.5,0.0,10.5,50.25
2023-02-08,22.9,11.6,0.0,10.2,45.166666666666664
2023-02-09,25.5,13.4,0.0,8.8,35.916666666666664
2023-02-10,27.3,13.3,0.0,12.0,36.75
2023-02-11,25.2,14.5,0.0,11.5,41.875
2023-02-12,23.7,13.8,0.0,15.2,44.125
2023-02-13,22.2,10.6,0.0,11.6,42.416666666666664
2023-02-14,24.4,11.0,0.0,9.0,36.666666666666664
2023-02-15,25.8,13.5,0.0,12.0,38.75
2023-02-16,26.5,12.9,0.0,13.5,41.291666666666664
2023-02-17,25.2,13.0,0.0,12.3,51.125
2023-02-18,26.3,13.6,0.0,10.5,53.583333333333336
