date,tmax,tmin,precip,wind,rh
2023-01-01,23.1,13.4,0.0,15.6,68.375
2023-01-02,22.9,11.6,0.0,14.8,68.33333333333333
2023-01-03,22.6,11.7,0.0,14.3,70.33333333333333
2023-01-04,21.1,10.8,0.0,17.1,73.75
2023-01-05,21.4,10.5,0.0,19.0,71.45833333333333
2023-01-06,22.1,10.9,0.0,17.1,65.91666666666667
2023-01-07,21.9,9.7,0.0,13.9,65.70833333333333
2023-01-08,22.6,8.0,0.0,10.3,68.58333333333333
2023-01-09,23.9,9.2,0.0,10.2,65.08333333333333
2023-01-10,24.3,9.2,0.0,10.4,66.83333333333333
2023-01-11,24.5,8.6,0.0,10.2,60.041666666666664
2023-01-12,25.3,10.2,0.0,10.8,64.95833333333333
2023-01-13,26.1,12.5,0.0,12.3,70.25
2023-01-14,23.3,13.3,0.0,8.6,62.625
2023-01-15,21.8,9.9,0.0,11.1,70.41666666666667
2023-01-16,23.3,9.8,0.0,12.6,70.0
2023-01-17,22.7,11.2,0.0,15.0,59.916666666666664
2023-01-18,22.7,10.1,0.0,16.0,56.958333333333336
2023-01-19,24.6,11.0,0.0,14.9,60.916666666666664
2023-01-20,29.7,12.9,0.0,17.8,62.75
2023-01-21,28.2,14.3,0.0,9.2,68.875
2023-01-22,28.2,14.8,0.0,11.9,69.5
2023-01-23,29.4,16.6,0.0,16.7,62.375
2023-01-24,28.3,18.2,0.2,10.2,65.08333333333333
2023-01-25,27.2,17.5,0.5,16.5,76.41666666666667
2023-01-26,24.5,17.8,0.6,15.5,83.66666666666667
2023-01-27,24.9,16.9,0.1,19.2,80.91666666666667
2023-01-28,26.3,15.9,0.0,14.5,77.66666666666667
2023-01-29,30.0,15.6,0.0,12.5,64.75
2023-01-30,27.9,17.3,0.2,15.0,70.33333333333333
2023-01-31,25.8,16.5,0.0,14.1,72.29166666666667
2023-02-01,24.0,13.2,0.0,17.4,67.0
2023-02-02,23.3,9.1,0.0,11.2,70.08333333333333
2023-02-03,25.4,10.8,0.0,11.5,65.25
2023-02-04,26.0,10.4,0.0,10.9,64.91666666666667
2023-02-05,26.6,10.1,0.0,9.4,56.833333333333336
2023-02-06,28.4,11.6,0.0,10.6,62.125
2023-02-07,27.9,13.0,0.0,11.8,62.083333333333336
2023-02-08,26.7,11.5,0.0,11.9,56.75
2023-02-09,27.9,11.5,0.0,10.4,60.75
2023-02-10,30.5,13.7,0.0,10.8,55.333333333333336
2023-02-11,30.1,12.7,0.0,9.0,60.291666666666664
2023-02-12,28.3,14.4,0.0,14.5,51.583333333333336
2023-02-13,26.2,13.9,0.0,10.9,44.083333333333336
2023-02-14,26.9,10.0,0.0,9.2,51.25
2023-02-15,30.2,13.1,0.0,7.6,53.916666666666664
2023-02-16,31.4,14.5,0.0,11.3,54.0
2023-02-17,30.5,14.0,0.0,12.3,62.208333333333336
2023-02-18,29.9,14.4,0.0,11.2,65.875
2023-02-19,30.6,13.3,0.0,10.0,60.75
2023-02-20,32.2,14.2,0.0,9.2,50.041666666666664
2023-02-21,33.0,14.5,0.0,13.2,44.208333333333336
2023-02-22,31.4,13.8,0.0,10.9,47.791666666666664
2023-02-23,32.0,15.8,0.0,10.6,53.083333333333336
2023-02-24,32.0,14.9,0.0,11.9,45.041666666666664
2023-02-25,32.2,15.1,0.0,10.1,45.75
2023-02-26,32.7,15.9,0.0,13.0,43.208333333333336
2023-02-27,33.2,17.7,0.0,12.3,40.166666666666664
2023-02-28,34.0,18.3,0.0,14.1,36.833333333333336
2023-03-01,33.2,19.9,0.0,13.3,40.791666666666664
2023-03-02,33.7,19.9,0.0,13.1,40.875
2023-03-03,34.4,20.7,0.0,13.5,37.583333333333336
2023-03-04,34.7,19.9,0.0,20.3,36.041666666666664
2023-03-05,33.9,21.2,0.1,14.0,46.333333333333336
2023-03-06,32.3,19.2,0.2,24.3,48.791666666666664
2023-03-07,30.3,18.4,0.7,26.6,55.833333333333336
2023-03-08,31.6,15.9,0.0,15.9,54.291666666666664
2023-03-09,31.6,17.7,0.0,18.9,46.791666666666664
2023-03-10,31.7,17.2,0.0,16.7,46.916666666666664
2023-03-11,32.0,17.7,0.0,11.1,44.916666666666664
2023-03-12,33.1,19.2,0.0,12.4,38.208333333333336
2023-03-13,34.1,20.5,0.0,13.0,36.041666666666664
2023-03-14,33.6,19.6,0.0,11.9,37.125
2023-03-15,34.8,19.1,0.0,24.4,42.958333333333336
2023-03-16,31.9,21.9,0.3,17.8,49.708333333333336
2023-03-17,32.2,19.1,0.2,15.2,60.458333333333336
2023-03-18,30.3,19.4,2.5,20.9,62.666666666666664
2023-03-19,29.5,18.2,8.8,22.7,66.95833333333333
2023-03-20,29.4,16.8,0.1,15.3,67.54166666666667
2023-03-21,30.5,18.4,0.1,15.4,58.708333333333336
2023-03-22,31.0,19.4,0.0,9.6,54.208333333333336
2023-03-23,31.3,20.0,0.0,9.7,52.708333333333336
2023-03-24,33.1,19.6,0.0,15.8,48.25
2023-03-25,33.7,20.2,0.0,14.3,46.375
2023-03-26,33.7,21.5,0.0,15.7,37.791666666666664
2023-03-27,33.8,18.9,0.0,9.1,36.625
2023-03-28,33.4,19.8,0.0,14.6,42.5
2023-03-29,35.5,19.8,0.0,17.1,37.666666666666664
2023-03-30,35.7,20.4,0.2,23.2,33.458333333333336
2023-03-31,30.0,21.5,0.3,20.4,49.625
2023-04-01,31.4,18.6,0.0,12.4,47.708333333333336
2023-04-02,33.4,20.2,0.0,13.1,41.875
2023-04-03,35.4,19.7,0.0,16.0,37.25
2023-04-04,35.4,21.7,0.0,13.4,35.25
2023-04-05,35.8,20.7,0.0,16.0,32.75
2023-04-06,36.0,22.3,0.0,14.3,33.083333333333336
2023-04-07,35.5,21.1,0.1,21.5,36.708333333333336
2023-04-08,33.2,23.2,1.5,19.7,51.416666666666664
2023-04-09,35.6,21.6,0.0,20.0,47.958333333333336
2023-04-10,35.8,22.0,0.0,10.7,42.791666666666664
2023-04-11,37.6,22.3,0.0,11.1,36.583333333333336
2023-04-12,38.5,22.4,0.0,15.9,33.541666666666664
2023-04-13,39.3,24.1,0.0,14.2,28.916666666666668
2023-04-14,39.2,23.5,0.0,17.1,29.916666666666668
2023-04-15,36.8,24.2,0.0,15.9,32.25
2023-04-16,38.0,23.5,0.0,13.9,36.166666666666664
2023-04-17,39.5,24.2,0.0,12.5,28.291666666666668
2023-04-18,40.0,24.9,0.0,10.4,24.416666666666668
2023-04-19,39.6,25.4,0.0,16.1,25.875
2023-04-20,38.9,25.3,0.0,22.0,32.958333333333336
2023-04-21,36.9,21.6,0.0,18.3,35.583333333333336
2023-04-22,34.9,24.1,0.0,14.1,30.375
2023-04-23,35.4,21.8,0.2,19.1,35.0
2023-04-24,37.0,21.2,0.0,23.2,32.083333333333336
2023-04-25,37.0,22.3,0.0,18.1,40.333333333333336
2023-04-26,35.0,23.5,3.4,16.9,54.958333333333336
2023-04-27,34.0,21.3,0.3,14.1,54.416666666666664
2023-04-28,31.8,22.2,14.9,16.9,68.875
2023-04-29,30.7,21.2,1.4,20.2,74.41666666666667
2023-04-30,30.2,21.1,3.1,11.3,75.25
2023-05-01,31.2,20.3,0.2,16.4,65.625
2023-05-02,33.0,21.0,0.8,11.2,62.958333333333336
2023-05-03,30.9,21.7,0.5,11.0,71.04166666666667
2023-05-04,32.2,21.8,3.2,16.6,74.20833333333333
2023-05-05,32.8,22.1,1.2,10.1,68.08333333333333
2023-05-06,35.7,24.8,0.1,17.8,52.541666666666664
2023-05-07,36.7,26.0,0.3,14.8,44.291666666666664
2023-05-08,38.3,25.3,0.0,13.6,41.25
2023-05-09,40.3,24.9,0.0,17.6,34.041666666666664
2023-05-10,40.0,22.7,0.0,13.2,26.041666666666668
2023-05-11,40.5,22.2,0.0,10.5,24.083333333333332
2023-05-12,40.9,22.9,0.0,13.2,24.25
2023-05-13,44.0,24.3,0.0,20.2,23.25
2023-05-14,42.9,25.2,0.0,17.8,19.583333333333332
2023-05-15,41.4,27.7,0.0,18.9,25.125
2023-05-16,39.1,27.8,0.0,16.6,38.125
2023-05-17,39.7,27.2,0.0,23.8,41.833333333333336
2023-05-18,40.9,27.0,0.0,14.4,38.5
2023-05-19,40.4,25.7,0.0,12.6,32.375
2023-05-20,41.7,27.0,0.0,15.1,29.916666666666668
2023-05-21,41.7,26.2,0.0,15.3,33.291666666666664
2023-05-22,38.3,26.7,0.0,16.1,38.833333333333336
2023-05-23,40.9,26.3,0.0,13.6,33.458333333333336
2023-05-24,40.7,27.9,0.0,22.5,30.583333333333332
2023-05-25,39.9,28.2,0.0,22.4,32.416666666666664
2023-05-26,37.8,28.3,0.0,20.3,36.166666666666664
2023-05-27,39.2,27.3,0.0,20.0,36.875
2023-05-28,37.6,28.3,0.0,20.3,43.333333333333336
2023-05-29,37.8,23.6,0.1,8.2,51.125
2023-05-30,39.2,26.9,0.0,19.1,41.833333333333336
2023-05-31,39.1,23.3,0.0,25.2,44.25
2023-06-01,40.4,25.0,0.0,15.5,32.75
2023-06-02,40.2,26.9,0.0,16.9,31.5
2023-06-03,39.5,28.8,0.0,14.7,37.666666666666664
2023-06-04,39.0,27.0,0.0,24.6,38.25
2023-06-05,38.8,26.5,0.0,16.3,36.625
2023-06-06,40.2,26.1,0.0,20.3,34.541666666666664
2023-06-07,40.7,28.1,0.0,16.2,33.75
2023-06-08,40.6,25.9,0.0,19.9,35.0
2023-06-09,40.4,28.8,0.0,15.4,41.958333333333336
2023-06-10,40.5,27.8,0.0,16.5,37.333333333333336
2023-06-11,39.5,29.3,0.0,16.4,37.791666666666664
2023-06-12,40.0,29.1,0.0,24.3,41.375
2023-06-13,39.8,29.0,0.0,16.9,43.458333333333336
2023-06-14,39.5,30.1,0.0,22.3,39.125
2023-06-15,39.4,29.7,0.0,20.3,40.458333333333336
2023-06-16,39.0,29.6,0.0,18.9,39.125
2023-06-17,38.7,29.9,0.0,23.9,43.083333333333336
2023-06-18,37.8,28.1,0.0,23.9,46.666666666666664
2023-06-19,38.0,28.2,0.2,25.3,48.75
2023-06-20,37.5,28.9,1.1,22.6,53.333333333333336
2023-06-21,38.3,27.5,0.7,17.7,54.125
2023-06-22,33.8,25.4,15.3,21.3,69.66666666666667
2023-06-23,29.7,25.6,27.8,15.5,82.25
2023-06-24,31.7,24.8,10.4,17.2,82.16666666666667
2023-06-25,33.4,25.1,3.4,14.9,76.58333333333333
2023-06-26,29.1,25.0,14.2,16.9,89.45833333333333
2023-06-27,29.2,24.6,17.5,21.6,85.58333333333333
2023-06-28,29.6,24.2,12.8,19.7,86.95833333333333
2023-06-29,30.0,24.4,13.3,23.8,85.91666666666667
2023-06-30,31.2,24.2,6.1,24.9,85.625
2023-07-01,31.0,24.7,5.9,23.5,83.0
2023-07-02,30.9,24.9,5.5,19.2,83.375
2023-07-03,32.0,25.5,0.5,13.4,79.41666666666667
2023-07-04,32.5,26.6,20.5,13.7,81.45833333333333
2023-07-05,32.6,25.7,14.7,20.5,82.875
2023-07-06,33.2,25.2,25.2,12.6,82.58333333333333
2023-07-07,30.1,25.1,13.2,15.0,86.58333333333333
2023-07-08,31.2,24.9,6.0,22.2,82.70833333333333
2023-07-09,30.6,24.9,5.0,26.1,84.54166666666667
2023-07-10,31.1,24.7,3.6,24.1,81.79166666666667
2023-07-11,28.9,24.7,22.3,19.3,89.375
2023-07-12,29.7,24.5,22.3,17.3,90.625
2023-07-13,29.9,24.3,18.5,15.4,88.41666666666667
2023-07-14,30.8,24.3,14.7,17.6,88.25
2023-07-15,28.8,24.5,37.8,14.2,91.16666666666667
2023-07-16,29.1,23.8,46.6,16.7,90.125
2023-07-17,29.7,23.7,50.8,15.7,91.375
2023-07-18,30.6,24.2,40.3,10.2,88.83333333333333
2023-07-19,31.8,24.7,14.9,14.4,86.41666666666667
2023-07-20,31.4,25.1,9.8,14.8,88.33333333333333
2023-07-21,31.9,24.8,32.7,18.1,86.91666666666667
2023-07-22,31.4,25.1,11.2,17.1,86.75
2023-07-23,30.7,24.8,9.6,10.0,87.79166666666667
