date,tmax,tmin,precip,wind,rh
2023-01-01,25.3,14.0,0.0,10.9,64.29166666666667
2023-01-02,25.1,12.6,0.0,10.2,59.916666666666664
2023-01-03,25.0,11.7,0.0,12.8,67.83333333333333
2023-01-04,22.8,12.3,0.0,17.4,67.5
2023-01-05,23.9,12.5,0.2,14.3,67.58333333333333
2023-01-06,25.6,13.3,0.0,13.2,65.375
2023-01-07,25.0,13.0,0.0,11.4,55.416666666666664
2023-01-08,24.5,10.1,0.0,12.4,51.125
2023-01-09,25.7,9.3,0.0,11.5,54.125
2023-01-10,26.4,9.7,0.0,10.3,52.0
2023-01-11,27.3,11.8,0.0,9.4,53.083333333333336
2023-01-12,27.4,12.0,0.0,9.3,59.041666666666664
2023-01-13,27.8,14.3,0.0,14.7,59.541666666666664
2023-01-14,24.7,11.8,0.0,12.7,51.875
2023-01-15,24.4,11.3,0.0,12.5,58.0
2023-01-16,25.8,11.8,0.0,12.2,59.458333333333336
2023-01-17,25.4,12.5,0.0,11.3,58.208333333333336
2023-01-18,26.0,11.7,0.0,11.5,50.625
2023-01-19,28.5,12.9,0.0,11.1,56.416666666666664
2023-01-20,30.9,15.6,0.0,17.3,58.625
2023-01-21,29.5,14.8,0.0,10.7,55.0
2023-01-22,29.1,16.0,0.0,13.7,52.291666666666664
2023-01-23,29.1,15.4,0.0,17.6,54.458333333333336
2023-01-24,29.4,15.5,0.0,19.0,61.041666666666664
2023-01-25,24.2,16.6,2.1,13.8,67.91666666666667
2023-01-26,26.9,17.9,9.3,16.0,79.08333333333333
2023-01-27,27.0,17.0,0.5,16.3,77.375
2023-01-28,28.5,16.6,0.0,10.5,71.04166666666667
2023-01-29,30.1,16.1,0.0,20.0,62.083333333333336
2023-01-30,28.7,17.4,0.1,14.8,65.95833333333333
2023-01-31,26.6,16.7,0.1,16.4,71.08333333333333
2023-02-01,25.3,15.0,0.0,15.5,65.58333333333333
2023-02-02,25.5,12.0,0.0,12.0,59.333333333333336
2023-02-03,27.1,10.8,0.0,11.9,55.833333333333336
2023-02-04,27.2,10.8,0.0,12.3,51.375
2023-02-05,27.9,12.8,0.0,10.9,49.416666666666664
2023-02-06,29.7,13.6,0.0,11.0,50.208333333333336
2023-02-07,28.0,14.5,0.0,9.9,52.666666666666664
2023-02-08,27.8,14.0,0.0,10.8,51.75
2023-02-09,29.9,12.5,0.0,10.8,48.833333333333336
2023-02-10,32.3,14.3,0.0,12.6,47.791666666666664
2023-02-11,31.0,15.7,0.0,13.8,42.833333333333336
2023-02-12,29.3,14.5,0.0,15.0,46.583333333333336
2023-02-13,27.4,12.7,0.0,10.0,44.75
2023-02-14,28.8,11.7,0.0,10.8,39.875
2023-02-15,30.5,16.1,0.0,7.3,36.791666666666664
2023-02-16,32.1,16.5,0.0,9.2,39.416666666666664
2023-02-17,31.6,15.7,0.0,11.2,46.375
2023-02-18,31.5,15.3,0.0,14.1,49.541666666666664
2023-02-19,32.0,15.1,0.0,10.6,47.708333333333336
2023-02-20,33.2,14.0,0.0,11.5,45.166666666666664
2023-02-21,33.8,15.6,0.0,14.2,39.166666666666664
2023-02-22,32.5,15.3,0.0,13.0,36.166666666666664
2023-02-23,32.7,16.7,0.0,11.1,38.125
2023-02-24,33.0,16.1,0.0,10.9,36.375
2023-02-25,33.6,16.2,0.0,12.0,31.125
2023-02-26,33.3,16.4,0.0,11.4,32.208333333333336
2023-02-27,33.5,18.5,0.0,10.9,31.75
2023-02-28,34.4,17.2,0.0,13.8,33.083333333333336
2023-03-01,34.1,22.0,0.0,9.5,32.291666666666664
2023-03-02,34.2,19.5,0.0,10.2,35.75
2023-03-03,35.0,20.5,0.0,12.4,31.833333333333332
2023-03-04,33.8,19.9,0.1,10.5,32.75
2023-03-05,33.9,21.1,0.2,14.0,41.916666666666664
2023-03-06,31.4,19.6,1.6,19.9,43.708333333333336
2023-03-07,30.1,18.6,2.3,25.0,57.541666666666664
2023-03-08,32.7,16.3,0.0,16.3,45.666666666666664
2023-03-09,31.8,17.3,0.0,13.1,41.583333333333336
2023-03-10,32.2,17.6,0.0,13.7,38.75
2023-03-11,33.6,18.2,0.0,14.7,36.875
2023-03-12,34.8,18.5,0.0,15.5,32.875
2023-03-13,35.3,21.2,0.0,15.2,30.875
2023-03-14,34.9,21.4,0.0,16.1,31.333333333333332
2023-03-15,34.9,20.4,0.0,18.0,37.958333333333336
2023-03-16,31.0,21.0,0.7,21.7,47.375
2023-03-17,28.9,19.9,1.5,13.7,57.541666666666664
2023-03-18,30.9,18.8,1.2,14.0,61.041666666666664
2023-03-19,31.0,18.2,11.5,14.4,62.25
2023-03-20,30.3,16.9,8.7,13.8,58.916666666666664
2023-03-21,31.0,20.4,0.3,13.3,45.375
2023-03-22,32.0,21.1,0.0,15.1,45.291666666666664
2023-03-23,31.6,20.8,0.1,17.1,47.166666666666664
2023-03-24,33.7,21.7,0.0,19.0,42.0
2023-03-25,34.4,21.0,0.0,15.5,40.75
2023-03-26,34.2,21.6,0.0,18.9,32.75
2023-03-27,34.8,20.8,0.0,17.6,30.916666666666668
2023-03-28,35.6,21.9,0.0,15.3,27.166666666666668
2023-03-29,37.0,21.7,0.0,22.0,24.708333333333332
2023-03-30,35.9,23.8,0.0,25.0,34.208333333333336
2023-03-31,32.8,22.7,0.3,26.8,40.083333333333336
2023-04-01,34.3,21.0,0.0,23.4,33.25
2023-04-02,35.0,22.7,0.0,18.7,31.833333333333332
2023-04-03,36.3,22.0,0.0,20.4,27.708333333333332
2023-04-04,37.0,23.7,0.0,18.2,27.625
2023-04-05,36.5,23.6,0.0,18.6,29.625
2023-04-06,36.4,24.9,0.0,16.5,29.75
2023-04-07,37.6,23.2,0.2,18.7,35.875
2023-04-08,36.0,22.6,0.1,16.6,47.041666666666664
2023-04-09,36.9,22.4,0.0,10.9,39.791666666666664
2023-04-10,36.7,23.3,0.0,11.0,37.958333333333336
2023-04-11,38.3,24.5,0.0,14.6,32.5
2023-04-12,38.9,25.8,0.0,13.3,27.375
2023-04-13,40.1,25.0,0.0,15.3,27.166666666666668
2023-04-14,39.5,27.1,0.0,18.2,23.458333333333332
2023-04-15,37.6,27.2,0.1,18.2,30.625
2023-04-16,39.1,25.3,0.0,13.8,30.041666666666668
2023-04-17,40.0,26.5,0.0,13.2,20.75
2023-04-18,40.7,25.9,0.0,17.2,19.708333333333332
2023-04-19,41.1,27.9,0.0,22.3,22.375
2023-04-20,39.6,27.5,0.0,21.9,28.083333333333332
2023-04-21,37.7,23.5,0.0,16.7,32.25
2023-04-22,37.1,26.0,0.0,20.8,27.5
2023-04-23,37.0,23.6,0.0,18.7,31.0
2023-04-24,38.1,24.4,0.0,17.5,18.25
2023-04-25,38.5,23.7,0.0,19.0,26.541666666666668
2023-04-26,36.2,24.0,1.3,22.7,48.875
2023-04-27,35.8,22.4,0.0,16.5,50.375
2023-04-28,35.5,23.1,2.7,14.8,59.25
2023-04-29,33.8,22.1,0.6,14.4,65.54166666666667
2023-04-30,31.6,21.4,4.4,15.9,71.66666666666667
2023-05-01,32.1,21.2,0.5,13.7,62.583333333333336
2023-05-02,32.6,22.1,0.1,13.1,54.208333333333336
2023-05-03,32.4,20.8,4.8,18.2,67.16666666666667
2023-05-04,33.3,22.3,10.7,15.2,63.791666666666664
2023-05-05,33.3,22.9,0.0,11.1,61.291666666666664
2023-05-06,35.5,25.2,0.7,20.5,48.875
2023-05-07,36.5,25.0,0.0,13.5,43.416666666666664
2023-05-08,38.6,27.7,0.0,17.2,34.583333333333336
2023-05-09,40.8,26.6,0.0,17.9,28.333333333333332
2023-05-10,40.7,25.1,0.0,13.2,20.708333333333332
2023-05-11,41.4,23.7,0.0,12.3,19.958333333333332
2023-05-12,42.4,26.2,0.0,15.8,17.208333333333332
2023-05-13,43.3,25.7,0.0,23.1,17.0
2023-05-14,42.2,29.6,0.0,24.9,23.041666666666668
2023-05-15,41.0,28.1,0.0,25.1,31.291666666666668
2023-05-16,39.6,27.3,0.0,22.4,40.041666666666664
2023-05-17,39.6,27.5,0.0,21.1,38.791666666666664
2023-05-18,40.9,28.4,0.0,20.9,26.75
2023-05-19,41.0,29.1,0.0,20.0,26.166666666666668
2023-05-20,41.6,29.8,0.0,22.6,25.416666666666668
2023-05-21,42.2,29.6,0.0,21.1,29.083333333333332
2023-05-22,41.8,28.8,0.0,19.4,30.625
2023-05-23,42.0,29.4,0.0,20.4,27.625
2023-05-24,40.7,29.2,0.0,24.3,30.25
2023-05-25,39.7,27.6,0.0,26.1,34.875
2023-05-26,39.1,25.9,0.0,23.6,37.291666666666664
2023-05-27,39.9,26.7,0.0,24.3,40.541666666666664
2023-05-28,39.4,27.2,0.0,21.6,41.875
2023-05-29,39.5,27.4,0.0,19.6,37.708333333333336
2023-05-30,40.1,27.7,0.0,22.3,31.916666666666668
2023-05-31,39.7,26.9,0.0,26.0,28.083333333333332
2023-06-01,41.0,28.3,0.0,20.9,22.708333333333332
2023-06-02,39.2,29.0,0.0,20.8,30.833333333333332
2023-06-03,39.6,29.1,0.1,24.0,43.666666666666664
2023-06-04,36.0,28.0,2.9,25.1,46.916666666666664
2023-06-05,38.4,27.1,0.0,18.4,43.0
2023-06-06,39.9,28.5,0.0,20.3,41.166666666666664
2023-06-07,40.6,28.9,0.0,21.2,38.416666666666664
2023-06-08,40.2,29.8,0.1,24.6,39.875
2023-06-09,41.1,28.6,0.0,24.8,38.083333333333336
2023-06-10,40.9,29.6,0.0,24.3,38.5
2023-06-11,40.5,29.1,0.0,20.6,41.5
2023-06-12,40.0,30.3,0.0,18.9,35.958333333333336
2023-06-13,41.4,30.3,0.0,21.8,35.166666666666664
2023-06-14,39.8,29.5,0.3,22.7,41.333333333333336
2023-06-15,39.9,28.3,0.0,24.0,41.833333333333336
2023-06-16,40.1,28.5,0.0,23.5,40.25
2023-06-17,39.6,28.3,0.0,23.2,44.583333333333336
2023-06-18,38.8,27.5,0.0,26.3,46.666666666666664
2023-06-19,37.7,26.9,0.3,24.6,50.583333333333336
2023-06-20,38.3,27.7,0.6,23.4,50.625
2023-06-21,38.3,27.9,0.1,21.1,47.458333333333336
2023-06-22,38.6,27.7,0.1,25.8,50.625
2023-06-23,36.4,25.3,6.7,23.6,67.20833333333333
2023-06-24,31.0,25.7,6.6,19.2,75.125
2023-06-25,34.1,24.8,0.9,17.6,67.875
2023-06-26,30.9,24.8,12.1,19.5,81.70833333333333
2023-06-27,27.7,24.4,16.0,18.7,87.58333333333333
2023-06-28,30.4,24.7,5.0,18.2,81.375
2023-06-29,32.9,24.8,7.1,19.3,79.0
2023-06-30,31.9,24.7,4.0,23.3,76.16666666666667
2023-07-01,32.1,25.0,1.8,23.3,73.91666666666667
2023-07-02,32.0,24.5,1.0,19.9,73.54166666666667
2023-07-03,33.1,25.7,1.1,16.0,74.33333333333333
2023-07-04,33.4,27.0,10.1,16.1,74.16666666666667
2023-07-05,32.0,25.4,22.3,13.3,84.58333333333333
2023-07-06,32.5,24.5,12.2,14.7,79.66666666666667
2023-07-07,30.4,24.7,24.2,12.7,83.75
2023-07-08,32.0,24.5,16.4,20.1,82.25
2023-07-09,30.1,24.8,11.8,22.1,80.04166666666667
2023-07-10,31.7,25.0,6.8,25.2,77.875
2023-07-11,29.6,24.5,14.4,23.3,84.0
2023-07-12,31.5,23.7,17.6,23.8,82.29166666666667
2023-07-13,29.7,24.6,8.3,21.3,83.58333333333333
2023-07-14,32.4,24.9,11.1,17.9,80.70833333333333
2023-07-15,30.1,24.6,8.3,18.2,83.79166666666667
2023-07-16,30.3,24.2,15.2,20.7,85.91666666666667
2023-07-17,30.4,24.2,9.2,22.0,83.125
2023-07-18,29.0,24.4,22.7,20.3,88.25
2023-07-19,31.3,24.1,24.8,14.8,88.16666666666667
2023-07-20,31.1,24.4,12.1,21.6,83.33333333333333
2023-07-21,31.0,25.1,8.6,19.8,83.91666666666667
2023-07-22,28.8,23.7,156.6,24.8,92.08333333333333
2023-07-23,31.5,24.3,7.0,14.1,80.25
2023-07-24,31.5,24.5,12.3,16.4,78.41666666666667
2023-07-25,31.3,24.8,5.4,18.0,79.79166666666667
2023-07-26,30.9,24.5,2.3,18.3,79.0
2023-07-27,31.0,24.3,12.0,21.1,84.04166666666667
2023-07-28,29.2,24.6,5.9,23.3,85.04166666666667
2023-07-29,30.8,24.4,1.2,23.8,79.25
2023-07-30,30.9,24.4,1.6,22.5,76.125
2023-07-31,31.6,24.3,2.0,22.5,76.79166666666667
2023-08-01,31.1,24.8,1.4,25.4,77.25
2023-08-02,30.7,25.1,2.7,27.2,75.45833333333333
2023-08-03,27.1,24.1,7.6,24.2,85.70833333333333
2023-08-04,29.7,23.9,7.1,23.4,83.16666666666667
2023-08-05,31.1,23.4,1.3,22.0,80.29166666666667
2023-08-06,30.5,24.4,0.4,27.4,76.66666666666667
2023-08-07,30.1,24.2,0.7,27.7,75.25
2023-08-08,30.8,23.7,1.0,25.6,76.125
2023-08-09,30.6,23.6,0.9,20.0,75.91666666666667
2023-08-10,30.8,23.5,1.7,19.6,76.83333333333333
2023-08-11,30.7,23.8,0.3,17.4,76.29166666666667
2023-08-12,30.5,23.6,0.7,19.6,77.5
2023-08-13,31.0,24.2,0.3,22.1,72.58333333333333
2023-08-14,28.4,24.3,1.5,17.7,76.125
2023-08-15,30.5,23.7,2.8,14.0,77.25
2023-08-16,30.5,23.4,1.0,17.7,76.08333333333333
2023-08-17,30.9,23.6,2.1,23.1,76.16666666666667
2023-08-18,28.9,24.1,4.4,22.4,81.95833333333333
2023-08-19,28.1,23.6,23.2,23.2,87.0
2023-08-20,29.0,23.0,12.6,23.9,85.04166666666667
2023-08-21,29.6,23.4,0.2,21.0,81.29166666666667
2023-08-22,30.0,23.0,4.9,17.3,83.0
2023-08-23,30.7,23.8,0.3,21.0,79.25
2023-08-24,29.3,24.0,0.5,24.3,77.16666666666667
2023-08-25,30.9,23.6,0.6,21.7,73.91666666666667
2023-08-26,30.9,23.7,1.4,17.7,76.20833333333333
2023-08-27,30.6,23.3,0.1,19.5,75.125
2023-08-28,30.5,22.3,0.4,19.1,74.91666666666667
2023-08-29,30.5,22.8,0.2,19.5,71.58333333333333
2023-08-30,31.0,22.5,0.1,16.3,71.66666666666667
2023-08-31,31.4,23.7,0.6,12.0,72.58333333333333
2023-09-01,32.6,24.4,0.1,13.9,68.29166666666667
2023-09-02,32.8,25.4,0.2,14.6,66.08333333333333
2023-09-03,33.0,25.6,0.1,18.0,65.33333333333333
2023-09-04,32.9,25.7,0.0,22.7,66.625
2023-09-05,33.3,25.7,0.3,25.3,62.208333333333336
2023-09-06,30.4,24.4,21.3,23.7,77.33333333333333
2023-09-07,29.5,23.8,13.7,14.5,88.79166666666667
2023-09-08,29.3,23.6,27.4,17.1,90.5
2023-09-09,28.6,23.8,19.3,26.1,89.83333333333333
2023-09-10,29.8,23.3,8.9,28.8,80.16666666666667
2023-09-11,30.0,24.3,7.4,29.0,76.125
2023-09-12,30.4,24.3,0.2,27.7,76.29166666666667
2023-09-13,29.5,23.6,0.6,25.6,76.66666666666667
2023-09-14,28.6,24.2,13.9,20.6,85.375
2023-09-15,28.1,24.2,33.2,32.7,89.66666666666667
2023-09-16,25.0,23.1,236.3,48.7,89.5
