date,tmax,tmin,precip,wind,rh
2023-01-01,23.0,11.6,0.0,13.9,67.83333333333333
2023-01-02,24.3,10.4,0.0,13.4,71.625
2023-01-03,23.9,11.4,0.0,16.3,75.29166666666667
2023-01-04,20.7,10.8,0.0,15.2,84.375
2023-01-05,23.2,12.0,0.2,12.9,80.33333333333333
2023-01-06,23.7,12.2,0.0,13.1,75.16666666666667
2023-01-07,22.5,12.1,0.0,11.6,58.875
2023-01-08,23.0,7.8,0.0,12.6,53.25
2023-01-09,24.4,9.8,0.0,11.7,47.625
2023-01-10,24.5,10.5,0.0,13.1,56.833333333333336
2023-01-11,25.7,10.5,0.0,10.5,53.166666666666664
2023-01-12,24.6,11.8,0.0,11.3,54.0
2023-01-13,24.6,13.7,0.0,12.6,61.041666666666664
2023-01-14,22.6,10.2,0.0,13.0,64.95833333333333
2023-01-15,22.4,10.8,0.0,11.8,63.958333333333336
2023-01-16,26.0,11.1,0.0,15.5,68.08333333333333
2023-01-17,24.0,12.0,0.0,14.5,74.875
2023-01-18,25.7,11.0,0.0,15.0,68.58333333333333
2023-01-19,26.7,13.7,0.0,13.1,67.66666666666667
2023-01-20,26.7,16.5,0.0,22.1,61.416666666666664
2023-01-21,27.4,16.2,0.0,13.6,56.666666666666664
2023-01-22,26.5,14.9,0.0,20.5,59.083333333333336
2023-01-23,26.6,16.9,0.0,18.4,56.541666666666664
2023-01-24,27.0,16.2,0.0,17.6,62.5
2023-01-25,27.4,17.2,0.1,16.4,63.5
2023-01-26,26.1,16.4,0.2,16.2,75.45833333333333
2023-01-27,25.7,15.9,0.0,17.9,79.58333333333333
2023-01-28,27.5,15.2,0.0,13.2,68.58333333333333
2023-01-29,27.7,17.6,0.0,17.9,55.125
2023-01-30,27.8,17.0,0.0,17.7,60.833333333333336
2023-01-31,25.4,14.6,0.1,18.9,76.33333333333333
2023-02-01,24.1,13.3,0.0,16.6,64.29166666666667
2023-02-02,24.2,10.9,0.0,14.0,51.5
2023-02-03,25.7,11.3,0.0,11.9,38.833333333333336
2023-02-04,26.0,10.4,0.0,11.6,42.416666666666664
