date,tmax,tmin,precip,wind,rh
2023-01-01,23.6,11.9,0.0,11.5,64.79166666666667
2023-01-02,24.1,10.8,0.0,9.1,64.08333333333333
2023-01-03,24.4,10.3,0.0,11.0,66.79166666666667
2023-01-04,21.5,11.8,0.0,13.0,75.625
2023-01-05,23.2,10.8,0.0,9.7,78.58333333333333
2023-01-06,23.7,10.5,0.0,9.1,65.29166666666667
2023-01-07,23.1,8.5,0.0,10.2,47.25
2023-01-08,24.3,6.8,0.0,10.4,49.166666666666664
2023-01-09,25.4,7.9,0.0,10.2,50.041666666666664
2023-01-10,26.4,9.1,0.0,10.0,50.291666666666664
2023-01-11,25.6,9.6,0.0,10.4,56.333333333333336
2023-01-12,25.6,11.4,0.0,11.5,53.666666666666664
2023-01-13,25.5,12.3,0.0,11.3,61.416666666666664
2023-01-14,24.7,12.7,0.0,12.6,64.125
2023-01-15,24.2,10.0,0.0,12.4,62.916666666666664
2023-01-16,24.7,9.5,0.0,14.8,68.875
2023-01-17,25.8,11.3,0.0,11.5,64.375
2023-01-18,25.5,11.4,0.0,12.5,58.583333333333336
2023-01-19,25.9,11.0,0.0,10.4,63.75
2023-01-20,26.0,13.9,0.0,16.2,66.54166666666667
2023-01-21,26.1,14.7,0.0,14.7,64.54166666666667
2023-01-22,26.1,14.6,0.0,16.5,61.666666666666664
2023-01-23,26.0,14.5,0.0,14.2,62.083333333333336
2023-01-24,26.2,15.1,0.0,13.9,67.875
2023-01-25,26.6,16.3,0.0,14.2,60.208333333333336
2023-01-26,26.7,15.4,0.0,9.5,70.20833333333333
2023-01-27,26.6,15.3,0.0,15.2,74.125
2023-01-28,27.8,14.3,0.0,10.5,69.25
2023-01-29,27.4,14.0,0.0,13.7,63.666666666666664
2023-01-30,27.9,15.9,0.2,12.4,59.541666666666664
2023-01-31,26.8,14.7,0.0,17.7,68.20833333333333
2023-02-01,25.5,13.0,0.0,14.2,54.208333333333336
2023-02-02,26.7,9.7,0.0,11.0,41.916666666666664
2023-02-03,27.3,8.7,0.0,9.0,37.916666666666664
2023-02-04,27.3,9.5,0.0,10.8,40.833333333333336
2023-02-05,27.4,10.1,0.0,8.7,40.291666666666664
2023-02-06,28.6,12.1,0.0,17.3,40.583333333333336
2023-02-07,28.4,13.1,0.0,15.0,44.0
2023-02-08,27.7,14.0,0.0,12.1,39.541666666666664
2023-02-09,29.3,11.1,0.0,10.0,40.583333333333336
2023-02-10,31.2,13.5,0.0,14.7,33.291666666666664
2023-02-11,29.9,16.6,0.0,15.3,35.333333333333336
2023-02-12,27.4,14.5,0.0,18.2,43.833333333333336
2023-02-13,26.3,12.1,0.0,14.3,37.416666666666664
2023-02-14,29.0,12.6,0.0,13.1,31.0
2023-02-15,30.1,15.9,0.0,16.5,32.083333333333336
2023-02-16,30.3,14.6,0.0,17.2,38.833333333333336
2023-02-17,30.0,13.9,0.0,15.8,47.833333333333336
2023-02-18,30.7,14.8,0.0,12.2,50.0
2023-02-19,31.2,13.7,0.0,13.0,47.083333333333336
2023-02-20,32.5,13.9,0.0,10.6,38.583333333333336
2023-02-21,33.2,14.9,0.0,15.4,29.708333333333332
2023-02-22,31.8,14.7,0.0,14.2,28.291666666666668
2023-02-23,31.8,16.8,0.0,12.9,33.125
2023-02-24,31.8,14.6,0.0,15.5,34.75
2023-02-25,31.4,14.6,0.0,10.5,32.583333333333336
2023-02-26,32.1,15.2,0.0,18.8,31.5
2023-02-27,31.4,16.2,0.0,11.6,32.541666666666664
2023-02-28,31.3,17.7,0.0,13.6,34.541666666666664
2023-03-01,30.1,19.1,0.0,17.2,41.5
2023-03-02,31.8,18.0,0.0,10.8,37.083333333333336
2023-03-03,32.5,19.6,0.0,12.9,29.791666666666668
2023-03-04,32.5,17.7,0.0,16.1,28.708333333333332
2023-03-05,31.2,19.9,0.0,19.4,37.958333333333336
2023-03-06,32.5,18.6,0.0,17.1,39.208333333333336
2023-03-07,23.0,14.0,3.9,17.8,70.08333333333333
2023-03-08,30.1,12.9,0.0,9.7,51.25
2023-03-09,29.9,16.5,0.0,16.6,40.416666666666664
2023-03-10,30.2,17.1,0.0,22.8,36.75
2023-03-11,31.0,17.3,0.0,16.1,37.166666666666664
2023-03-12,32.2,18.1,0.0,14.8,31.333333333333332
2023-03-13,32.9,19.1,0.0,13.5,30.708333333333332
2023-03-14,30.5,18.6,0.5,12.6,36.375
2023-03-15,31.8,17.2,6.6,20.0,45.083333333333336
2023-03-16,28.0,18.9,0.9,17.6,53.083333333333336
2023-03-17,29.1,17.6,2.4,23.1,61.25
2023-03-18,24.6,15.9,13.2,16.3,79.75
2023-03-19,25.5,15.1,5.7,13.9,80.33333333333333
2023-03-20,26.7,14.5,0.0,15.2,63.125
2023-03-21,26.9,15.8,1.2,15.4,61.791666666666664
2023-03-22,27.7,16.1,0.0,19.6,62.458333333333336
2023-03-23,28.0,15.8,0.3,11.8,60.0
2023-03-24,30.2,17.1,0.0,12.1,53.375
2023-03-25,31.4,18.9,0.0,12.3,49.625
2023-03-26,32.0,19.2,0.0,14.4,46.291666666666664
2023-03-27,31.8,17.8,0.0,16.8,32.208333333333336
2023-03-28,33.3,17.5,0.0,12.7,35.875
2023-03-29,34.1,18.1,0.0,13.6,36.291666666666664
2023-03-30,34.6,20.3,0.0,17.4,32.833333333333336
2023-03-31,29.0,20.5,0.0,17.5,47.083333333333336
2023-04-01,29.9,17.2,0.0,16.8,45.958333333333336
2023-04-02,29.9,18.5,0.0,16.9,43.125
2023-04-03,33.1,17.4,0.0,15.8,36.166666666666664
2023-04-04,33.3,19.6,0.0,19.4,32.708333333333336
2023-04-05,32.4,19.4,0.0,17.9,34.708333333333336
2023-04-06,32.9,21.3,0.0,15.7,30.125
2023-04-07,33.3,19.4,0.0,15.9,43.916666666666664
2023-04-08,29.4,21.0,0.7,13.2,57.041666666666664
2023-04-09,30.5,19.3,4.7,9.5,60.666666666666664
2023-04-10,33.8,19.1,0.0,13.0,45.333333333333336
2023-04-11,35.8,21.0,0.0,12.6,33.708333333333336
2023-04-12,36.4,20.9,0.0,12.8,29.833333333333332
2023-04-13,36.8,24.6,0.0,19.0,25.833333333333332
2023-04-14,36.2,25.9,0.0,15.8,31.458333333333332
2023-04-15,30.4,22.4,0.2,18.6,39.333333333333336
2023-04-16,36.4,20.2,0.0,21.5,36.541666666666664
2023-04-17,37.6,23.0,0.0,14.2,25.0
2023-04-18,38.3,25.0,0.0,17.0,23.083333333333332
2023-04-19,35.6,25.6,0.0,21.6,25.875
2023-04-20,33.9,24.9,0.7,18.3,32.25
2023-04-21,33.9,19.4,0.0,16.3,40.958333333333336
2023-04-22,33.2,21.6,0.1,20.0,37.75
2023-04-23,30.4,18.7,1.5,15.1,53.166666666666664
2023-04-24,32.9,19.2,0.0,16.4,49.208333333333336
2023-04-25,33.5,19.2,0.0,14.3,51.666666666666664
2023-04-26,32.3,20.2,0.0,13.0,58.75
2023-04-27,31.1,18.5,1.4,13.7,66.20833333333333
2023-04-28,30.6,19.8,6.8,19.8,66.5
2023-04-29,29.1,19.1,17.4,12.2,74.875
2023-04-30,26.9,18.2,23.7,14.5,84.33333333333333
2023-05-01,26.9,18.2,6.9,16.3,81.0
2023-05-02,27.1,17.4,10.7,13.5,85.75
2023-05-03,26.5,18.8,1.8,12.4,83.875
2023-05-04,28.6,18.2,3.5,11.9,81.20833333333333
2023-05-05,29.6,18.9,0.2,11.3,73.16666666666667
2023-05-06,32.1,19.6,0.3,9.8,60.958333333333336
2023-05-07,33.1,21.4,0.2,15.5,60.333333333333336
2023-05-08,34.1,21.0,0.0,13.5,54.75
2023-05-09,36.1,23.4,0.0,11.0,48.291666666666664
2023-05-10,37.0,21.6,0.0,16.8,38.875
2023-05-11,37.1,20.8,0.0,13.7,28.208333333333332
2023-05-12,36.9,20.7,0.0,16.1,24.75
2023-05-13,39.1,20.7,0.0,21.7,25.458333333333332
2023-05-14,38.5,21.8,0.0,22.2,23.416666666666668
2023-05-15,37.1,27.0,0.0,22.6,24.5
2023-05-16,34.9,26.2,0.1,22.2,39.5
2023-05-17,36.1,25.3,0.0,19.2,39.666666666666664
2023-05-18,37.2,26.0,0.0,18.1,33.416666666666664
2023-05-19,37.4,24.8,0.0,16.8,33.041666666666664
2023-05-20,37.7,26.8,0.0,17.6,29.333333333333332
2023-05-21,38.4,25.7,0.3,24.3,29.458333333333332
2023-05-22,35.8,25.8,0.1,17.9,32.708333333333336
2023-05-23,37.8,25.3,0.0,15.9,32.666666666666664
2023-05-24,38.2,27.6,0.0,21.7,28.625
2023-05-25,35.4,27.5,0.0,22.8,31.916666666666668
2023-05-26,34.2,26.7,0.1,23.9,37.291666666666664
2023-05-27,36.3,25.5,0.0,18.9,37.625
2023-05-28,37.1,24.1,0.0,18.6,48.041666666666664
2023-05-29,35.5,21.0,4.6,22.7,54.791666666666664
2023-05-30,36.4,23.5,1.4,17.1,46.291666666666664
2023-05-31,37.1,23.0,0.0,19.9,36.125
2023-06-01,37.3,24.4,0.0,19.9,31.458333333333332
2023-06-02,36.6,25.8,0.0,20.5,29.083333333333332
2023-06-03,38.9,26.1,0.0,16.9,36.791666666666664
2023-06-04,35.6,25.0,0.1,15.4,40.208333333333336
2023-06-05,36.2,25.2,0.0,20.0,34.166666666666664
2023-06-06,37.5,25.3,0.0,18.0,30.208333333333332
2023-06-07,37.6,27.3,0.0,19.1,32.416666666666664
2023-06-08,37.5,25.7,0.0,18.4,29.333333333333332
2023-06-09,37.5,27.6,0.4,19.8,37.166666666666664
2023-06-10,37.7,27.5,0.0,23.7,34.708333333333336
2023-06-11,37.4,27.8,0.0,21.7,35.125
2023-06-12,38.0,27.8,0.0,19.6,42.875
2023-06-13,36.7,26.0,8.3,25.8,53.125
2023-06-14,37.0,28.2,0.0,24.3,39.5
2023-06-15,37.1,27.5,0.0,21.9,43.833333333333336
2023-06-16,37.5,27.2,0.0,20.1,37.333333333333336
2023-06-17,37.1,27.5,0.0,18.6,40.916666666666664
2023-06-18,36.4,26.9,0.0,16.3,44.708333333333336
2023-06-19,36.3,26.4,0.0,19.1,47.125
2023-06-20,35.6,26.3,0.3,16.7,49.916666666666664
2023-06-21,37.0,25.3,1.0,19.3,55.291666666666664
2023-06-22,33.8,26.4,2.2,18.6,58.625
2023-06-23,30.0,23.8,21.6,16.1,81.83333333333333
2023-06-24,30.4,23.0,6.5,14.9,80.75
2023-06-25,30.9,23.5,2.9,10.7,81.79166666666667
2023-06-26,29.2,23.0,23.7,20.3,87.33333333333333
2023-06-27,26.6,22.8,121.7,28.4,90.875
2023-06-28,28.7,23.4,8.9,20.0,84.70833333333333
2023-06-29,29.3,23.2,5.7,18.9,85.16666666666667
2023-06-30,30.0,23.0,5.0,21.5,82.20833333333333
2023-07-01,30.5,23.3,1.4,21.6,77.75
2023-07-02,30.1,23.4,1.9,19.9,80.16666666666667
2023-07-03,31.6,23.8,0.6,14.5,78.16666666666667
2023-07-04,31.7,23.8,9.9,14.1,82.5
2023-07-05,30.9,22.3,20.8,13.9,85.70833333333333
2023-07-06,31.2,23.4,6.6,10.2,82.875
2023-07-07,28.0,23.3,16.0,12.8,89.875
2023-07-08,28.6,22.8,22.2,15.8,88.33333333333333
2023-07-09,26.8,23.0,7.5,24.1,86.79166666666667
2023-07-10,29.8,22.7,11.3,18.2,84.75
2023-07-11,27.1,23.1,10.7,17.9,88.20833333333333
2023-07-12,30.2,22.7,10.0,15.0,85.95833333333333
2023-07-13,29.7,23.0,12.6,13.4,87.29166666666667
2023-07-14,29.2,23.2,4.5,14.8,86.25
2023-07-15,28.3,23.1,18.0,18.1,88.54166666666667
2023-07-16,28.0,22.6,8.8,18.7,86.875
2023-07-17,29.4,23.1,8.4,21.6,85.58333333333333
2023-07-18,29.4,22.9,14.3,17.6,87.83333333333333
2023-07-19,29.2,23.1,10.9,10.7,89.75
2023-07-20,30.3,22.8,13.6,13.2,88.33333333333333
2023-07-21,30.7,22.3,25.1,15.3,88.83333333333333
2023-07-22,29.2,22.6,21.2,15.8,90.25
2023-07-23,28.9,22.4,13.3,15.2,89.45833333333333
2023-07-24,29.7,22.5,15.9,13.2,86.08333333333333
2023-07-25,30.0,22.4,7.8,11.9,84.75
2023-07-26,31.0,23.5,1.4,16.7,81.58333333333333
2023-07-27,30.4,23.5,3.1,16.9,81.20833333333333
2023-07-28,28.7,23.6,4.4,18.2,83.58333333333333
2023-07-29,28.8,23.4,2.9,23.7,81.08333333333333
2023-07-30,28.1,22.9,8.7,22.4,80.41666666666667
2023-07-31,29.3,23.1,3.3,22.9,83.45833333333333
2023-08-01,29.4,23.7,1.5,22.7,81.125
2023-08-02,25.5,23.2,4.0,26.2,87.58333333333333
2023-08-03,23.1,21.9,73.1,33.0,92.16666666666667
2023-08-04,27.8,21.8,5.7,31.2,82.08333333333333
2023-08-05,29.3,22.7,0.5,22.2,81.0
2023-08-06,29.2,23.1,6.5,22.3,81.95833333333333
2023-08-07,28.4,22.8,0.1,25.2,78.0
2023-08-08,28.8,22.5,0.4,21.7,78.25
2023-08-09,29.5,21.8,0.1,18.0,77.54166666666667
2023-08-10,29.5,21.6,1.4,17.7,78.875
2023-08-11,29.3,22.2,0.6,16.1,78.79166666666667
2023-08-12,29.7,22.6,0.1,18.7,75.75
2023-08-13,28.4,22.2,2.7,16.2,82.66666666666667
2023-08-14,28.1,22.4,0.2,13.9,77.83333333333333
2023-08-15,28.8,21.5,0.8,11.4,80.66666666666667
2023-08-16,29.9,22.1,1.1,16.1,79.75
2023-08-17,29.9,22.8,17.1,19.4,83.0
2023-08-18,27.6,22.3,17.7,18.4,89.33333333333333
2023-08-19,28.3,22.2,19.1,17.0,89.41666666666667
2023-08-20,28.7,22.9,8.0,9.8,88.625
2023-08-21,28.0,23.2,4.5,13.4,86.91666666666667
2023-08-22,29.4,22.0,0.8,13.5,81.5
2023-08-23,28.7,22.6,17.9,20.0,85.20833333333333
2023-08-24,27.9,22.2,3.6,20.3,83.66666666666667
2023-08-25,29.3,21.8,0.0,19.3,77.41666666666667
2023-08-26,28.9,22.2,0.1,16.3,78.16666666666667
