date,tmax,tmin,precip,wind,rh
2023-01-01,24.3,12.0,0.0,13.5,63.208333333333336
2023-01-02,24.4,10.8,0.0,12.0,65.66666666666667
2023-01-03,24.9,10.7,0.0,13.2,70.08333333333333
2023-01-04,23.4,12.2,0.1,12.6,75.375
2023-01-05,24.1,11.4,0.1,13.0,75.08333333333333
2023-01-06,24.0,10.1,0.0,12.7,57.916666666666664
2023-01-07,24.6,6.5,0.0,14.4,54.75
2023-01-08,24.9,6.1,0.0,10.8,51.083333333333336
2023-01-09,26.2,7.7,0.0,10.7,49.958333333333336
2023-01-10,26.3,8.9,0.0,11.3,52.958333333333336
2023-01-11,25.8,8.4,0.0,8.5,50.666666666666664
2023-01-12,25.9,11.1,0.0,8.7,56.0
2023-01-13,26.6,11.3,0.0,9.4,59.916666666666664
2023-01-14,24.9,12.3,0.0,14.5,66.58333333333333
2023-01-15,23.7,10.7,0.0,12.0,67.5
2023-01-16,25.0,9.3,0.0,9.3,66.83333333333333
2023-01-17,24.5,11.5,0.0,11.2,62.5
2023-01-18,24.9,11.4,0.0,12.5,57.083333333333336
2023-01-19,26.3,11.2,0.0,11.3,62.0
2023-01-20,28.3,12.9,0.0,13.0,66.25
2023-01-21,27.8,14.9,0.0,14.5,62.541666666666664
2023-01-22,29.0,14.4,0.0,13.4,58.291666666666664
2023-01-23,28.7,13.9,0.0,10.5,55.625
2023-01-24,28.3,14.0,0.0,16.0,60.291666666666664
2023-01-25,29.0,16.8,0.0,12.6,57.25
2023-01-26,28.1,15.5,0.0,10.3,65.625
2023-01-27,28.1,17.1,0.0,15.7,69.83333333333333
2023-01-28,28.5,15.1,0.0,11.8,67.25
2023-01-29,29.9,15.4,0.0,12.2,58.541666666666664
2023-01-30,30.4,16.8,0.9,15.1,56.25
2023-01-31,28.6,16.1,0.0,17.5,66.375
2023-02-01,26.6,13.1,0.0,14.5,54.416666666666664
2023-02-02,26.4,8.8,0.0,11.0,53.375
2023-02-03,28.2,8.1,0.0,11.6,49.291666666666664
2023-02-04,28.0,9.2,0.0,11.6,46.416666666666664
2023-02-05,28.3,9.8,0.0,11.0,44.541666666666664
2023-02-06,29.1,11.9,0.0,10.8,43.791666666666664
2023-02-07,29.9,12.9,0.0,13.2,42.25
2023-02-08,28.0,12.5,0.0,12.3,48.458333333333336
2023-02-09,30.0,11.8,0.0,10.7,45.666666666666664
2023-02-10,31.9,14.3,0.0,12.7,39.0
2023-02-11,30.2,15.3,0.0,17.4,41.916666666666664
2023-02-12,28.4,14.5,0.0,19.4,46.291666666666664
2023-02-13,25.9,11.5,0.0,14.8,41.625
2023-02-14,28.3,10.2,0.0,14.0,45.458333333333336
2023-02-15,30.0,12.0,0.0,16.4,44.666666666666664
2023-02-16,30.5,13.4,0.0,19.4,47.875
2023-02-17,30.3,13.6,0.0,14.8,51.041666666666664
2023-02-18,31.1,14.0,0.0,13.8,52.041666666666664
2023-02-19,31.5,14.2,0.0,10.3,50.541666666666664
2023-02-20,32.7,14.0,0.0,10.8,44.166666666666664
2023-02-21,34.2,14.6,0.0,11.6,35.25
2023-02-22,32.7,16.8,0.0,10.9,33.916666666666664
2023-02-23,32.1,16.4,0.0,13.0,41.625
2023-02-24,32.2,16.5,0.0,14.3,42.0
2023-02-25,32.4,15.6,0.0,10.8,39.625
2023-02-26,32.6,16.2,0.0,14.4,35.791666666666664
2023-02-27,33.7,16.5,0.0,16.5,31.291666666666668
2023-02-28,32.8,17.0,0.0,11.2,36.166666666666664
2023-03-01,33.6,19.1,0.1,17.2,35.708333333333336
2023-03-02,33.2,19.2,0.0,11.3,34.791666666666664
2023-03-03,34.7,17.8,0.0,15.5,32.125
2023-03-04,34.5,17.0,0.0,14.0,29.125
2023-03-05,32.5,18.2,0.0,16.5,39.083333333333336
2023-03-06,33.5,17.2,0.0,14.3,38.75
2023-03-07,27.4,18.2,0.6,17.3,49.583333333333336
2023-03-08,31.1,15.6,0.0,12.4,52.083333333333336
2023-03-09,31.8,16.5,0.0,12.3,42.666666666666664
2023-03-10,31.8,17.1,0.0,17.2,38.291666666666664
2023-03-11,32.8,16.8,0.0,14.5,38.916666666666664
2023-03-12,34.2,18.1,0.0,14.5,34.583333333333336
2023-03-13,34.4,18.4,0.0,14.3,32.708333333333336
2023-03-14,34.0,18.5,0.0,22.1,37.166666666666664
2023-03-15,33.4,18.2,0.0,10.5,38.0
2023-03-16,27.5,19.2,3.0,15.9,53.875
2023-03-17,30.8,18.5,1.2,16.9,53.458333333333336
2023-03-18,27.9,18.3,3.1,15.7,67.58333333333333
2023-03-19,28.9,17.7,5.7,14.4,76.625
2023-03-20,28.8,16.1,1.6,17.3,66.5
2023-03-21,29.3,17.2,1.0,20.4,63.625
2023-03-22,30.8,17.3,0.1,15.0,66.45833333333333
2023-03-23,30.5,17.0,0.0,9.2,60.625
2023-03-24,32.7,18.0,0.0,11.8,50.833333333333336
2023-03-25,32.9,19.1,0.0,11.9,49.125
2023-03-26,33.9,21.0,0.0,20.2,46.25
2023-03-27,34.6,19.8,0.0,15.1,41.875
2023-03-28,34.1,18.5,0.0,12.0,39.833333333333336
2023-03-29,35.6,19.1,0.0,15.4,39.125
2023-03-30,35.4,20.8,0.8,24.7,49.708333333333336
2023-03-31,31.8,20.7,1.1,21.0,52.583333333333336
2023-04-01,31.6,18.5,0.0,16.9,48.791666666666664
2023-04-02,32.1,19.2,0.0,17.6,42.375
2023-04-03,34.6,18.4,0.0,16.9,37.083333333333336
2023-04-04,35.7,19.6,0.0,19.5,34.708333333333336
2023-04-05,33.9,21.7,0.0,15.9,37.625
2023-04-06,35.7,21.4,0.0,19.5,33.583333333333336
2023-04-07,36.3,19.7,0.0,21.7,35.708333333333336
2023-04-08,32.5,20.6,0.1,17.0,53.625
2023-04-09,32.7,20.7,0.6,15.9,58.208333333333336
2023-04-10,35.8,19.8,0.0,15.1,49.333333333333336
2023-04-11,36.8,21.1,0.0,18.1,33.208333333333336
2023-04-12,38.1,20.5,0.0,13.1,30.5
2023-04-13,38.2,21.5,0.0,15.8,33.583333333333336
2023-04-14,38.2,24.4,0.0,13.4,32.0
2023-04-15,36.6,23.4,0.0,19.2,38.291666666666664
2023-04-16,36.9,21.9,0.0,12.0,40.375
2023-04-17,38.3,22.0,0.0,11.2,36.208333333333336
2023-04-18,39.4,23.5,0.0,15.6,28.291666666666668
2023-04-19,37.8,24.6,0.0,22.4,29.916666666666668
2023-04-20,36.7,24.3,0.0,23.7,33.458333333333336
2023-04-21,35.6,20.8,0.0,17.7,41.083333333333336
2023-04-22,33.2,21.8,0.0,16.9,52.208333333333336
2023-04-23,32.6,20.2,0.1,20.5,56.083333333333336
2023-04-24,33.7,19.2,0.0,17.8,50.541666666666664
2023-04-25,34.6,20.1,0.0,10.8,51.25
2023-04-26,34.1,20.9,0.8,13.1,55.458333333333336
