date,tmax,tmin,precip,wind,rh
2023-01-01,23.0,10.8,0.0,12.1,66.875
2023-01-02,23.1,9.6,0.0,11.8,67.0
2023-01-03,23.3,9.2,0.0,11.4,71.875
2023-01-04,20.5,10.8,0.5,12.1,82.16666666666667
2023-01-05,22.6,9.5,0.0,15.6,79.29166666666667
2023-01-06,22.4,7.8,0.0,10.2,57.458333333333336
2023-01-07,23.2,6.3,0.0,11.9,49.375
2023-01-08,24.3,5.5,0.0,10.5,47.458333333333336
2023-01-09,26.2,6.2,0.0,9.4,48.166666666666664
2023-01-10,25.3,7.5,0.0,9.7,51.125
2023-01-11,24.8,6.7,0.0,10.6,52.791666666666664
2023-01-12,24.8,9.4,0.0,8.6,54.291666666666664
2023-01-13,24.9,9.6,0.0,11.7,59.375
2023-01-14,24.0,10.4,0.0,12.8,68.125
2023-01-15,22.1,8.8,0.0,10.0,69.33333333333333
2023-01-16,23.9,7.1,0.0,16.4,67.91666666666667
2023-01-17,23.9,9.7,0.0,13.3,61.541666666666664
2023-01-18,24.4,9.8,0.0,13.2,54.833333333333336
2023-01-19,25.5,9.1,0.0,11.2,59.708333333333336
2023-01-20,26.8,12.4,0.0,13.8,62.375
2023-01-21,26.7,13.9,0.0,14.8,60.833333333333336
2023-01-22,27.7,13.4,0.0,15.5,56.208333333333336
2023-01-23,27.3,12.7,0.0,9.9,50.458333333333336
2023-01-24,27.3,14.0,0.0,13.6,53.208333333333336
2023-01-25,28.1,15.2,0.0,11.4,61.75
2023-01-26,27.6,13.9,0.0,11.4,68.125
2023-01-27,26.7,15.9,0.0,14.8,76.16666666666667
2023-01-28,27.1,13.6,0.0,13.6,70.75
2023-01-29,29.6,13.6,0.0,9.6,56.916666666666664
2023-01-30,28.7,15.0,0.5,13.0,58.333333333333336
2023-01-31,26.5,14.3,0.3,15.2,68.83333333333333
2023-02-01,25.1,10.1,0.0,12.7,55.041666666666664
2023-02-02,25.9,6.9,0.0,12.3,48.875
2023-02-03,26.7,6.3,0.0,11.9,48.625
2023-02-04,26.5,6.9,0.0,11.2,46.291666666666664
2023-02-05,26.9,9.8,0.0,12.5,45.583333333333336
2023-02-06,27.5,10.4,0.0,10.7,45.25
2023-02-07,27.7,10.5,0.0,14.5,44.666666666666664
2023-02-08,26.1,11.1,0.0,12.4,51.5
2023-02-09,28.5,10.3,0.0,10.7,46.5
2023-02-10,30.0,9.3,0.0,11.8,44.125
2023-02-11,29.0,13.5,0.0,17.3,37.833333333333336
2023-02-12,26.2,12.5,0.0,18.6,46.416666666666664
2023-02-13,25.4,10.7,0.0,17.2,36.041666666666664
2023-02-14,26.5,9.1,0.0,13.7,40.458333333333336
2023-02-15,27.8,10.6,0.0,17.1,43.541666666666664
2023-02-16,28.7,12.2,0.0,19.8,46.458333333333336
2023-02-17,28.4,11.1,0.0,10.8,53.5
2023-02-18,29.6,13.0,0.0,9.1,52.666666666666664
2023-02-19,30.6,13.1,0.0,12.2,53.25
2023-02-20,31.2,11.6,0.0,10.5,48.458333333333336
2023-02-21,32.3,11.3,0.0,9.8,39.291666666666664
2023-02-22,31.3,17.1,0.0,10.1,30.25
2023-02-23,30.7,14.9,0.0,14.0,38.375
2023-02-24,30.4,13.9,0.0,11.8,44.083333333333336
2023-02-25,31.1,15.2,0.0,11.2,40.25
2023-02-26,31.6,15.5,0.0,19.9,35.75
2023-02-27,31.4,16.6,0.0,11.5,30.916666666666668
2023-02-28,31.0,16.7,0.0,11.9,34.0
2023-03-01,31.3,18.7,0.7,20.8,36.041666666666664
2023-03-02,31.4,17.6,0.0,10.9,35.583333333333336
2023-03-03,32.1,16.3,0.0,13.2,33.458333333333336
2023-03-04,33.5,15.6,0.0,19.1,30.25
2023-03-05,31.4,17.5,0.0,14.5,43.208333333333336
2023-03-06,31.4,16.1,0.0,13.3,41.458333333333336
2023-03-07,26.3,16.5,11.7,13.4,56.333333333333336
2023-03-08,28.8,13.7,0.0,11.0,56.375
2023-03-09,29.5,15.7,0.0,10.5,45.125
2023-03-10,29.9,15.5,0.0,21.5,40.666666666666664
2023-03-11,30.9,15.6,0.0,10.2,41.416666666666664
2023-03-12,32.3,16.6,0.0,10.5,35.666666666666664
2023-03-13,33.3,17.0,0.0,14.2,32.708333333333336
2023-03-14,32.8,17.5,0.3,21.4,36.375
2023-03-15,32.0,15.8,0.0,9.8,37.041666666666664
2023-03-16,26.0,17.9,0.7,15.4,53.666666666666664
2023-03-17,29.2,17.3,0.5,18.2,55.458333333333336
2023-03-18,26.7,16.3,0.9,14.2,64.54166666666667
2023-03-19,26.7,15.7,15.5,16.2,80.54166666666667
2023-03-20,25.7,14.5,0.5,17.2,71.75
2023-03-21,27.3,14.9,4.9,14.3,65.79166666666667
2023-03-22,28.2,14.0,0.1,15.3,63.875
2023-03-23,27.8,14.8,0.1,10.7,57.416666666666664
2023-03-24,30.0,15.7,0.0,10.8,54.333333333333336
2023-03-25,31.4,17.3,0.1,12.2,52.166666666666664
2023-03-26,31.2,18.9,0.1,15.3,48.0
2023-03-27,32.1,16.7,0.0,21.6,48.791666666666664
2023-03-28,32.0,18.4,0.0,13.5,41.041666666666664
2023-03-29,33.3,19.1,0.0,14.4,37.833333333333336
2023-03-30,33.7,19.5,2.4,21.4,49.208333333333336
2023-03-31,30.5,17.9,0.3,21.4,60.833333333333336
2023-04-01,30.0,15.9,0.0,17.8,55.625
2023-04-02,29.5,15.8,0.0,19.1,46.125
2023-04-03,32.4,15.1,0.0,19.2,40.333333333333336
2023-04-04,33.5,18.4,0.0,20.4,37.708333333333336
2023-04-05,32.0,18.7,0.0,15.6,39.666666666666664
2023-04-06,33.4,18.0,0.0,14.8,36.458333333333336
2023-04-07,33.6,19.5,0.0,15.1,32.416666666666664
2023-04-08,31.4,19.7,0.7,10.5,53.875
2023-04-09,31.9,18.3,1.2,17.9,52.125
2023-04-10,34.1,17.9,0.0,14.6,45.541666666666664
2023-04-11,35.0,17.7,0.0,14.5,30.416666666666668
2023-04-12,37.1,18.9,0.0,12.1,28.625
2023-04-13,37.0,20.7,0.0,14.2,28.041666666666668
2023-04-14,37.4,23.1,0.0,13.5,30.208333333333332
2023-04-15,35.9,23.5,0.0,18.4,32.333333333333336
2023-04-16,35.8,21.1,0.0,12.6,35.791666666666664
2023-04-17,37.6,22.2,0.0,12.3,30.625
2023-04-18,38.1,21.7,0.0,13.0,26.833333333333332
2023-04-19,37.7,23.1,0.1,24.7,28.25
2023-04-20,35.0,22.6,0.0,20.9,32.583333333333336
2023-04-21,33.8,19.4,0.0,19.0,39.916666666666664
2023-04-22,31.7,19.7,0.7,17.6,47.541666666666664
2023-04-23,32.1,17.6,0.0,16.3,52.75
2023-04-24,32.4,18.0,0.0,19.9,50.208333333333336
2023-04-25,32.8,18.5,0.0,12.3,51.583333333333336
2023-04-26,32.6,20.0,0.1,12.5,48.041666666666664
2023-04-27,32.1,19.5,0.2,14.8,52.583333333333336
2023-04-28,30.7,19.5,3.4,9.9,56.833333333333336
2023-04-29,30.9,18.9,6.3,19.8,72.70833333333333
2023-04-30,26.4,19.2,14.7,14.2,80.08333333333333
2023-05-01,28.2,17.9,8.6,20.0,77.875
2023-05-02,29.3,17.8,7.9,13.1,78.25
2023-05-03,23.7,17.7,1.7,9.2,84.5
2023-05-04,29.0,16.5,1.3,9.2,77.95833333333333
2023-05-05,29.6,19.2,0.2,9.9,70.83333333333333
2023-05-06,33.0,18.8,0.0,18.4,56.25
2023-05-07,32.6,20.1,0.0,13.3,55.583333333333336
2023-05-08,32.1,19.6,2.9,18.5,64.91666666666667
2023-05-09,35.1,20.2,0.0,16.8,52.25
2023-05-10,35.9,18.9,0.0,13.6,30.958333333333332
2023-05-11,35.9,17.6,0.0,15.1,26.458333333333332
2023-05-12,36.4,18.8,0.0,23.0,26.25
2023-05-13,37.4,19.0,0.0,22.5,29.5
2023-05-14,38.3,19.8,0.0,16.6,30.541666666666668
2023-05-15,37.1,23.0,0.0,22.9,26.625
2023-05-16,36.6,20.4,0.0,15.9,33.416666666666664
2023-05-17,37.3,23.3,0.0,13.3,37.208333333333336
2023-05-18,37.4,23.1,0.0,16.6,34.375
2023-05-19,37.3,22.6,0.0,15.4,38.375
2023-05-20,38.1,23.6,0.0,13.5,33.708333333333336
2023-05-21,39.8,22.2,0.0,13.4,26.791666666666668
2023-05-22,37.6,23.8,0.2,19.7,32.208333333333336
2023-05-23,37.8,23.9,0.0,15.9,36.375
2023-05-24,37.6,24.4,0.0,18.5,30.541666666666668
2023-05-25,36.4,24.2,0.0,20.9,36.0
2023-05-26,35.5,22.4,0.0,22.7,42.5
2023-05-27,35.8,21.4,7.4,20.1,57.375
2023-05-28,36.9,20.4,0.2,19.7,62.958333333333336
2023-05-29,34.9,20.1,0.5,15.3,56.583333333333336
2023-05-30,36.7,23.0,0.0,11.3,42.875
2023-05-31,36.3,23.8,0.0,14.7,38.75
2023-06-01,36.4,23.8,0.0,14.5,32.166666666666664
2023-06-02,38.1,22.4,0.0,19.9,32.625
2023-06-03,36.5,24.4,0.2,15.6,41.125
2023-06-04,36.5,22.9,0.2,15.4,44.791666666666664
2023-06-05,35.5,23.1,0.0,11.4,41.75
2023-06-06,36.4,22.5,0.0,17.1,36.083333333333336
2023-06-07,36.6,24.7,0.0,11.6,34.083333333333336
2023-06-08,38.1,24.3,0.0,21.7,30.75
2023-06-09,37.3,23.5,0.0,18.4,34.958333333333336
2023-06-10,37.9,25.4,0.0,18.6,35.708333333333336
2023-06-11,37.4,25.9,0.0,22.4,35.625
2023-06-12,37.6,26.2,0.0,17.8,37.25
2023-06-13,38.1,26.9,1.4,25.0,46.625
2023-06-14,36.4,25.9,0.0,23.8,45.583333333333336
2023-06-15,37.1,28.3,0.6,22.2,39.958333333333336
2023-06-16,37.8,27.9,0.0,20.7,34.083333333333336
2023-06-17,37.6,26.7,0.0,19.3,37.416666666666664
2023-06-18,37.2,27.8,0.0,16.7,39.583333333333336
2023-06-19,37.0,27.5,0.0,16.6,43.166666666666664
2023-06-20,36.1,26.8,0.2,16.7,47.291666666666664
2023-06-21,36.9,26.8,1.0,15.3,58.458333333333336
2023-06-22,33.2,24.4,13.0,16.6,70.08333333333333
2023-06-23,29.4,23.0,11.8,13.7,82.79166666666667
2023-06-24,32.1,24.0,3.0,10.9,80.0
2023-06-25,31.3,22.8,28.1,12.4,84.0
2023-06-26,28.4,22.4,34.7,17.2,90.125
2023-06-27,28.7,22.5,8.8,13.8,87.79166666666667
2023-06-28,28.1,22.2,28.5,14.9,91.66666666666667
2023-06-29,27.9,22.1,19.8,20.7,90.70833333333333
2023-06-30,28.9,22.9,5.4,19.0,87.0
2023-07-01,30.2,22.9,3.9,18.4,83.54166666666667
2023-07-02,28.2,23.2,5.8,15.6,86.625
2023-07-03,31.4,22.9,5.6,11.7,80.70833333333333
2023-07-04,32.3,23.2,15.6,8.7,83.125
2023-07-05,31.4,22.9,14.1,11.3,85.16666666666667
2023-07-06,30.7,22.6,29.4,10.7,86.91666666666667
2023-07-07,27.5,23.1,35.3,13.7,92.125
2023-07-08,28.4,22.6,17.7,17.1,89.83333333333333
2023-07-09,27.2,22.2,24.2,19.4,89.16666666666667
2023-07-10,29.4,22.4,3.4,13.6,88.125
2023-07-11,28.9,23.0,4.6,12.0,88.29166666666667
2023-07-12,30.9,23.1,3.6,12.2,86.08333333333333
2023-07-13,30.6,23.6,3.3,13.6,82.54166666666667
2023-07-14,29.1,23.4,13.8,14.6,87.58333333333333
2023-07-15,28.9,22.8,6.7,13.4,89.54166666666667
2023-07-16,30.4,22.6,15.1,15.8,86.29166666666667
2023-07-17,28.4,22.4,8.5,13.3,89.0
2023-07-18,30.3,22.8,6.8,15.6,84.83333333333333
2023-07-19,30.5,22.9,4.4,14.2,81.83333333333333
2023-07-20,31.1,23.0,5.0,10.2,84.79166666666667
2023-07-21,32.0,23.4,9.2,16.4,82.875
2023-07-22,31.0,23.6,7.1,21.9,82.875
2023-07-23,31.0,23.7,2.0,15.8,82.20833333333333
2023-07-24,29.7,22.6,12.1,9.7,87.375
2023-07-25,31.4,22.2,1.1,11.9,81.54166666666667
2023-07-26,32.2,23.4,0.1,17.3,74.125
2023-07-27,31.9,24.3,4.7,11.8,76.79166666666667
2023-07-28,31.1,23.3,16.4,14.5,84.08333333333333
2023-07-29,29.5,22.6,29.5,17.8,87.125
2023-07-30,29.2,22.8,8.6,16.8,87.41666666666667
2023-07-31,28.7,22.0,9.7,15.5,89.625
2023-08-01,27.8,22.5,13.8,16.5,91.0
2023-08-02,24.6,22.7,41.8,31.0,94.5
2023-08-03,26.3,22.8,117.6,31.0,93.5
2023-08-04,24.4,22.1,66.3,26.7,94.70833333333333
2023-08-05,26.9,22.4,6.1,21.7,89.79166666666667
2023-08-06,26.9,22.8,10.4,20.5,90.29166666666667
2023-08-07,27.8,22.6,2.5,22.0,84.70833333333333
2023-08-08,28.3,22.1,2.0,20.5,81.5
2023-08-09,28.4,22.0,1.8,20.3,81.66666666666667
2023-08-10,29.8,21.9,1.1,15.7,80.25
2023-08-11,29.3,22.7,0.4,13.2,81.0
2023-08-12,29.2,22.2,0.9,17.3,81.54166666666667
2023-08-13,28.8,22.1,1.4,16.2,81.41666666666667
2023-08-14,28.6,22.5,1.3,11.3,82.54166666666667
2023-08-15,29.6,21.6,0.3,10.6,82.95833333333333
2023-08-16,29.9,22.2,5.0,15.9,84.79166666666667
2023-08-17,28.5,22.7,21.1,12.7,88.75
2023-08-18,29.4,21.6,11.9,13.8,86.25
2023-08-19,28.4,22.9,11.4,12.7,88.29166666666667
2023-08-20,30.6,22.4,0.9,13.0,83.125
2023-08-21,30.4,22.0,3.0,8.9,86.125
2023-08-22,28.6,23.2,4.1,11.2,88.04166666666667
2023-08-23,29.0,22.0,17.2,14.7,89.20833333333333
2023-08-24,26.9,22.0,8.9,17.2,88.91666666666667
2023-08-25,27.9,22.2,3.4,20.5,85.5
2023-08-26,28.9,22.3,0.8,18.2,80.58333333333333
2023-08-27,29.1,21.8,0.4,18.8,78.5
2023-08-28,28.2,20.6,1.2,17.3,80.375
2023-08-29,28.8,19.6,0.2,12.3,79.875
2023-08-30,29.3,19.9,0.8,12.7,80.16666666666667
2023-08-31,30.3,20.6,0.2,8.7,79.33333333333333
2023-09-01,30.8,21.6,0.7,9.2,80.125
2023-09-02,31.7,23.1,0.2,13.6,73.70833333333333
2023-09-03,31.4,22.9,1.0,13.4,75.08333333333333
2023-09-04,31.6,22.9,0.3,18.7,71.79166666666667
2023-09-05,28.8,22.3,13.4,14.5,85.375
2023-09-06,28.4,22.2,7.5,13.8,88.70833333333333
2023-09-07,29.5,22.2,9.2,13.7,88.16666666666667
2023-09-08,28.5,22.4,19.4,10.4,89.75
2023-09-09,29.0,22.9,7.9,14.1,88.875
2023-09-10,27.7,22.4,10.1,15.4,90.875
2023-09-11,27.0,22.2,8.1,14.8,91.25
2023-09-12,28.9,22.6,10.1,14.9,88.66666666666667
2023-09-13,29.2,22.2,19.6,13.2,89.66666666666667
