date,tmax,tmin,precip,wind,rh
2023-01-01,21.6,10.7,0.0,12.6,59.0
2023-01-02,21.0,10.2,0.0,12.3,64.16666666666667
2023-01-03,20.8,9.6,0.0,11.9,67.16666666666667
2023-01-04,18.0,9.7,0.8,14.1,80.70833333333333
2023-01-05,17.2,9.3,0.1,13.0,81.95833333333333
2023-01-06,19.7,8.5,0.0,14.0,50.791666666666664
2023-01-07,20.0,8.4,0.0,16.7,34.125
2023-01-08,21.5,9.0,0.0,13.9,30.25
2023-01-09,24.0,11.3,0.0,10.1,29.541666666666668
2023-01-10,23.9,10.0,0.0,10.0,37.166666666666664
2023-01-11,23.7,10.1,0.0,11.2,43.083333333333336
2023-01-12,23.9,8.6,0.0,9.0,49.625
2023-01-13,24.4,11.0,0.0,10.9,48.041666666666664
2023-01-14,23.1,10.7,0.0,12.2,58.083333333333336
2023-01-15,21.8,9.6,0.0,12.5,63.5
2023-01-16,23.3,8.6,0.0,18.0,59.833333333333336
2023-01-17,20.7,10.1,1.9,11.3,67.08333333333333
2023-01-18,23.6,10.6,0.0,11.8,56.0
2023-01-19,23.7,11.2,0.0,11.5,61.458333333333336
2023-01-20,23.4,12.4,0.0,12.5,62.25
2023-01-21,24.3,14.1,0.0,12.6,59.416666666666664
2023-01-22,24.0,14.4,0.0,13.3,52.25
2023-01-23,24.3,13.8,0.0,10.9,48.25
2023-01-24,24.1,13.0,0.0,12.4,46.875
2023-01-25,25.1,16.7,0.0,11.1,51.5
2023-01-26,25.9,13.8,0.0,17.1,58.083333333333336
2023-01-27,24.9,13.7,0.1,15.8,71.0
2023-01-28,25.6,12.6,0.1,14.5,66.75
2023-01-29,24.9,15.3,0.0,10.9,53.333333333333336
2023-01-30,25.3,15.1,0.0,12.6,54.25
2023-01-31,24.0,13.7,0.0,18.4,61.291666666666664
2023-02-01,23.6,11.1,0.0,17.1,49.625
2023-02-02,24.7,8.8,0.0,16.6,33.583333333333336
2023-02-03,24.8,9.2,0.0,14.2,34.541666666666664
2023-02-04,24.5,11.0,0.0,13.3,31.208333333333332
2023-02-05,24.9,11.9,0.0,13.7,38.583333333333336
2023-02-06,25.3,13.9,0.0,11.5,38.333333333333336
2023-02-07,25.5,14.3,0.0,14.0,33.833333333333336
2023-02-08,24.4,13.6,0.0,13.2,42.666666666666664
2023-02-09,26.6,12.2,0.0,13.1,36.708333333333336
2023-02-10,27.8,13.7,0.0,12.0,33.375
2023-02-11,27.7,15.2,0.0,16.5,29.916666666666668
2023-02-12,23.4,11.3,0.0,19.1,42.541666666666664
2023-02-13,24.0,9.6,0.0,12.5,34.208333333333336
2023-02-14,24.8,11.0,0.0,12.7,30.041666666666668
2023-02-15,26.1,13.8,0.0,18.2,32.25
2023-02-16,25.5,12.3,0.0,16.4,41.958333333333336
2023-02-17,24.9,13.5,0.0,11.9,44.0
2023-02-18,26.7,15.1,0.0,12.1,44.416666666666664
2023-02-19,28.7,15.5,0.0,11.3,43.5
2023-02-20,28.8,13.6,0.0,11.2,40.583333333333336
2023-02-21,30.7,16.3,0.0,11.9,25.75
2023-02-22,29.8,16.1,0.0,12.7,22.416666666666668
2023-02-23,28.9,14.9,0.0,12.6,30.541666666666668
2023-02-24,29.2,17.9,0.0,13.5,35.125
2023-02-25,29.1,16.9,0.0,13.8,32.791666666666664
2023-02-26,28.8,17.3,0.0,14.2,30.25
2023-02-27,28.1,17.1,0.0,13.1,28.083333333333332
2023-02-28,27.9,17.3,0.0,10.7,32.625
2023-03-01,28.7,18.0,0.0,11.8,30.541666666666668
2023-03-02,28.6,18.7,0.0,12.6,31.25
2023-03-03,29.6,18.6,0.0,15.6,27.208333333333332
2023-03-04,30.4,17.9,0.0,15.6,23.166666666666668
2023-03-05,29.2,18.7,0.0,15.0,35.083333333333336
2023-03-06,29.5,18.1,0.0,14.1,34.375
2023-03-07,25.4,17.1,0.8,14.0,42.416666666666664
2023-03-08,27.9,14.9,0.4,11.8,47.166666666666664
2023-03-09,27.3,17.0,0.0,12.2,40.458333333333336
2023-03-10,27.4,17.3,2.2,16.0,34.5
2023-03-11,29.4,16.8,0.0,15.0,34.125
2023-03-12,30.3,17.5,0.0,13.0,34.208333333333336
2023-03-13,31.4,18.6,0.8,14.8,30.833333333333332
2023-03-14,30.3,18.9,0.0,13.0,30.458333333333332
2023-03-15,28.7,18.2,0.0,13.9,32.916666666666664
2023-03-16,25.4,18.1,1.1,11.8,44.958333333333336
2023-03-17,27.0,16.7,0.8,14.0,57.041666666666664
2023-03-18,24.1,15.9,0.6,11.7,67.875
2023-03-19,22.8,14.3,11.3,10.9,77.625
2023-03-20,22.7,12.9,7.9,11.6,69.5
2023-03-21,23.0,13.0,3.8,15.8,71.25
2023-03-22,25.6,14.2,1.4,9.9,62.75
2023-03-23,25.3,14.8,0.0,9.4,52.375
2023-03-24,26.6,17.0,0.4,10.3,53.333333333333336
2023-03-25,28.0,19.0,0.5,9.8,54.916666666666664
2023-03-26,27.3,18.7,3.4,10.4,53.708333333333336
2023-03-27,26.6,17.8,0.0,14.2,58.041666666666664
2023-03-28,27.8,17.7,0.0,14.1,50.791666666666664
2023-03-29,29.2,17.9,0.0,13.9,40.833333333333336
2023-03-30,29.5,19.0,11.0,17.1,57.125
2023-03-31,26.6,15.7,12.9,12.3,67.25
2023-04-01,25.8,14.8,0.4,16.3,56.458333333333336
2023-04-02,26.8,16.2,0.2,17.9,46.25
2023-04-03,28.1,16.2,0.0,15.8,39.041666666666664
2023-04-04,30.0,19.9,0.0,16.6,37.083333333333336
2023-04-05,28.0,19.1,0.1,17.7,42.541666666666664
2023-04-06,30.1,19.2,0.0,16.3,35.375
2023-04-07,30.7,19.4,0.0,11.8,34.416666666666664
2023-04-08,26.9,18.6,0.5,14.1,53.041666666666664
2023-04-09,29.0,17.6,1.3,9.2,52.875
2023-04-10,31.1,18.0,0.0,12.1,39.791666666666664
2023-04-11,32.4,20.9,0.0,13.7,26.5
2023-04-12,33.8,21.3,0.0,12.9,25.875
2023-04-13,34.8,21.6,0.0,14.8,29.625
2023-04-14,34.4,22.9,0.0,16.3,31.916666666666668
2023-04-15,33.7,22.8,0.0,16.7,31.25
2023-04-16,31.6,22.1,0.0,15.9,36.958333333333336
2023-04-17,34.7,21.2,0.0,12.7,28.541666666666668
2023-04-18,35.4,24.7,0.2,18.4,25.458333333333332
2023-04-19,34.5,23.7,1.0,15.5,26.791666666666668
2023-04-20,32.3,23.8,0.6,23.0,32.291666666666664
2023-04-21,31.5,19.0,0.4,17.9,38.833333333333336
2023-04-22,29.6,18.7,1.9,14.1,45.416666666666664
2023-04-23,28.6,16.6,4.8,13.0,59.583333333333336
2023-04-24,29.2,16.9,0.0,14.8,53.208333333333336
2023-04-25,30.4,17.2,0.0,14.7,56.458333333333336
2023-04-26,30.3,18.2,0.0,10.5,52.375
2023-04-27,30.3,19.7,3.1,12.6,51.958333333333336
2023-04-28,29.4,19.6,3.1,14.2,52.583333333333336
2023-04-29,26.9,17.2,8.7,13.0,66.83333333333333
2023-04-30,23.9,16.1,17.9,13.7,80.25
2023-05-01,23.8,15.9,3.0,20.9,83.16666666666667
2023-05-02,24.9,16.2,2.0,11.7,79.29166666666667
2023-05-03,23.9,17.8,1.9,10.2,77.04166666666667
2023-05-04,27.9,16.9,0.4,9.1,70.45833333333333
2023-05-05,27.1,18.7,3.9,8.0,69.83333333333333
2023-05-06,29.4,19.2,0.0,11.6,49.875
2023-05-07,30.9,21.4,0.0,10.0,45.791666666666664
2023-05-08,30.5,20.2,0.7,14.2,53.583333333333336
2023-05-09,32.6,22.1,0.0,12.8,43.75
2023-05-10,33.0,22.7,0.0,13.7,26.0
2023-05-11,32.9,22.4,0.0,15.1,22.833333333333332
2023-05-12,33.2,21.5,0.0,16.8,26.958333333333332
2023-05-13,34.2,22.6,0.0,22.7,29.333333333333332
2023-05-14,34.2,22.6,0.0,18.0,30.75
2023-05-15,34.0,23.8,0.0,23.4,28.375
2023-05-16,34.8,23.3,0.0,14.5,32.875
2023-05-17,33.9,22.4,0.0,13.1,40.458333333333336
2023-05-18,34.4,22.3,0.0,16.5,34.791666666666664
2023-05-19,34.7,23.5,0.0,17.4,36.041666666666664
2023-05-20,34.3,24.4,0.0,10.2,35.166666666666664
2023-05-21,36.7,23.3,0.0,12.0,29.708333333333332
2023-05-22,34.6,22.0,0.2,20.6,33.083333333333336
2023-05-23,34.8,25.1,0.0,17.1,34.291666666666664
