date,tmax,tmin,precip,wind,rh
2023-01-01,21.7,10.6,0.0,10.0,70.375
2023-01-02,21.8,8.5,0.0,9.3,72.79166666666667
2023-01-03,22.0,8.5,0.0,11.2,77.29166666666667
2023-01-04,18.6,9.7,0.0,9.2,85.0
2023-01-05,20.6,8.2,0.0,11.2,80.04166666666667
2023-01-06,19.9,6.0,0.0,9.6,71.625
2023-01-07,20.7,5.1,0.0,10.1,63.5
2023-01-08,21.7,6.4,0.0,11.0,54.041666666666664
2023-01-09,23.8,8.7,0.0,11.4,50.166666666666664
2023-01-10,23.2,9.0,0.0,10.5,55.625
2023-01-11,23.7,8.6,0.0,6.6,54.166666666666664
2023-01-12,24.9,8.0,0.0,7.7,56.333333333333336
2023-01-13,26.2,10.2,0.0,9.9,62.166666666666664
2023-01-14,24.6,12.1,0.0,12.5,64.66666666666667
2023-01-15,21.5,10.2,0.0,10.4,74.0
2023-01-16,22.2,7.1,0.0,13.0,69.5
2023-01-17,21.6,8.2,0.0,11.9,62.125
2023-01-18,22.1,7.5,0.0,12.6,58.166666666666664
2023-01-19,23.2,9.4,0.0,10.1,55.833333333333336
2023-01-20,28.3,10.6,0.0,9.2,64.16666666666667
2023-01-21,27.2,14.3,0.0,11.9,63.583333333333336
2023-01-22,28.9,14.1,0.0,12.0,56.666666666666664
2023-01-23,28.3,12.4,0.0,13.1,52.291666666666664
2023-01-24,28.7,13.6,0.0,10.3,53.125
2023-01-25,29.6,15.8,1.1,8.4,66.04166666666667
2023-01-26,26.6,15.5,0.0,9.7,78.20833333333333
2023-01-27,25.7,16.2,0.2,13.7,77.5
2023-01-28,24.8,12.8,0.0,11.6,74.08333333333333
2023-01-29,27.9,13.7,0.0,9.3,62.125
2023-01-30,29.2,13.2,0.1,14.6,61.791666666666664
2023-01-31,25.5,14.2,0.1,13.6,73.5
2023-02-01,24.4,11.9,0.0,11.3,62.208333333333336
2023-02-02,25.1,9.0,0.0,10.8,57.291666666666664
2023-02-03,26.2,9.7,0.0,11.5,53.25
2023-02-04,26.4,9.6,0.0,9.6,48.375
2023-02-05,27.4,11.4,0.0,12.6,47.208333333333336
2023-02-06,28.2,12.8,0.0,10.2,42.25
2023-02-07,28.5,11.7,0.0,15.3,42.708333333333336
2023-02-08,26.5,13.5,0.0,11.7,52.0
2023-02-09,27.8,12.4,0.0,8.8,47.0
2023-02-10,30.9,11.9,0.0,11.6,41.416666666666664
2023-02-11,29.7,12.8,0.0,18.5,40.208333333333336
2023-02-12,27.2,14.7,0.0,18.9,47.208333333333336
2023-02-13,25.1,12.7,0.0,18.9,36.375
2023-02-14,26.5,11.9,0.0,15.1,38.0
2023-02-15,28.1,13.6,0.0,17.1,40.625
2023-02-16,28.0,13.9,0.0,17.2,49.0
2023-02-17,27.4,12.5,0.0,9.3,56.0
2023-02-18,28.8,13.6,0.0,10.1,56.083333333333336
2023-02-19,30.4,14.0,0.0,10.9,54.708333333333336
2023-02-20,31.2,15.5,0.0,10.5,47.708333333333336
2023-02-21,33.3,13.6,0.0,11.5,38.75
2023-02-22,32.2,15.1,0.0,12.2,33.958333333333336
2023-02-23,31.6,15.5,0.0,14.2,40.125
2023-02-24,31.1,17.8,0.0,10.8,42.541666666666664
2023-02-25,30.8,15.7,0.0,12.5,40.666666666666664
2023-02-26,30.8,15.8,0.0,13.7,36.416666666666664
2023-02-27,31.3,15.7,0.0,10.0,32.916666666666664
2023-02-28,31.8,16.3,0.0,10.5,37.291666666666664
2023-03-01,32.4,17.6,0.0,9.8,37.291666666666664
2023-03-02,32.1,19.2,0.0,10.1,36.958333333333336
2023-03-03,32.6,18.6,0.0,14.4,33.625
2023-03-04,33.2,16.9,0.0,13.6,30.958333333333332
2023-03-05,32.3,18.0,0.0,12.9,43.166666666666664
2023-03-06,32.2,17.4,0.0,13.8,42.541666666666664
2023-03-07,28.9,17.8,5.3,16.9,55.75
2023-03-08,28.9,15.3,0.0,8.8,59.416666666666664
2023-03-09,30.1,16.1,0.7,10.0,51.875
2023-03-10,30.9,16.3,0.0,12.2,43.0
2023-03-11,31.3,16.1,0.0,10.9,45.041666666666664
2023-03-12,32.8,16.6,0.0,10.4,36.208333333333336
2023-03-13,33.6,18.4,0.0,15.0,33.75
2023-03-14,33.1,18.3,0.6,19.5,36.875
2023-03-15,33.2,17.4,0.0,10.5,35.833333333333336
2023-03-16,27.9,19.2,0.2,13.4,47.541666666666664
2023-03-17,30.6,18.3,0.0,16.2,55.041666666666664
2023-03-18,29.4,17.2,3.3,12.5,61.708333333333336
2023-03-19,27.7,16.9,17.5,18.3,74.29166666666667
2023-03-20,26.4,15.8,8.9,12.4,74.33333333333333
2023-03-21,27.2,16.1,11.0,19.1,70.0
2023-03-22,29.1,14.8,0.0,16.5,62.166666666666664
2023-03-23,30.0,16.3,0.0,14.5,47.833333333333336
2023-03-24,31.8,17.5,0.0,11.2,49.041666666666664
2023-03-25,33.0,18.8,0.0,11.7,48.583333333333336
2023-03-26,33.0,19.0,1.3,23.3,50.208333333333336
2023-03-27,31.4,17.8,0.0,15.0,50.625
2023-03-28,32.6,18.8,0.0,10.3,38.708333333333336
2023-03-29,33.8,18.7,0.0,13.2,35.625
2023-03-30,35.3,19.3,1.1,18.1,49.708333333333336
2023-03-31,31.3,20.1,4.9,14.3,56.958333333333336
2023-04-01,31.6,17.0,0.0,17.7,52.791666666666664
2023-04-02,31.6,17.6,0.0,18.9,43.291666666666664
2023-04-03,34.3,17.8,0.0,16.5,33.666666666666664
2023-04-04,35.2,19.4,0.0,22.1,34.5
2023-04-05,33.1,19.7,0.0,14.9,39.25
2023-04-06,34.3,19.2,0.0,9.7,33.791666666666664
2023-04-07,34.7,19.2,0.0,12.4,30.125
2023-04-08,32.9,20.2,0.9,26.0,48.625
2023-04-09,34.1,18.5,1.3,12.4,50.25
2023-04-10,35.2,18.6,0.0,15.6,38.333333333333336
2023-04-11,37.1,21.0,0.0,19.5,26.0
2023-04-12,38.5,22.6,0.0,14.3,23.666666666666668
2023-04-13,38.8,22.0,0.0,14.0,25.958333333333332
2023-04-14,38.7,21.5,0.0,15.7,31.416666666666668
2023-04-15,37.9,22.8,0.0,20.3,29.541666666666668
2023-04-16,37.0,22.5,0.0,17.6,32.583333333333336
2023-04-17,39.3,22.2,0.0,12.5,28.666666666666668
2023-04-18,40.0,24.9,0.0,17.2,23.0
2023-04-19,39.8,24.4,0.0,27.3,24.625
2023-04-20,36.2,25.8,0.0,26.3,26.958333333333332
2023-04-21,36.8,24.2,0.4,24.6,31.541666666666668
2023-04-22,34.0,21.4,0.0,24.6,38.291666666666664
2023-04-23,34.5,19.9,2.2,24.6,50.166666666666664
2023-04-24,34.1,19.0,1.5,14.5,49.666666666666664
2023-04-25,34.5,18.2,0.0,11.9,53.541666666666664
2023-04-26,34.4,21.3,0.0,16.1,41.333333333333336
2023-04-27,34.7,22.1,0.2,20.7,45.208333333333336
2023-04-28,34.4,21.7,0.7,18.4,50.291666666666664
2023-04-29,31.7,20.5,2.6,25.5,69.20833333333333
2023-04-30,29.1,19.8,6.6,12.0,78.91666666666667
2023-05-01,29.6,18.9,30.2,16.3,79.79166666666667
2023-05-02,30.6,18.5,2.5,19.3,77.45833333333333
2023-05-03,26.9,19.7,0.4,9.7,74.16666666666667
2023-05-04,30.3,18.1,1.8,10.8,73.875
2023-05-05,31.6,20.9,0.0,8.9,63.625
2023-05-06,34.4,21.0,0.0,11.6,46.416666666666664
2023-05-07,35.0,21.5,0.1,20.6,50.666666666666664
2023-05-08,32.2,21.3,8.7,26.3,64.75
2023-05-09,38.1,21.8,0.0,22.4,39.583333333333336
2023-05-10,38.7,22.3,0.0,19.6,25.416666666666668
2023-05-11,37.8,21.7,0.0,18.1,21.208333333333332
2023-05-12,37.9,22.0,0.0,19.8,24.541666666666668
2023-05-13,39.3,22.1,0.0,21.3,25.458333333333332
2023-05-14,40.3,22.6,0.0,18.4,26.25
2023-05-15,39.9,24.0,0.0,24.2,24.666666666666668
2023-05-16,39.5,22.9,0.0,18.9,27.125
2023-05-17,40.1,25.2,0.0,17.3,28.958333333333332
2023-05-18,40.0,23.8,0.1,18.0,29.291666666666668
2023-05-19,39.8,25.5,0.0,16.7,30.041666666666668
2023-05-20,40.0,26.5,0.0,14.2,27.166666666666668
2023-05-21,42.2,24.3,0.0,16.6,23.333333333333332
2023-05-22,38.8,27.0,0.0,24.1,25.458333333333332
2023-05-23,40.6,27.7,0.1,20.6,28.041666666666668
2023-05-24,40.5,28.2,0.0,19.9,26.375
2023-05-25,38.3,26.1,0.3,22.7,35.666666666666664
2023-05-26,37.1,25.3,0.0,23.3,40.416666666666664
2023-05-27,37.9,23.2,10.0,15.8,52.625
2023-05-28,39.3,22.8,0.7,18.3,53.458333333333336
2023-05-29,36.4,22.9,1.4,18.5,51.333333333333336
2023-05-30,38.8,26.0,0.0,15.9,36.833333333333336
2023-05-31,38.0,26.0,0.0,13.7,35.25
2023-06-01,38.5,25.7,0.0,16.3,29.5
2023-06-02,39.5,24.5,0.0,19.9,29.458333333333332
2023-06-03,38.8,26.4,0.0,11.5,34.0
2023-06-04,36.7,25.9,0.4,18.4,41.458333333333336
2023-06-05,37.3,25.1,0.1,11.5,39.583333333333336
2023-06-06,38.5,25.9,0.0,14.0,33.541666666666664
2023-06-07,38.7,26.4,0.0,11.2,30.666666666666668
2023-06-08,39.9,26.6,0.0,20.6,28.875
2023-06-09,39.3,26.1,0.0,17.9,29.75
2023-06-10,39.5,28.3,0.0,21.4,31.916666666666668
2023-06-11,39.6,29.0,0.0,25.0,31.75
2023-06-12,39.7,28.6,0.3,17.6,33.708333333333336
2023-06-13,40.6,30.4,0.1,20.9,36.458333333333336
2023-06-14,37.9,25.2,1.4,23.8,48.708333333333336
2023-06-15,38.4,30.5,0.0,26.0,37.875
2023-06-16,39.4,29.4,0.0,20.8,34.5
2023-06-17,39.0,28.2,0.0,19.2,38.291666666666664
2023-06-18,39.5,29.6,0.0,16.9,37.833333333333336
2023-06-19,39.3,29.3,0.0,16.0,40.0
2023-06-20,38.7,27.9,0.0,17.2,44.583333333333336
2023-06-21,37.7,28.0,1.2,17.1,56.625
2023-06-22,34.6,25.4,10.0,17.3,68.58333333333333
2023-06-23,31.9,25.5,16.1,12.4,74.25
2023-06-24,33.7,25.4,6.1,11.0,78.33333333333333
2023-06-25,31.6,23.6,29.8,16.9,84.625
2023-06-26,29.1,23.6,43.8,16.6,91.45833333333333
2023-06-27,28.4,23.4,14.1,14.4,88.66666666666667
2023-06-28,28.3,23.5,22.7,12.7,89.5
2023-06-29,29.5,24.0,16.0,16.3,84.08333333333333
2023-06-30,31.0,24.9,4.0,13.4,78.45833333333333
2023-07-01,32.5,25.1,2.8,13.1,75.08333333333333
2023-07-02,30.3,25.2,2.5,14.9,79.875
2023-07-03,33.1,24.9,0.4,12.5,74.29166666666667
2023-07-04,34.2,24.9,21.0,10.6,79.45833333333333
2023-07-05,32.2,25.0,13.1,14.2,80.79166666666667
2023-07-06,33.1,24.7,10.2,12.4,82.0
2023-07-07,30.4,24.1,19.4,6.6,88.29166666666667
2023-07-08,31.1,24.5,17.3,11.8,83.125
2023-07-09,30.5,23.9,7.5,11.2,82.54166666666667
2023-07-10,31.3,24.1,13.2,11.8,81.75
2023-07-11,31.2,24.6,7.5,9.3,82.54166666666667
2023-07-12,32.1,24.3,2.8,12.7,83.33333333333333
2023-07-13,32.8,24.3,4.6,10.0,75.04166666666667
2023-07-14,31.1,24.9,19.7,7.7,82.625
2023-07-15,30.3,24.1,4.8,10.7,86.58333333333333
2023-07-16,31.3,23.5,21.0,10.8,85.08333333333333
2023-07-17,30.4,23.4,18.4,10.3,88.875
2023-07-18,30.6,23.1,6.1,11.5,86.0
2023-07-19,31.6,23.8,5.2,13.2,82.625
2023-07-20,32.7,24.5,4.1,12.1,84.16666666666667
2023-07-21,32.7,24.6,3.8,16.0,83.58333333333333
2023-07-22,29.8,23.9,6.3,17.8,85.04166666666667
2023-07-23,31.3,24.0,0.7,19.9,82.5
2023-07-24,31.5,23.8,3.7,11.3,83.20833333333333
2023-07-25,32.6,23.8,3.5,11.6,82.79166666666667
2023-07-26,33.3,24.9,0.0,15.1,74.125
2023-07-27,32.5,25.3,5.2,11.5,76.20833333333333
2023-07-28,32.4,24.9,9.9,15.2,82.66666666666667
2023-07-29,31.2,24.1,4.0,17.7,83.25
2023-07-30,31.4,24.7,9.1,19.7,81.08333333333333
2023-07-31,30.8,24.9,1.6,18.9,80.04166666666667
2023-08-01,29.1,24.5,15.9,18.1,87.41666666666667
2023-08-02,26.6,24.0,57.8,32.4,93.33333333333333
2023-08-03,29.3,23.7,57.5,34.8,92.25
2023-08-04,27.1,24.0,12.0,21.7,90.20833333333333
2023-08-05,29.6,24.3,15.8,20.6,83.83333333333333
2023-08-06,29.8,24.4,10.5,22.3,85.04166666666667
2023-08-07,30.3,24.4,1.4,21.4,77.83333333333333
2023-08-08,30.2,24.3,0.7,21.8,75.33333333333333
2023-08-09,29.1,24.1,0.2,19.5,76.58333333333333
2023-08-10,30.8,23.8,0.3,16.9,77.66666666666667
2023-08-11,30.9,23.1,5.9,15.1,77.58333333333333
2023-08-12,30.9,24.5,0.2,16.4,74.83333333333333
2023-08-13,31.5,24.2,0.3,14.8,72.625
2023-08-14,30.2,23.4,11.5,13.2,85.41666666666667
2023-08-15,30.7,23.0,0.3,11.1,82.20833333333333
2023-08-16,31.5,24.3,5.9,13.7,78.95833333333333
2023-08-17,30.8,23.9,20.2,14.2,85.54166666666667
2023-08-18,29.8,22.7,18.4,12.6,88.79166666666667
2023-08-19,29.4,23.4,9.8,11.4,88.29166666666667
2023-08-20,31.6,23.6,0.2,12.9,81.875
2023-08-21,31.9,23.4,1.2,9.5,82.66666666666667
2023-08-22,30.3,24.1,21.4,13.0,87.45833333333333
2023-08-23,30.2,23.8,9.1,14.3,85.20833333333333
2023-08-24,29.7,23.6,3.0,19.0,81.54166666666667
2023-08-25,29.1,24.3,1.0,20.9,78.70833333333333
2023-08-26,30.2,24.6,0.8,19.3,74.5
2023-08-27,30.5,24.4,0.1,19.2,70.625
2023-08-28,29.9,23.2,0.0,17.0,72.5
2023-08-29,30.3,22.7,0.8,13.4,74.45833333333333
2023-08-30,30.9,22.1,0.5,13.1,77.41666666666667
2023-08-31,32.3,22.3,0.2,10.3,73.83333333333333
2023-09-01,32.8,24.0,1.0,10.2,73.20833333333333
2023-09-02,33.3,24.4,0.2,13.9,68.5
2023-09-03,33.3,24.9,0.6,13.3,70.875
2023-09-04,32.8,23.3,11.1,17.3,77.70833333333333
2023-09-05,28.3,22.6,13.8,9.5,89.41666666666667
2023-09-06,30.6,22.9,5.2,15.9,87.54166666666667
2023-09-07,30.4,23.2,13.4,13.8,88.41666666666667
2023-09-08,30.9,23.0,36.3,10.7,89.625
2023-09-09,30.5,23.6,16.3,13.7,85.375
2023-09-10,30.6,23.3,6.7,12.6,84.125
2023-09-11,29.9,23.7,5.5,9.7,87.20833333333333
2023-09-12,30.5,23.4,7.5,12.3,86.91666666666667
2023-09-13,31.5,23.3,26.2,12.1,87.16666666666667
2023-09-14,30.3,23.2,19.5,18.0,90.20833333333333
2023-09-15,29.2,23.8,39.0,24.3,86.29166666666667
2023-09-16,31.6,24.5,2.0,15.9,76.08333333333333
2023-09-17,32.0,23.2,0.3,9.9,76.83333333333333
2023-09-18,31.0,22.1,6.6,13.7,86.75
2023-09-19,31.0,22.2,0.8,12.4,83.375
2023-09-20,31.3,23.5,8.3,13.8,86.04166666666667
2023-09-21,29.9,23.3,27.5,14.2,89.375
2023-09-22,29.8,23.3,5.3,12.1,87.375
2023-09-23,30.6,23.3,4.4,16.1,85.33333333333333
2023-09-24,30.3,22.1,2.3,13.9,81.33333333333333
2023-09-25,30.7,22.1,0.1,11.5,78.54166666666667
2023-09-26,30.7,21.7,0.2,9.9,78.5
2023-09-27,29.9,21.6,1.4,10.0,84.08333333333333
2023-09-28,30.4,22.6,2.6,9.1,87.25
2023-09-29,30.4,22.6,10.0,8.4,88.29166666666667
2023-09-30,30.8,22.9,4.9,11.9,85.625
2023-10-01,29.5,22.7,3.9,14.3,86.66666666666667
2023-10-02,27.6,23.1,19.2,17.0,91.08333333333333
2023-10-03,28.9,22.4,24.3,22.1,84.91666666666667
2023-10-04,29.4,20.4,0.0,16.5,61.583333333333336
2023-10-05,30.4,21.2,0.0,14.0,71.54166666666667
2023-10-06,30.8,22.2,0.0,13.7,69.33333333333333
2023-10-07,31.8,19.4,0.0,13.3,65.58333333333333
2023-10-08,32.4,20.4,0.0,9.0,68.25
2023-10-09,32.5,20.5,0.0,12.9,69.29166666666667
2023-10-10,32.8,20.4,0.0,10.2,69.375
2023-10-11,32.5,20.1,0.0,13.1,63.625
2023-10-12,32.5,20.3,0.0,11.9,61.375
2023-10-13,32.1,20.0,0.0,11.1,58.041666666666664
2023-10-14,32.6,18.8,0.0,10.7,58.166666666666664
2023-10-15,32.0,17.6,0.0,8.4,61.041666666666664
2023-10-16,30.1,18.1,0.5,9.2,66.625
2023-10-17,29.9,19.1,0.2,15.5,74.875
2023-10-18,29.1,19.3,0.0,9.7,73.16666666666667
2023-10-19,28.4,18.9,0.0,9.0,71.75
2023-10-20,29.1,18.3,0.0,9.8,62.958333333333336
2023-10-21,29.4,16.0,0.0,11.4,59.583333333333336
2023-10-22,28.5,17.5,0.0,12.6,58.083333333333336
2023-10-23,27.0,15.5,0.0,9.4,65.41666666666667
2023-10-24,27.3,16.0,0.0,10.9,63.375
2023-10-25,28.9,15.9,0.0,7.3,60.041666666666664
2023-10-26,28.2,15.6,0.0,11.8,53.166666666666664
2023-10-27,28.5,14.3,0.0,9.6,53.25
2023-10-28,28.5,13.2,0.0,8.7,56.083333333333336
2023-10-29,28.3,14.1,0.0,7.3,60.291666666666664
2023-10-30,28.0,15.2,0.0,7.8,61.75
2023-10-31,28.5,16.4,0.0,8.0,65.83333333333333
2023-11-01,29.0,17.0,0.0,7.9,69.91666666666667
2023-11-02,28.8,17.4,0.0,18.3,73.91666666666667
2023-11-03,28.9,18.1,0.0,10.2,63.125
2023-11-04,29.0,17.5,0.0,10.8,55.666666666666664
2023-11-05,29.0,17.4,0.0,10.5,50.916666666666664
2023-11-06,29.3,15.7,0.0,13.6,48.375
2023-11-07,28.7,16.2,0.0,15.5,53.25
2023-11-08,29.6,16.7,0.0,13.2,53.625
2023-11-09,30.2,15.4,0.0,10.6,54.666666666666664
