date,tmax,tmin,precip,wind,rh
2023-01-01,21.6,10.4,0.0,11.3,71.29166666666667
2023-01-02,21.0,7.9,0.0,10.8,76.33333333333333
2023-01-03,20.8,7.6,0.0,12.6,81.41666666666667
2023-01-04,19.4,7.0,0.0,10.3,77.75
2023-01-05,18.7,5.2,0.0,11.3,82.875
2023-01-06,19.6,5.9,0.0,10.5,80.04166666666667
2023-01-07,20.0,5.8,0.0,10.3,73.75
2023-01-08,21.2,5.0,0.0,9.8,61.666666666666664
2023-01-09,22.7,6.6,0.0,8.8,63.75
2023-01-10,23.1,6.5,0.0,9.6,73.58333333333333
2023-01-11,23.7,8.0,0.0,11.1,71.375
2023-01-12,24.6,8.8,0.0,8.8,70.58333333333333
2023-01-13,25.9,12.1,0.0,13.0,66.625
2023-01-14,23.6,12.5,0.0,14.6,74.08333333333333
2023-01-15,19.9,8.9,0.0,10.9,75.95833333333333
2023-01-16,19.1,6.2,0.0,10.3,65.75
2023-01-17,19.4,4.7,0.0,10.4,65.08333333333333
2023-01-18,20.1,5.2,0.0,10.7,65.95833333333333
2023-01-19,21.2,7.5,0.0,10.0,60.375
2023-01-20,24.9,7.5,0.0,15.0,68.0
2023-01-21,24.9,11.6,0.3,8.7,77.66666666666667
2023-01-22,25.2,13.8,1.2,17.8,79.95833333333333
2023-01-23,27.0,14.2,0.0,13.0,72.75
2023-01-24,29.0,14.8,0.1,12.7,60.041666666666664
2023-01-25,27.6,14.9,3.5,12.8,73.95833333333333
2023-01-26,22.8,16.5,0.8,15.6,87.54166666666667
2023-01-27,24.0,13.5,0.0,15.1,80.70833333333333
2023-01-28,23.1,10.0,0.0,8.7,64.25
2023-01-29,25.8,8.1,0.0,12.4,68.375
2023-01-30,28.0,11.3,0.5,16.5,70.375
2023-01-31,23.2,13.4,0.0,16.5,80.0
2023-02-01,21.6,10.9,0.0,13.8,71.58333333333333
2023-02-02,22.7,9.3,0.0,11.4,72.45833333333333
2023-02-03,24.4,9.8,0.0,12.7,69.25
2023-02-04,25.3,10.8,0.0,13.6,66.08333333333333
2023-02-05,26.5,12.5,0.0,12.8,60.291666666666664
2023-02-06,27.8,12.7,0.0,11.5,55.875
2023-02-07,27.6,12.5,0.0,17.7,54.708333333333336
2023-02-08,25.0,12.8,0.0,15.6,58.041666666666664
2023-02-09,26.8,10.4,0.0,9.4,55.708333333333336
2023-02-10,30.3,12.1,0.0,17.6,54.666666666666664
2023-02-11,29.0,14.4,0.0,19.3,50.041666666666664
2023-02-12,25.9,13.7,0.0,21.9,47.458333333333336
2023-02-13,23.5,11.6,0.0,22.4,39.541666666666664
2023-02-14,25.1,11.3,0.0,16.8,42.666666666666664
2023-02-15,27.2,12.4,0.0,16.6,44.583333333333336
2023-02-16,27.3,12.9,0.0,15.1,58.208333333333336
2023-02-17,26.8,14.0,0.0,9.0,57.875
2023-02-18,28.2,13.6,0.0,10.1,62.208333333333336
2023-02-19,29.3,14.2,0.0,10.4,62.958333333333336
2023-02-20,31.3,13.4,0.0,9.0,56.083333333333336
2023-02-21,32.8,14.5,0.0,18.0,44.666666666666664
2023-02-22,31.7,17.5,0.0,14.1,38.041666666666664
2023-02-23,30.9,16.5,0.0,14.6,45.666666666666664
2023-02-24,30.3,15.4,0.0,12.4,44.416666666666664
2023-02-25,30.4,14.9,0.0,10.7,44.625
2023-02-26,31.5,15.4,0.0,12.8,38.75
2023-02-27,31.5,15.7,0.0,16.9,40.291666666666664
2023-02-28,31.6,16.5,0.0,12.6,42.958333333333336
2023-03-01,32.6,17.4,0.0,15.0,39.583333333333336
2023-03-02,32.5,17.2,0.0,12.1,44.166666666666664
2023-03-03,33.4,16.5,0.0,14.2,47.916666666666664
2023-03-04,33.0,16.7,0.0,16.6,46.625
2023-03-05,32.2,17.8,0.0,17.6,47.125
2023-03-06,31.4,17.5,0.0,17.1,46.291666666666664
2023-03-07,29.2,18.3,4.7,17.9,54.666666666666664
2023-03-08,27.6,16.2,0.7,13.0,60.0
2023-03-09,29.9,16.2,1.4,17.7,54.416666666666664
2023-03-10,30.0,16.0,0.0,16.8,54.583333333333336
2023-03-11,30.6,16.6,0.0,9.5,48.916666666666664
2023-03-12,31.6,17.2,0.0,11.5,43.916666666666664
2023-03-13,32.1,17.8,0.0,9.7,44.416666666666664
2023-03-14,32.7,18.4,0.0,17.3,42.708333333333336
2023-03-15,33.3,17.9,0.0,14.4,39.291666666666664
2023-03-16,29.8,19.3,0.7,19.2,51.291666666666664
2023-03-17,30.7,17.7,0.0,13.7,57.916666666666664
2023-03-18,28.7,18.6,2.4,18.4,68.08333333333333
2023-03-19,26.8,16.7,3.2,14.0,74.16666666666667
2023-03-20,24.4,17.3,9.3,11.4,80.91666666666667
2023-03-21,28.3,16.5,4.3,27.5,72.70833333333333
2023-03-22,28.9,15.1,0.0,14.8,63.625
2023-03-23,29.8,16.6,0.0,12.2,57.958333333333336
2023-03-24,31.6,18.3,0.3,14.7,55.25
2023-03-25,32.5,19.5,0.0,16.8,50.833333333333336
2023-03-26,29.7,19.4,0.7,14.3,59.75
2023-03-27,31.4,18.2,0.0,14.2,52.625
2023-03-28,32.0,19.6,0.0,13.5,41.25
2023-03-29,33.0,18.6,0.0,13.9,40.708333333333336
2023-03-30,34.2,20.2,0.6,19.4,43.5
2023-03-31,31.2,19.2,2.3,18.4,68.375
2023-04-01,30.1,17.2,0.2,17.9,67.08333333333333
2023-04-02,31.4,17.7,0.0,21.1,49.0
2023-04-03,34.3,18.3,0.0,17.1,40.041666666666664
2023-04-04,34.1,19.5,0.0,21.6,38.708333333333336
2023-04-05,33.5,19.9,0.0,17.8,40.041666666666664
2023-04-06,34.1,18.8,0.0,11.0,34.25
2023-04-07,34.7,20.0,0.0,13.0,32.5
2023-04-08,34.2,21.1,0.0,14.5,37.166666666666664
2023-04-09,33.4,19.9,0.1,18.1,47.125
2023-04-10,35.7,20.0,0.0,19.3,33.125
2023-04-11,36.6,19.8,0.0,22.1,23.625
2023-04-12,38.2,21.3,0.0,14.2,26.625
2023-04-13,38.4,21.6,0.0,14.9,29.333333333333332
2023-04-14,38.6,23.0,0.0,14.7,32.0
2023-04-15,38.3,23.4,0.0,16.3,28.291666666666668
2023-04-16,39.3,24.2,0.0,19.4,27.291666666666668
2023-04-17,39.7,23.3,0.0,14.3,26.041666666666668
2023-04-18,40.1,24.8,0.0,20.8,22.416666666666668
2023-04-19,40.6,24.8,0.0,23.1,21.916666666666668
2023-04-20,36.4,24.0,0.2,28.5,27.25
2023-04-21,36.9,25.9,0.0,26.1,29.833333333333332
2023-04-22,36.0,22.6,0.0,16.6,33.333333333333336
2023-04-23,34.1,21.1,3.8,22.8,45.791666666666664
2023-04-24,34.3,20.4,2.0,20.3,49.541666666666664
2023-04-25,33.2,18.4,0.0,11.3,52.0
2023-04-26,34.7,21.9,0.0,16.9,47.458333333333336
2023-04-27,33.6,21.7,0.0,15.6,50.083333333333336
2023-04-28,34.1,21.8,2.5,24.9,51.666666666666664
2023-04-29,32.8,22.9,0.0,16.6,52.75
2023-04-30,30.6,21.8,16.0,11.7,73.08333333333333
2023-05-01,29.7,19.1,11.8,15.9,76.625
2023-05-02,31.9,18.6,3.8,17.7,69.41666666666667
2023-05-03,30.0,21.1,5.5,9.4,72.875
2023-05-04,30.8,19.9,10.5,11.2,73.45833333333333
2023-05-05,32.7,21.3,0.0,11.9,57.458333333333336
2023-05-06,34.9,20.7,0.0,14.3,46.958333333333336
2023-05-07,36.7,21.3,0.0,21.3,42.958333333333336
2023-05-08,36.0,22.7,0.0,18.0,47.458333333333336
2023-05-09,39.4,24.2,0.0,22.9,35.25
2023-05-10,38.3,21.9,0.0,20.9,23.041666666666668
2023-05-11,38.2,22.0,0.0,17.2,23.333333333333332
2023-05-12,38.1,23.0,0.0,12.7,27.5
2023-05-13,39.8,21.9,0.0,16.3,28.708333333333332
2023-05-14,41.4,22.9,0.0,23.6,29.0
2023-05-15,39.9,25.9,0.0,21.1,26.083333333333332
2023-05-16,39.4,23.2,0.0,23.3,29.875
2023-05-17,40.6,27.2,0.0,14.8,28.416666666666668
2023-05-18,39.1,25.4,0.0,22.5,30.291666666666668
2023-05-19,39.6,25.3,0.0,21.3,33.291666666666664
2023-05-20,40.1,25.3,0.0,19.7,27.291666666666668
2023-05-21,41.8,25.3,0.0,24.9,23.916666666666668
2023-05-22,41.1,28.0,0.0,24.1,25.666666666666668
2023-05-23,41.9,27.5,0.0,21.8,26.708333333333332
2023-05-24,40.5,29.1,0.0,22.7,29.583333333333332
2023-05-25,34.7,27.0,12.1,20.5,45.708333333333336
2023-05-26,34.7,23.7,1.7,22.2,56.25
2023-05-27,37.0,23.2,9.5,22.7,62.75
2023-05-28,36.8,23.0,0.3,8.9,57.583333333333336
2023-05-29,36.4,23.7,0.0,12.6,57.791666666666664
2023-05-30,37.2,25.4,0.5,17.1,48.541666666666664
2023-05-31,37.0,24.9,0.0,17.6,41.541666666666664
2023-06-01,37.2,24.6,0.0,19.8,40.041666666666664
2023-06-02,37.7,24.8,0.2,22.7,40.25
2023-06-03,39.4,25.5,0.0,15.8,35.291666666666664
2023-06-04,37.5,26.4,0.8,20.8,40.791666666666664
2023-06-05,36.9,25.8,0.1,14.1,43.125
2023-06-06,39.3,26.3,0.0,18.8,34.416666666666664
2023-06-07,40.1,26.5,0.0,16.3,30.625
2023-06-08,40.4,27.1,0.0,19.7,28.666666666666668
2023-06-09,39.8,28.2,0.0,23.0,30.708333333333332
2023-06-10,39.4,29.0,0.0,25.2,32.958333333333336
2023-06-11,41.0,29.2,0.0,29.9,30.375
2023-06-12,40.5,29.7,0.0,20.4,32.791666666666664
2023-06-13,41.8,30.5,0.0,25.8,33.875
2023-06-14,39.8,29.2,0.1,27.7,37.125
2023-06-15,40.7,31.4,0.0,28.5,33.25
2023-06-16,40.1,30.4,0.0,23.7,32.083333333333336
2023-06-17,40.6,31.0,0.0,20.2,34.416666666666664
2023-06-18,39.9,31.5,0.0,17.5,36.333333333333336
2023-06-19,39.8,30.7,0.4,19.1,42.041666666666664
2023-06-20,38.7,29.5,0.3,23.1,49.5
2023-06-21,36.6,29.5,1.5,24.2,57.666666666666664
2023-06-22,34.4,25.6,9.1,24.9,68.16666666666667
2023-06-23,33.1,25.9,1.4,14.9,70.70833333333333
2023-06-24,35.5,26.7,2.4,13.7,73.125
2023-06-25,34.8,25.2,11.1,14.8,75.08333333333333
2023-06-26,31.3,25.0,17.5,19.5,84.95833333333333
2023-06-27,32.9,25.1,5.0,18.1,75.04166666666667
2023-06-28,30.7,25.8,10.5,10.2,81.875
2023-06-29,28.7,24.3,23.3,17.1,88.04166666666667
2023-06-30,32.1,24.5,25.0,16.9,83.79166666666667
2023-07-01,33.1,25.8,3.8,19.4,76.58333333333333
2023-07-02,32.9,26.1,4.4,17.0,76.29166666666667
2023-07-03,34.1,27.0,1.1,17.8,71.625
2023-07-04,34.6,26.9,1.2,15.7,70.0
2023-07-05,34.6,27.2,11.2,11.5,75.875
2023-07-06,35.2,25.4,22.4,17.3,81.375
2023-07-07,32.6,25.3,7.8,13.3,86.0
2023-07-08,32.0,25.5,7.2,12.8,81.5
2023-07-09,31.9,25.2,7.6,12.2,80.41666666666667
2023-07-10,32.0,25.1,7.7,12.2,80.70833333333333
2023-07-11,32.7,26.2,3.7,13.9,80.45833333333333
2023-07-12,33.5,25.3,0.7,10.1,78.0
2023-07-13,33.9,26.2,0.4,14.2,73.75
2023-07-14,32.7,26.1,13.5,10.7,81.83333333333333
2023-07-15,30.9,25.4,15.3,13.3,87.875
2023-07-16,32.7,24.4,19.4,10.7,84.20833333333333
2023-07-17,30.8,24.5,12.8,10.6,86.91666666666667
2023-07-18,32.5,25.1,5.1,19.1,81.70833333333333
2023-07-19,33.3,26.1,2.3,18.0,76.54166666666667
2023-07-20,34.2,26.6,1.1,16.3,70.29166666666667
2023-07-21,35.1,27.3,1.6,20.0,66.375
2023-07-22,33.4,27.2,7.3,24.7,75.5
2023-07-23,33.7,26.2,1.4,18.3,74.375
2023-07-24,33.9,26.2,1.4,16.0,77.08333333333333
2023-07-25,34.4,25.0,12.5,16.7,75.91666666666667
2023-07-26,34.6,26.5,0.1,13.7,69.41666666666667
2023-07-27,34.8,27.5,1.0,15.5,68.75
2023-07-28,34.8,26.2,4.0,18.8,73.20833333333333
2023-07-29,33.0,24.5,9.7,18.6,80.625
2023-07-30,32.3,25.4,3.5,17.7,79.25
2023-07-31,33.0,25.3,2.4,18.8,79.0
2023-08-01,31.9,26.1,8.7,20.7,82.91666666666667
2023-08-02,29.0,25.0,34.6,29.3,90.375
2023-08-03,30.4,24.1,62.9,23.2,89.58333333333333
2023-08-04,31.1,24.9,52.3,17.9,89.08333333333333
2023-08-05,29.6,24.9,14.2,16.6,88.54166666666667
2023-08-06,28.4,24.6,6.0,22.8,86.95833333333333
2023-08-07,31.0,25.6,1.0,24.5,77.41666666666667
2023-08-08,31.6,25.6,0.8,23.6,72.95833333333333
2023-08-09,29.7,25.7,1.0,20.7,77.20833333333333
2023-08-10,31.5,25.4,1.2,20.3,77.375
2023-08-11,32.4,25.3,0.1,17.1,74.75
2023-08-12,32.7,25.6,0.2,18.8,71.95833333333333
2023-08-13,31.3,25.9,0.1,19.0,72.91666666666667
2023-08-14,31.9,25.1,2.0,11.2,77.91666666666667
2023-08-15,32.0,25.0,0.3,12.7,76.79166666666667
2023-08-16,33.0,25.6,1.1,14.1,75.0
2023-08-17,31.1,25.5,21.1,15.6,84.0
2023-08-18,31.3,23.8,22.6,14.4,87.625
2023-08-19,32.0,24.9,13.3,16.6,86.375
2023-08-20,31.9,24.9,1.8,11.6,84.45833333333333
2023-08-21,32.8,25.3,1.2,10.9,83.08333333333333
2023-08-22,31.6,25.3,19.2,10.6,87.45833333333333
2023-08-23,30.7,25.1,9.4,14.8,87.79166666666667
2023-08-24,30.6,24.6,3.9,23.8,80.54166666666667
2023-08-25,30.7,25.0,1.8,23.4,78.04166666666667
2023-08-26,31.8,25.2,0.2,19.5,74.66666666666667
2023-08-27,31.7,24.9,0.0,22.6,70.25
2023-08-28,30.8,23.9,0.2,19.5,72.375
2023-08-29,31.5,23.9,1.7,14.8,74.45833333333333
2023-08-30,32.7,23.5,0.0,14.8,72.41666666666667
2023-08-31,33.6,24.5,0.0,11.2,72.33333333333333
2023-09-01,34.5,25.0,0.0,13.0,68.91666666666667
2023-09-02,35.0,25.5,0.0,18.6,66.41666666666667
2023-09-03,34.8,25.2,0.0,15.6,65.91666666666667
2023-09-04,34.7,25.2,1.5,17.0,65.58333333333333
2023-09-05,31.1,24.9,15.5,17.2,84.25
2023-09-06,31.9,24.4,20.5,20.0,85.58333333333333
2023-09-07,31.1,23.9,22.1,18.5,88.20833333333333
2023-09-08,30.7,24.0,11.3,13.1,89.625
2023-09-09,31.3,24.5,5.1,13.8,88.45833333333333
2023-09-10,30.9,24.6,17.4,16.3,86.29166666666667
2023-09-11,30.6,24.0,13.9,12.3,89.95833333333333
2023-09-12,31.7,24.2,1.3,8.2,87.20833333333333
2023-09-13,31.8,24.7,16.1,11.8,84.91666666666667
2023-09-14,31.9,23.7,14.7,11.4,87.66666666666667
2023-09-15,30.5,24.0,39.7,25.4,89.29166666666667
2023-09-16,31.9,25.2,0.5,22.4,76.66666666666667
2023-09-17,31.8,24.4,0.0,16.5,75.66666666666667
2023-09-18,31.0,23.5,0.3,11.2,84.70833333333333
2023-09-19,31.8,23.7,3.8,10.7,86.625
2023-09-20,31.6,24.6,3.1,12.3,85.66666666666667
2023-09-21,31.9,24.6,2.9,12.1,85.0
2023-09-22,30.4,23.3,2.9,16.0,87.33333333333333
2023-09-23,31.7,23.8,0.3,17.6,84.33333333333333
2023-09-24,32.1,23.4,1.0,17.7,80.20833333333333
2023-09-25,31.8,22.4,0.0,13.6,79.91666666666667
2023-09-26,31.8,22.3,0.0,14.1,80.95833333333333
2023-09-27,31.4,22.9,1.1,10.5,83.29166666666667
2023-09-28,31.7,23.7,0.9,11.4,81.45833333333333
2023-09-29,32.2,23.4,14.8,11.7,84.0
2023-09-30,32.2,24.0,0.0,13.6,79.95833333333333
2023-10-01,32.0,23.9,1.0,12.2,80.75
2023-10-02,31.1,24.6,8.8,20.6,82.125
2023-10-03,31.9,22.4,0.0,21.9,67.16666666666667
2023-10-04,31.1,20.4,0.0,18.6,60.666666666666664
2023-10-05,31.3,21.7,0.6,16.7,77.45833333333333
2023-10-06,33.0,20.8,0.0,14.7,67.45833333333333
2023-10-07,33.6,20.2,0.0,12.9,63.25
2023-10-08,34.9,21.4,0.0,15.0,63.333333333333336
2023-10-09,35.0,23.7,0.0,15.5,59.166666666666664
2023-10-10,34.9,23.1,0.0,12.2,60.208333333333336
2023-10-11,34.3,21.7,0.0,19.9,58.833333333333336
2023-10-12,34.2,21.3,0.0,12.0,57.5
2023-10-13,34.3,21.7,0.0,13.3,51.916666666666664
2023-10-14,34.6,20.3,0.0,10.0,50.166666666666664
2023-10-15,34.7,20.6,0.0,12.0,49.708333333333336
2023-10-16,32.1,21.2,0.6,22.2,56.833333333333336
2023-10-17,30.3,20.0,2.3,19.1,71.33333333333333
2023-10-18,30.8,19.6,0.0,11.8,70.20833333333333
2023-10-19,30.8,19.3,0.0,14.5,58.0
2023-10-20,31.2,17.6,0.0,13.8,53.541666666666664
2023-10-21,31.2,17.8,0.0,14.3,54.125
2023-10-22,30.3,18.5,0.0,14.7,54.541666666666664
2023-10-23,29.6,16.7,0.0,14.4,56.833333333333336
2023-10-24,29.9,17.4,0.0,15.6,55.458333333333336
2023-10-25,30.2,16.5,0.0,13.7,54.25
2023-10-26,30.7,16.2,0.0,12.9,49.208333333333336
2023-10-27,30.4,16.4,0.0,9.4,47.375
2023-10-28,30.1,15.9,0.0,13.0,46.375
2023-10-29,30.2,16.3,0.0,9.4,55.375
2023-10-30,30.2,16.2,0.0,9.7,57.666666666666664
2023-10-31,30.1,18.3,0.0,10.8,59.625
2023-11-01,30.5,18.5,0.0,9.1,62.875
2023-11-02,30.6,19.2,0.0,8.6,61.083333333333336
2023-11-03,30.3,18.1,0.0,11.1,55.708333333333336
2023-11-04,30.6,16.1,0.0,14.2,54.875
2023-11-05,30.9,16.3,0.0,13.0,52.083333333333336
2023-11-06,31.1,16.6,0.0,16.9,51.583333333333336
2023-11-07,30.3,17.9,0.0,14.6,54.75
2023-11-08,30.6,15.2,0.0,11.2,55.041666666666664
2023-11-09,31.2,17.2,0.0,14.5,52.083333333333336
2023-11-10,30.9,17.6,0.0,10.2,56.875
2023-11-11,30.5,18.9,0.0,15.9,62.583333333333336
2023-11-12,27.3,17.0,0.0,9.4,72.375
2023-11-13,27.5,17.2,0.0,8.6,67.41666666666667
2023-11-14,27.6,17.0,0.0,10.2,65.83333333333333
2023-11-15,26.9,15.6,0.0,9.7,68.91666666666667
2023-11-16,27.1,15.8,0.0,13.8,64.04166666666667
2023-11-17,27.4,14.3,0.0,9.8,67.5
2023-11-18,27.9,15.7,0.0,11.1,67.45833333333333
2023-11-19,28.8,15.9,0.0,11.0,70.79166666666667
2023-11-20,28.6,16.3,0.0,9.0,71.0
2023-11-21,27.3,15.8,0.0,10.1,73.66666666666667
2023-11-22,27.0,14.6,0.0,11.2,68.875
2023-11-23,26.2,14.4,0.0,10.2,67.0
2023-11-24,26.4,14.1,0.0,10.4,63.291666666666664
2023-11-25,25.4,12.3,0.0,10.2,62.333333333333336
2023-11-26,25.5,11.9,0.0,9.8,63.666666666666664
2023-11-27,22.0,14.7,0.1,8.1,71.91666666666667
2023-11-28,24.2,14.5,0.0,8.9,78.375
2023-11-29,26.0,13.7,0.6,10.5,82.91666666666667
2023-11-30,22.1,17.7,21.5,15.9,91.95833333333333
2023-12-01,24.7,17.4,2.9,12.4,88.83333333333333
2023-12-02,25.4,17.2,2.8,7.6,88.125
2023-12-03,27.2,16.0,0.0,10.8,85.54166666666667
2023-12-04,27.2,17.3,2.1,13.1,84.125
2023-12-05,24.7,16.1,0.0,10.6,76.58333333333333
2023-12-06,23.0,17.9,0.4,18.5,76.25
2023-12-07,21.3,14.7,8.3,16.2,83.125
2023-12-08,23.7,13.6,0.0,7.5,83.75
2023-12-09,24.2,13.4,0.0,13.0,79.625
2023-12-10,23.8,12.1,0.0,11.6,72.58333333333333
2023-12-11,23.6,12.0,0.0,8.3,71.75
2023-12-12,23.9,11.9,0.0,9.7,72.625
2023-12-13,23.0,12.0,0.0,10.7,67.75
2023-12-14,23.0,10.1,0.0,10.5,67.125
2023-12-15,22.6,8.7,0.0,7.8,68.375
2023-12-16,22.7,9.0,0.0,8.4,69.95833333333333
2023-12-17,22.1,10.9,0.0,10.4,71.5
2023-12-18,22.2,8.6,0.0,15.3,65.91666666666667
2023-12-19,20.8,8.8,0.0,9.9,69.875
2023-12-20,20.8,8.2,0.0,9.7,73.58333333333333
