date,tmax,tmin,precip,wind,rh
2023-01-01,20.6,9.7,0.0,11.0,75.875
2023-01-02,19.9,9.0,0.0,8.9,78.08333333333333
2023-01-03,18.5,8.6,0.0,10.4,80.375
2023-01-04,17.6,7.7,0.0,10.2,80.375
2023-01-05,16.6,6.0,0.0,11.2,84.20833333333333
2023-01-06,16.8,5.9,0.0,9.8,83.33333333333333
2023-01-07,17.8,3.4,0.0,10.2,76.83333333333333
2023-01-08,19.3,9.4,0.0,9.4,54.416666666666664
2023-01-09,20.8,8.7,0.0,10.2,55.333333333333336
2023-01-10,22.0,8.2,0.0,11.8,63.958333333333336
2023-01-11,23.4,13.3,0.0,12.5,64.75
2023-01-12,24.3,11.9,0.0,13.8,65.45833333333333
2023-01-13,25.0,14.8,0.0,13.1,59.375
2023-01-14,21.2,12.2,0.0,13.8,74.0
2023-01-15,18.4,8.5,0.0,9.8,77.91666666666667
2023-01-16,17.3,7.3,0.0,10.5,64.625
2023-01-17,17.4,6.5,0.0,11.1,60.958333333333336
2023-01-18,17.8,6.2,0.0,12.0,63.958333333333336
2023-01-19,20.1,6.6,0.0,11.5,60.416666666666664
2023-01-20,24.4,10.1,0.4,17.4,63.125
2023-01-21,24.0,12.1,0.1,10.8,76.875
2023-01-22,25.0,15.0,3.2,15.5,81.375
2023-01-23,26.3,15.7,0.7,16.8,72.83333333333333
2023-01-24,26.5,16.0,0.0,16.2,68.04166666666667
2023-01-25,24.8,17.5,20.6,17.1,73.41666666666667
2023-01-26,18.8,16.8,19.0,11.4,94.16666666666667
2023-01-27,21.1,11.6,0.5,13.2,84.79166666666667
2023-01-28,21.5,9.6,0.0,9.8,60.375
2023-01-29,25.3,10.4,0.0,18.4,59.416666666666664
2023-01-30,25.7,15.1,1.4,20.9,67.04166666666667
2023-01-31,21.6,13.2,0.0,16.5,82.16666666666667
2023-02-01,20.2,10.7,0.0,12.0,73.66666666666667
2023-02-02,21.5,9.2,0.0,11.5,69.41666666666667
2023-02-03,23.1,10.9,0.0,12.1,64.83333333333333
2023-02-04,24.3,11.2,0.0,12.2,59.291666666666664
2023-02-05,25.0,12.3,0.0,12.0,54.708333333333336
2023-02-06,27.4,17.0,0.0,12.2,45.583333333333336
2023-02-07,26.3,15.1,0.0,15.1,51.625
2023-02-08,23.8,12.6,0.0,12.7,60.166666666666664
2023-02-09,25.8,12.7,0.0,11.8,53.541666666666664
2023-02-10,29.3,16.1,0.0,14.8,45.958333333333336
2023-02-11,27.5,17.7,0.0,18.2,47.583333333333336
2023-02-12,24.5,13.8,0.0,20.2,50.333333333333336
2023-02-13,22.3,11.5,0.0,20.1,43.291666666666664
2023-02-14,23.7,11.4,0.0,15.5,44.541666666666664
2023-02-15,25.9,11.9,0.0,13.0,49.541666666666664
2023-02-16,25.0,13.7,0.0,13.3,61.791666666666664
2023-02-17,25.7,13.7,0.0,10.2,66.04166666666667
2023-02-18,26.9,14.3,0.0,10.0,64.83333333333333
2023-02-19,28.2,15.1,0.0,11.9,60.625
2023-02-20,30.5,15.8,0.0,10.6,49.708333333333336
2023-02-21,31.8,19.2,0.0,17.0,37.291666666666664
2023-02-22,30.5,17.7,0.0,12.6,41.083333333333336
2023-02-23,29.3,18.8,0.0,13.0,47.375
2023-02-24,28.6,17.3,0.0,12.7,46.541666666666664
2023-02-25,29.3,17.4,0.0,13.1,48.166666666666664
2023-02-26,30.0,18.4,0.0,14.3,39.541666666666664
2023-02-27,30.2,18.5,0.0,12.7,41.041666666666664
2023-02-28,30.3,18.5,0.0,12.5,45.041666666666664
2023-03-01,31.3,19.8,0.0,13.8,43.666666666666664
2023-03-02,30.5,18.0,0.0,11.0,48.583333333333336
2023-03-03,30.6,20.5,0.0,11.5,41.666666666666664
2023-03-04,30.0,18.1,0.0,13.0,47.416666666666664
2023-03-05,29.9,17.6,0.0,15.2,51.875
2023-03-06,29.8,18.5,0.0,11.9,48.916666666666664
2023-03-07,26.5,18.0,0.8,13.0,63.166666666666664
2023-03-08,26.6,16.4,0.2,13.3,62.041666666666664
2023-03-09,26.9,16.7,3.6,12.0,58.791666666666664
2023-03-10,27.7,16.0,0.1,13.5,56.375
2023-03-11,28.6,15.7,0.0,11.3,50.583333333333336
2023-03-12,29.8,18.2,0.0,11.8,48.625
2023-03-13,30.3,18.9,0.0,10.5,47.458333333333336
2023-03-14,31.7,18.0,0.0,18.2,45.291666666666664
2023-03-15,31.7,17.7,0.1,10.0,42.166666666666664
2023-03-16,29.3,20.7,0.1,17.7,47.083333333333336
2023-03-17,28.7,19.0,1.1,17.4,59.291666666666664
2023-03-18,26.9,17.6,12.2,20.1,71.83333333333333
2023-03-19,26.0,17.5,3.8,17.2,73.83333333333333
2023-03-20,24.1,16.9,25.5,10.8,82.45833333333333
2023-03-21,27.2,16.1,5.5,15.3,75.45833333333333
2023-03-22,26.9,14.5,0.0,11.6,66.125
2023-03-23,28.3,17.7,0.4,10.4,55.416666666666664
2023-03-24,31.1,19.5,0.0,13.9,55.625
2023-03-25,31.0,21.6,0.0,16.1,49.625
2023-03-26,28.6,19.0,2.4,11.9,64.79166666666667
2023-03-27,29.6,19.1,0.0,11.3,52.458333333333336
2023-03-28,30.2,19.0,0.0,16.3,43.791666666666664
2023-03-29,31.8,20.1,0.0,13.0,39.541666666666664
2023-03-30,32.6,22.2,0.4,17.6,42.708333333333336
2023-03-31,29.0,19.4,0.1,20.1,63.5
2023-04-01,28.9,17.3,0.3,15.5,64.54166666666667
2023-04-02,30.2,17.8,0.0,17.6,50.291666666666664
2023-04-03,32.9,19.5,0.0,17.5,40.25
2023-04-04,32.6,20.0,0.1,21.7,40.416666666666664
2023-04-05,31.4,19.7,0.0,12.5,42.583333333333336
2023-04-06,32.0,20.3,0.0,13.7,34.333333333333336
2023-04-07,32.5,20.9,0.0,12.9,34.416666666666664
2023-04-08,32.3,21.3,0.2,12.8,42.333333333333336
2023-04-09,33.7,20.2,0.2,17.8,48.916666666666664
2023-04-10,33.2,20.4,0.0,13.6,32.708333333333336
2023-04-11,35.5,22.0,0.0,20.2,23.791666666666668
2023-04-12,36.2,23.5,0.0,16.2,27.041666666666668
2023-04-13,36.8,22.0,0.0,19.7,31.041666666666668
2023-04-14,37.4,24.2,0.0,15.0,28.5
