date,tmax,tmin,precip,wind,rh
2023-01-01,21.1,9.4,0.0,10.8,77.25
2023-01-02,20.3,9.2,0.0,10.4,78.04166666666667
2023-01-03,19.6,8.7,0.0,11.9,81.04166666666667
2023-01-04,18.4,7.2,0.0,10.2,82.83333333333333
2023-01-05,17.0,5.9,0.0,10.3,84.33333333333333
2023-01-06,17.8,6.2,0.0,10.2,82.91666666666667
2023-01-07,18.6,5.2,0.0,8.1,78.79166666666667
2023-01-08,20.7,4.3,0.0,9.8,68.75
2023-01-09,22.2,7.4,0.0,10.2,66.83333333333333
2023-01-10,23.2,7.6,0.0,9.0,70.54166666666667
2023-01-11,24.3,9.5,0.0,10.4,70.875
2023-01-12,26.4,11.6,0.0,11.9,64.375
2023-01-13,26.2,15.3,0.0,15.9,58.416666666666664
2023-01-14,22.4,12.6,0.0,16.0,73.41666666666667
2023-01-15,18.9,9.0,0.0,9.7,72.625
2023-01-16,18.6,6.7,0.0,10.8,60.125
2023-01-17,18.6,5.4,0.0,11.4,62.25
2023-01-18,18.9,5.4,0.0,11.3,61.5
2023-01-19,20.8,6.4,0.0,9.4,57.208333333333336
2023-01-20,22.6,8.1,0.0,15.0,69.25
2023-01-21,24.2,11.7,0.0,10.8,74.33333333333333
2023-01-22,23.8,14.4,0.3,14.6,79.79166666666667
2023-01-23,25.1,14.1,1.5,14.3,80.75
2023-01-24,26.4,14.1,0.0,10.2,80.5
2023-01-25,24.2,16.4,2.3,16.1,83.29166666666667
2023-01-26,20.6,16.9,12.0,13.3,88.875
2023-01-27,21.5,11.2,0.0,11.9,77.375
2023-01-28,21.7,8.6,0.0,10.1,64.70833333333333
2023-01-29,25.0,9.9,0.0,18.4,64.66666666666667
2023-01-30,23.5,13.0,0.0,19.3,72.125
2023-01-31,22.5,13.1,0.0,15.6,81.29166666666667
2023-02-01,20.6,9.3,0.0,12.0,75.16666666666667
2023-02-02,22.6,8.4,0.0,12.6,70.91666666666667
2023-02-03,24.4,9.6,0.0,11.8,66.5
2023-02-04,25.7,10.5,0.0,12.2,61.583333333333336
2023-02-05,26.7,11.6,0.0,11.6,59.25
2023-02-06,29.1,13.3,0.0,12.2,47.625
2023-02-07,27.7,14.6,0.0,17.1,51.041666666666664
2023-02-08,25.3,11.7,0.0,13.4,56.416666666666664
2023-02-09,27.7,11.2,0.0,9.8,53.333333333333336
2023-02-10,31.1,15.9,0.0,16.3,43.375
2023-02-11,29.4,16.7,0.0,19.3,44.791666666666664
