date,tmax,tmin,precip,wind,rh
2023-01-01,20.3,9.1,0.0,10.5,78.20833333333333
2023-01-02,19.7,8.3,0.0,9.8,79.83333333333333
2023-01-03,19.1,7.7,0.0,11.7,82.0
2023-01-04,17.7,6.4,0.0,9.9,81.16666666666667
2023-01-05,17.1,5.2,0.0,11.2,84.5
2023-01-06,17.6,5.0,0.0,9.9,84.0
2023-01-07,18.7,5.8,0.0,9.4,79.20833333333333
2023-01-08,20.5,3.5,0.0,10.8,72.08333333333333
2023-01-09,22.0,5.8,0.0,10.5,69.25
2023-01-10,22.5,6.6,0.0,7.2,67.54166666666667
2023-01-11,23.7,8.5,0.0,9.6,71.95833333333333
2023-01-12,25.3,10.9,0.0,12.3,66.91666666666667
2023-01-13,25.1,13.7,0.0,16.2,63.75
2023-01-14,21.0,11.3,0.0,15.1,68.91666666666667
2023-01-15,18.4,7.9,0.0,9.9,72.875
2023-01-16,18.3,5.0,0.0,10.6,68.45833333333333
2023-01-17,18.4,5.1,0.0,11.4,64.95833333333333
2023-01-18,18.7,5.0,0.0,11.2,64.20833333333333
2023-01-19,19.8,5.6,0.0,10.8,65.20833333333333
2023-01-20,21.7,7.7,0.7,12.0,71.66666666666667
2023-01-21,23.4,10.4,0.0,10.6,78.58333333333333
2023-01-22,23.3,13.6,0.6,13.9,83.83333333333333
2023-01-23,24.1,13.1,1.4,14.2,84.125
2023-01-24,25.4,13.2,0.0,10.8,84.20833333333333
2023-01-25,23.2,16.4,19.6,11.4,86.0
2023-01-26,20.8,16.3,4.0,13.1,89.0
2023-01-27,21.8,12.5,0.0,10.8,75.54166666666667
2023-01-28,21.5,8.1,0.0,9.7,68.20833333333333
2023-01-29,25.1,9.8,0.0,17.3,69.5
2023-01-30,23.3,14.0,0.0,19.8,70.41666666666667
2023-01-31,22.9,12.4,0.0,14.5,80.54166666666667
2023-02-01,20.7,9.5,0.0,10.7,71.75
2023-02-02,22.8,7.2,0.0,10.7,67.91666666666667
2023-02-03,24.6,8.3,0.0,10.8,64.58333333333333
2023-02-04,25.4,9.1,0.0,10.7,59.5
2023-02-05,26.4,10.4,0.0,10.9,62.791666666666664
2023-02-06,27.9,11.7,0.0,10.3,59.208333333333336
2023-02-07,27.0,13.4,0.0,14.7,56.5
2023-02-08,25.1,10.4,0.0,11.2,59.333333333333336
2023-02-09,27.1,10.5,0.0,10.4,59.0
2023-02-10,30.5,15.7,0.0,15.1,46.541666666666664
2023-02-11,28.7,16.5,0.0,18.1,45.5
2023-02-12,26.0,12.6,0.0,17.7,50.666666666666664
2023-02-13,23.6,10.9,0.0,15.3,45.541666666666664
2023-02-14,25.4,10.2,0.0,11.2,44.083333333333336
2023-02-15,27.7,11.5,0.0,10.7,52.583333333333336
2023-02-16,28.4,12.2,0.0,14.2,58.0
2023-02-17,27.1,12.8,0.0,10.8,67.08333333333333
2023-02-18,27.8,13.4,0.0,9.3,68.08333333333333
2023-02-19,29.4,12.8,0.0,10.6,64.04166666666667
2023-02-20,32.2,14.8,0.0,10.8,53.333333333333336
2023-02-21,32.8,17.7,0.0,15.7,38.875
2023-02-22,31.2,16.8,0.0,12.3,40.541666666666664
2023-02-23,30.6,16.5,0.0,11.2,52.75
2023-02-24,29.7,15.5,0.0,10.5,52.333333333333336
2023-02-25,30.2,16.0,0.0,10.4,50.708333333333336
2023-02-26,30.7,16.1,0.0,11.5,46.583333333333336
2023-02-27,31.0,16.4,0.0,11.0,41.875
2023-02-28,31.2,16.3,0.0,13.7,43.791666666666664
2023-03-01,31.8,19.0,0.5,14.9,44.75
2023-03-02,31.5,17.1,0.0,9.8,48.666666666666664
2023-03-03,32.4,18.8,0.0,10.2,50.875
2023-03-04,30.8,17.5,0.3,19.4,53.625
2023-03-05,30.6,17.0,0.1,22.9,55.291666666666664
2023-03-06,30.6,16.3,0.0,14.5,55.083333333333336
2023-03-07,25.5,17.0,2.2,14.0,69.0
2023-03-08,28.6,14.8,0.4,24.5,66.70833333333333
2023-03-09,25.9,15.3,0.2,13.3,69.33333333333333
2023-03-10,27.9,15.2,0.0,9.8,63.291666666666664
2023-03-11,29.5,15.3,0.0,11.8,51.833333333333336
2023-03-12,30.6,15.4,0.0,11.3,51.625
2023-03-13,31.1,16.7,0.0,11.1,49.791666666666664
2023-03-14,32.1,18.2,0.6,14.8,45.25
2023-03-15,33.2,16.9,0.0,10.5,45.416666666666664
2023-03-16,30.0,19.8,0.0,18.9,46.041666666666664
2023-03-17,30.2,17.2,0.6,25.8,59.125
2023-03-18,28.0,17.8,6.7,13.0,69.58333333333333
2023-03-19,28.1,17.1,1.6,17.2,70.5
2023-03-20,26.8,16.7,5.9,19.6,74.29166666666667
2023-03-21,28.0,14.9,1.5,14.4,71.54166666666667
2023-03-22,29.2,15.8,0.0,12.2,64.08333333333333
2023-03-23,29.7,16.9,0.0,9.1,53.875
2023-03-24,32.2,17.9,0.0,11.6,49.875
2023-03-25,32.1,21.2,0.0,15.1,44.666666666666664
2023-03-26,30.5,19.0,0.2,15.0,49.625
2023-03-27,30.8,18.7,0.0,11.2,51.208333333333336
2023-03-28,31.5,18.1,0.0,10.0,42.041666666666664
2023-03-29,33.0,19.0,0.0,15.3,38.708333333333336
2023-03-30,33.9,21.9,0.2,17.2,40.458333333333336
2023-03-31,30.3,19.7,1.5,16.1,53.791666666666664
2023-04-01,30.2,18.9,0.0,15.2,51.333333333333336
2023-04-02,31.0,18.6,0.1,19.9,48.875
2023-04-03,33.6,18.6,0.0,16.2,39.666666666666664
2023-04-04,33.6,19.9,0.2,25.0,37.75
2023-04-05,33.1,19.7,0.2,16.6,42.208333333333336
2023-04-06,33.3,19.7,0.0,17.4,33.5
2023-04-07,33.4,19.2,0.0,14.6,34.625
2023-04-08,32.8,21.7,0.4,13.2,43.166666666666664
2023-04-09,33.7,18.7,0.7,16.2,47.125
2023-04-10,35.1,21.5,0.0,15.8,29.25
2023-04-11,36.1,19.0,0.0,15.3,27.791666666666668
2023-04-12,37.6,21.2,0.0,13.7,27.416666666666668
2023-04-13,37.7,22.2,0.0,10.8,32.041666666666664
2023-04-14,37.7,22.7,0.0,10.2,32.208333333333336
2023-04-15,38.1,22.8,0.0,15.2,31.208333333333332
2023-04-16,38.3,24.6,0.0,20.2,29.208333333333332
2023-04-17,38.9,22.3,0.0,11.6,28.208333333333332
2023-04-18,39.3,23.4,0.0,17.7,25.375
2023-04-19,38.8,25.2,0.0,23.2,24.208333333333332
2023-04-20,38.4,25.8,0.0,18.7,26.666666666666668
2023-04-21,36.2,24.9,0.0,22.9,30.458333333333332
2023-04-22,34.8,22.3,0.0,15.9,31.25
2023-04-23,32.4,20.0,0.8,21.7,42.291666666666664
2023-04-24,32.2,19.9,3.8,27.3,51.5
2023-04-25,32.6,18.5,0.0,13.9,47.333333333333336
2023-04-26,33.6,21.5,3.4,19.9,52.75
2023-04-27,33.8,19.4,1.8,31.6,53.125
2023-04-28,33.5,23.4,2.8,24.2,46.875
2023-04-29,29.2,22.1,0.3,12.3,63.041666666666664
2023-04-30,29.7,20.1,9.6,13.7,73.29166666666667
2023-05-01,27.9,19.5,10.0,14.6,78.125
2023-05-02,31.6,19.1,3.8,15.3,68.54166666666667
2023-05-03,30.2,20.4,7.0,13.0,73.375
2023-05-04,30.9,19.5,0.2,9.9,69.58333333333333
2023-05-05,33.0,20.6,0.0,9.7,56.416666666666664
2023-05-06,35.8,21.8,0.0,11.8,45.916666666666664
2023-05-07,36.9,23.8,0.0,17.4,41.208333333333336
2023-05-08,37.7,24.4,0.1,12.0,39.083333333333336
2023-05-09,39.0,23.4,0.0,20.9,31.833333333333332
2023-05-10,38.5,21.0,0.0,20.8,20.958333333333332
2023-05-11,39.0,21.8,0.0,13.8,24.916666666666668
2023-05-12,39.9,22.1,0.0,16.2,23.666666666666668
2023-05-13,41.5,23.6,0.0,20.0,23.375
2023-05-14,40.9,24.6,0.0,20.9,24.791666666666668
2023-05-15,40.7,24.8,0.0,19.8,24.791666666666668
2023-05-16,38.9,25.9,0.0,25.9,28.291666666666668
2023-05-17,39.7,26.9,0.0,15.3,31.208333333333332
2023-05-18,37.3,26.2,0.0,21.8,35.708333333333336
2023-05-19,38.4,25.4,0.0,13.9,33.833333333333336
2023-05-20,40.6,25.4,0.0,13.6,25.125
2023-05-21,42.0,26.0,0.0,30.8,24.083333333333332
2023-05-22,42.2,28.3,0.1,19.9,27.791666666666668
2023-05-23,41.0,29.9,0.0,19.7,28.125
2023-05-24,40.3,28.5,0.0,21.7,28.375
2023-05-25,38.2,26.2,2.2,27.0,44.333333333333336
2023-05-26,35.8,24.8,0.5,16.7,48.875
2023-05-27,34.5,24.8,3.5,41.3,57.625
2023-05-28,37.0,24.8,0.3,15.5,55.791666666666664
2023-05-29,35.3,23.1,0.1,16.4,53.375
2023-05-30,36.2,23.9,0.0,17.6,58.75
2023-05-31,35.6,22.7,0.0,14.8,49.083333333333336
2023-06-01,36.7,23.8,0.0,13.9,40.666666666666664
2023-06-02,35.0,24.5,0.7,22.6,45.583333333333336
2023-06-03,38.1,25.9,0.0,10.0,39.791666666666664
2023-06-04,38.3,26.2,0.2,24.8,41.625
2023-06-05,35.7,24.7,0.0,10.1,45.708333333333336
2023-06-06,38.2,25.4,0.0,18.0,38.875
2023-06-07,38.8,25.9,0.0,16.0,34.708333333333336
2023-06-08,39.6,25.3,0.0,14.8,32.75
2023-06-09,39.2,28.3,0.1,25.7,37.791666666666664
2023-06-10,38.8,27.9,0.0,27.1,36.916666666666664
2023-06-11,39.8,30.0,0.0,30.0,31.791666666666668
2023-06-12,40.4,29.4,0.0,16.1,32.5
2023-06-13,39.8,31.1,0.0,21.9,39.916666666666664
2023-06-14,39.3,30.9,0.0,24.9,36.333333333333336
2023-06-15,39.5,30.6,0.0,23.8,37.708333333333336
2023-06-16,39.4,30.6,0.0,23.9,35.916666666666664
2023-06-17,39.3,30.3,0.0,18.0,37.416666666666664
2023-06-18,39.2,30.0,0.0,22.6,40.416666666666664
2023-06-19,37.6,28.6,5.9,28.6,53.875
2023-06-20,33.5,27.3,7.4,27.7,65.625
2023-06-21,34.3,28.1,0.6,26.5,64.125
2023-06-22,30.2,25.5,29.8,23.3,85.70833333333333
2023-06-23,33.3,25.0,6.5,19.8,79.45833333333333
2023-06-24,34.8,25.2,5.6,14.8,77.04166666666667
2023-06-25,31.4,26.1,9.3,18.7,82.45833333333333
2023-06-26,31.3,25.4,12.6,15.2,85.58333333333333
2023-06-27,32.8,24.5,40.5,23.0,83.375
2023-06-28,31.5,24.0,34.4,14.5,86.83333333333333
2023-06-29,30.0,24.1,32.6,18.4,88.5
2023-06-30,31.2,24.6,15.8,21.1,83.54166666666667
2023-07-01,31.3,24.6,9.6,18.6,84.25
2023-07-02,32.8,25.0,0.6,18.4,78.95833333333333
2023-07-03,34.0,25.7,0.2,15.8,72.91666666666667
2023-07-04,34.6,26.5,0.0,15.0,72.33333333333333
2023-07-05,31.8,26.3,8.7,10.7,86.75
2023-07-06,32.9,25.7,8.9,13.8,84.70833333333333
2023-07-07,32.2,24.7,12.5,14.2,87.33333333333333
2023-07-08,31.8,24.7,29.1,17.6,85.625
2023-07-09,31.6,24.8,11.2,23.6,83.45833333333333
2023-07-10,32.3,24.9,3.5,18.1,79.41666666666667
2023-07-11,31.4,25.3,6.2,13.8,81.79166666666667
2023-07-12,32.7,25.0,10.6,13.1,82.91666666666667
2023-07-13,31.6,24.9,5.1,9.4,85.75
2023-07-14,31.9,24.6,4.5,13.5,83.375
2023-07-15,29.7,25.2,27.0,16.7,91.625
2023-07-16,31.3,24.6,16.7,12.4,87.66666666666667
2023-07-17,31.1,24.3,28.0,12.5,87.83333333333333
2023-07-18,31.1,24.6,17.9,11.9,87.25
2023-07-19,32.5,25.6,3.5,17.1,81.54166666666667
2023-07-20,33.5,25.9,0.6,16.6,76.95833333333333
2023-07-21,34.2,26.0,0.1,16.4,72.04166666666667
2023-07-22,32.9,25.3,12.8,22.3,77.5
2023-07-23,33.1,26.2,8.2,19.5,81.29166666666667
2023-07-24,32.9,25.6,1.2,15.5,82.58333333333333
2023-07-25,33.0,25.9,1.9,11.8,81.58333333333333
2023-07-26,32.8,25.3,7.2,12.4,82.95833333333333
2023-07-27,33.3,25.2,2.9,13.4,79.58333333333333
2023-07-28,33.2,24.9,2.6,15.8,82.375
2023-07-29,32.0,24.8,4.6,18.5,81.70833333333333
2023-07-30,30.9,25.8,3.4,20.6,78.41666666666667
2023-07-31,31.6,25.4,5.4,19.4,79.45833333333333
2023-08-01,31.9,25.9,1.2,18.7,79.0
2023-08-02,31.0,25.9,11.2,22.5,84.79166666666667
2023-08-03,29.1,25.2,43.2,24.5,89.29166666666667
2023-08-04,29.7,24.5,36.1,25.3,89.83333333333333
2023-08-05,29.3,24.2,22.5,21.7,88.41666666666667
2023-08-06,29.4,24.6,21.9,18.1,88.08333333333333
2023-08-07,30.4,25.1,1.3,25.0,76.29166666666667
2023-08-08,31.3,25.0,0.1,26.4,73.45833333333333
2023-08-09,31.2,24.7,0.8,20.5,75.625
2023-08-10,32.0,25.5,1.6,19.9,76.20833333333333
2023-08-11,32.0,24.9,0.6,15.0,74.58333333333333
2023-08-12,31.8,25.2,0.2,18.4,72.58333333333333
2023-08-13,30.0,25.4,0.8,18.8,75.20833333333333
2023-08-14,30.8,24.9,0.7,12.4,78.5
2023-08-15,31.0,24.4,0.3,13.6,79.0
2023-08-16,31.8,24.9,2.5,17.0,79.375
2023-08-17,30.9,25.7,5.0,18.2,80.58333333333333
2023-08-18,32.2,24.1,10.1,15.3,84.25
2023-08-19,30.4,23.8,13.7,13.9,88.91666666666667
2023-08-20,32.0,24.2,3.6,12.0,87.5
2023-08-21,31.7,24.8,4.4,10.8,86.91666666666667
2023-08-22,31.1,25.6,7.5,16.6,86.58333333333333
2023-08-23,30.4,25.5,12.0,19.8,87.29166666666667
2023-08-24,30.3,24.9,3.0,20.8,78.58333333333333
2023-08-25,30.5,25.0,1.4,19.5,77.66666666666667
2023-08-26,31.2,24.1,0.8,16.0,74.125
2023-08-27,31.1,23.4,0.0,20.2,70.66666666666667
2023-08-28,30.9,23.7,0.0,21.3,70.83333333333333
2023-08-29,31.5,23.4,0.4,17.0,75.04166666666667
2023-08-30,32.6,24.3,0.0,14.6,71.29166666666667
2023-08-31,33.1,24.0,0.0,11.6,70.5
2023-09-01,33.8,25.0,0.0,13.1,69.08333333333333
2023-09-02,34.3,25.4,0.1,16.5,66.33333333333333
2023-09-03,34.4,25.6,0.0,15.6,60.125
2023-09-04,34.1,24.6,0.0,16.8,61.041666666666664
