date,tmax,tmin,precip,wind,rh
2023-01-01,21.9,10.3,0.0,10.7,66.20833333333333
2023-01-02,21.8,8.1,0.0,11.4,73.04166666666667
2023-01-03,21.0,8.1,0.0,14.8,75.875
2023-01-04,19.4,8.0,0.0,15.1,75.95833333333333
2023-01-05,20.3,7.4,0.0,13.6,75.66666666666667
2023-01-06,21.5,7.0,0.0,11.1,71.875
2023-01-07,21.6,5.7,0.0,9.3,68.70833333333333
2023-01-08,22.4,7.4,0.0,10.9,61.25
2023-01-09,23.8,7.6,0.0,11.6,56.708333333333336
2023-01-10,24.0,8.5,0.0,11.6,61.166666666666664
2023-01-11,23.7,9.8,0.0,11.4,59.916666666666664
2023-01-12,24.8,10.0,0.0,10.1,62.958333333333336
2023-01-13,26.1,12.5,0.0,17.2,66.79166666666667
2023-01-14,22.1,11.0,0.0,12.5,60.875
2023-01-15,20.1,8.8,0.0,11.7,70.58333333333333
2023-01-16,21.8,6.4,0.0,11.8,66.58333333333333
2023-01-17,21.2,7.9,0.0,12.5,57.75
2023-01-18,21.8,7.0,0.0,12.6,55.666666666666664
2023-01-19,23.8,7.4,0.0,9.5,62.5
2023-01-20,27.5,12.3,0.0,20.4,65.0
2023-01-21,25.7,13.2,0.2,11.5,72.83333333333333
2023-01-22,26.5,13.5,0.0,19.5,71.95833333333333
2023-01-23,26.9,14.8,0.1,20.5,68.58333333333333
2023-01-24,27.5,15.1,0.0,16.3,65.45833333333333
2023-01-25,23.6,16.6,8.2,16.0,83.04166666666667
2023-01-26,24.0,16.9,9.1,14.4,85.45833333333333
2023-01-27,23.0,15.3,0.0,15.1,84.58333333333333
2023-01-28,25.0,12.6,0.0,12.3,79.375
2023-01-29,27.7,14.2,0.0,13.7,63.375
2023-01-30,27.0,16.0,0.3,15.7,69.04166666666667
2023-01-31,23.8,13.4,0.0,16.6,77.20833333333333
2023-02-01,22.0,10.9,0.0,13.8,71.91666666666667
2023-02-02,23.1,7.2,0.0,12.3,67.54166666666667
2023-02-03,25.1,8.4,0.0,12.0,63.416666666666664
2023-02-04,25.3,9.7,0.0,12.0,51.708333333333336
2023-02-05,26.3,9.1,0.0,10.0,53.583333333333336
2023-02-06,27.6,12.5,0.0,11.5,50.333333333333336
2023-02-07,26.8,15.5,0.0,14.3,51.666666666666664
2023-02-08,25.5,10.9,0.0,10.9,52.208333333333336
2023-02-09,27.5,11.8,0.0,11.5,54.458333333333336
2023-02-10,30.3,13.4,0.0,14.1,49.458333333333336
2023-02-11,28.6,15.5,0.0,13.0,46.708333333333336
2023-02-12,27.2,13.1,0.0,13.9,46.916666666666664
2023-02-13,24.6,12.1,0.0,13.7,43.625
2023-02-14,26.2,9.8,0.0,9.0,44.833333333333336
2023-02-15,29.2,11.3,0.0,9.9,46.875
2023-02-16,29.6,12.6,0.0,10.6,52.125
2023-02-17,28.9,14.4,0.0,15.7,59.75
2023-02-18,28.7,13.6,0.0,12.1,61.916666666666664
2023-02-19,29.7,12.8,0.0,10.3,53.5
2023-02-20,31.3,12.3,0.0,10.8,47.208333333333336
2023-02-21,32.0,16.6,0.0,14.0,37.041666666666664
2023-02-22,30.4,16.6,0.0,12.8,38.458333333333336
2023-02-23,30.7,14.9,0.0,10.4,47.416666666666664
2023-02-24,30.5,16.4,0.0,12.1,46.666666666666664
2023-02-25,30.9,16.1,0.0,10.3,43.166666666666664
2023-02-26,31.4,15.7,0.0,12.2,42.458333333333336
2023-02-27,31.3,15.6,0.0,14.3,38.166666666666664
2023-02-28,32.0,17.3,0.0,14.1,37.333333333333336
2023-03-01,32.3,18.0,0.2,13.4,41.25
2023-03-02,32.0,17.5,0.0,11.9,42.333333333333336
2023-03-03,32.9,18.2,0.0,11.8,40.583333333333336
2023-03-04,33.1,18.5,0.0,17.6,37.625
2023-03-05,31.5,17.7,0.0,14.8,49.708333333333336
2023-03-06,31.5,16.4,0.0,18.8,50.208333333333336
2023-03-07,27.3,17.1,0.2,19.2,64.83333333333333
2023-03-08,28.9,14.2,0.0,14.3,58.5
2023-03-09,29.0,14.9,0.0,16.5,54.875
2023-03-10,28.6,14.8,0.0,10.7,57.666666666666664
2023-03-11,29.9,15.7,0.0,10.0,49.666666666666664
2023-03-12,31.7,15.1,0.0,11.4,44.583333333333336
2023-03-13,32.6,16.7,0.0,12.0,42.875
2023-03-14,32.3,17.9,0.0,15.0,41.166666666666664
2023-03-15,32.4,17.7,0.1,19.2,42.875
2023-03-16,28.7,19.9,0.4,18.3,52.75
2023-03-17,29.9,16.8,0.4,19.5,61.458333333333336
2023-03-18,28.5,16.9,0.7,16.5,62.416666666666664
2023-03-19,28.0,17.1,13.2,20.2,72.04166666666667
