date,tmax,tmin,precip,wind,rh
2023-01-01,22.0,9.8,0.0,9.7,67.54166666666667
2023-01-02,21.7,8.7,0.0,12.1,73.75
2023-01-03,20.9,7.9,0.0,13.3,76.20833333333333
2023-01-04,19.3,7.7,0.0,16.9,77.375
2023-01-05,19.6,7.0,0.0,15.2,77.16666666666667
2023-01-06,20.9,6.4,0.0,10.7,73.875
2023-01-07,21.5,5.7,0.0,8.8,71.08333333333333
2023-01-08,22.8,5.5,0.0,10.8,66.79166666666667
2023-01-09,24.2,6.3,0.0,11.2,58.041666666666664
2023-01-10,24.6,7.0,0.0,11.0,63.541666666666664
2023-01-11,25.2,9.7,0.0,8.3,60.25
2023-01-12,25.7,10.3,0.0,11.3,60.458333333333336
2023-01-13,26.1,11.7,0.0,17.8,66.04166666666667
2023-01-14,22.9,9.7,0.0,9.5,60.708333333333336
2023-01-15,20.5,8.5,0.0,8.8,68.16666666666667
2023-01-16,21.5,5.2,0.0,10.9,65.08333333333333
2023-01-17,21.1,7.0,0.0,12.0,57.125
2023-01-18,21.6,6.1,0.0,12.5,56.833333333333336
2023-01-19,23.1,6.6,0.0,13.2,61.458333333333336
2023-01-20,28.3,10.3,0.0,22.4,66.5
2023-01-21,26.4,12.9,0.0,10.4,72.875
2023-01-22,27.3,13.5,0.0,19.6,72.58333333333333
2023-01-23,27.9,15.3,0.0,21.3,67.70833333333333
2023-01-24,28.2,14.8,0.0,18.5,66.95833333333333
2023-01-25,24.0,16.2,9.6,13.5,82.45833333333333
2023-01-26,22.9,17.1,21.4,13.4,86.66666666666667
2023-01-27,23.2,15.0,0.0,15.0,83.04166666666667
2023-01-28,24.1,11.6,0.0,11.3,77.20833333333333
2023-01-29,28.2,12.9,0.0,14.3,67.375
2023-01-30,26.9,15.7,0.6,18.2,70.66666666666667
2023-01-31,24.0,13.1,0.0,15.8,78.04166666666667
2023-02-01,21.9,10.1,0.0,12.4,73.75
2023-02-02,22.9,6.0,0.0,10.5,71.33333333333333
2023-02-03,24.8,7.3,0.0,9.8,67.83333333333333
2023-02-04,25.6,7.6,0.0,10.2,63.083333333333336
2023-02-05,26.6,10.1,0.0,10.9,60.125
2023-02-06,28.2,11.7,0.0,11.6,52.166666666666664
2023-02-07,27.5,14.3,0.0,12.1,52.958333333333336
2023-02-08,26.2,9.1,0.0,10.0,57.291666666666664
2023-02-09,28.1,10.0,0.0,8.7,59.208333333333336
2023-02-10,31.0,12.7,0.0,13.5,50.208333333333336
2023-02-11,29.1,15.1,0.0,14.7,45.541666666666664
2023-02-12,28.0,13.4,0.0,14.0,45.666666666666664
2023-02-13,25.6,12.2,0.0,13.3,42.0
2023-02-14,27.2,10.6,0.0,10.5,44.0
2023-02-15,30.4,12.0,0.0,10.6,45.375
2023-02-16,30.7,11.8,0.0,9.5,48.833333333333336
2023-02-17,29.8,13.0,0.0,14.3,61.375
2023-02-18,29.5,12.8,0.0,11.5,61.958333333333336
2023-02-19,30.5,11.5,0.0,9.7,57.166666666666664
2023-02-20,32.2,11.9,0.0,10.9,47.583333333333336
2023-02-21,32.9,15.6,0.0,13.1,36.166666666666664
2023-02-22,31.4,16.5,0.0,12.4,36.708333333333336
2023-02-23,31.5,14.9,0.0,10.3,44.958333333333336
2023-02-24,31.4,15.5,0.0,11.6,46.666666666666664
2023-02-25,31.9,14.6,0.0,11.2,45.125
2023-02-26,32.5,15.2,0.0,10.8,38.833333333333336
2023-02-27,32.5,16.4,0.0,11.9,36.5
2023-02-28,33.0,16.8,0.0,13.4,36.833333333333336
2023-03-01,33.0,18.9,0.0,16.5,38.166666666666664
2023-03-02,32.7,17.4,0.0,10.0,43.375
2023-03-03,33.7,17.3,0.0,11.6,39.208333333333336
2023-03-04,34.3,17.8,0.0,17.7,35.875
2023-03-05,32.2,18.9,0.0,10.7,45.583333333333336
2023-03-06,32.5,16.7,0.2,25.4,49.291666666666664
2023-03-07,27.8,17.3,0.2,17.3,64.95833333333333
2023-03-08,29.5,14.2,0.0,23.4,63.25
2023-03-09,29.4,14.7,0.0,17.1,58.541666666666664
2023-03-10,29.4,14.5,0.0,14.2,59.333333333333336
2023-03-11,30.4,15.7,0.0,9.6,49.166666666666664
2023-03-12,32.7,16.0,0.0,10.4,41.5
2023-03-13,33.5,16.7,0.0,9.3,40.25
2023-03-14,33.7,17.5,0.1,23.1,41.541666666666664
2023-03-15,32.9,17.8,0.0,19.2,40.208333333333336
2023-03-16,29.9,19.7,0.7,18.1,46.416666666666664
2023-03-17,31.1,17.5,0.3,22.1,57.583333333333336
2023-03-18,29.0,17.4,0.5,15.6,59.458333333333336
2023-03-19,28.8,17.3,1.8,22.0,67.08333333333333
2023-03-20,28.1,16.4,1.1,18.5,71.20833333333333
2023-03-21,29.3,16.8,0.0,17.7,59.75
2023-03-22,30.4,17.0,0.0,17.6,56.375
2023-03-23,30.3,17.2,0.0,13.7,48.875
2023-03-24,31.5,19.5,0.0,13.1,47.833333333333336
2023-03-25,32.3,19.8,0.0,15.5,45.5
2023-03-26,32.4,19.5,0.0,14.8,38.833333333333336
2023-03-27,32.9,17.7,0.0,15.2,42.916666666666664
2023-03-28,33.3,20.4,0.0,15.9,35.583333333333336
2023-03-29,35.1,19.2,0.0,15.1,33.583333333333336
2023-03-30,35.5,19.0,0.0,20.6,32.958333333333336
2023-03-31,31.3,19.5,0.8,18.5,48.041666666666664
2023-04-01,30.5,18.6,0.0,15.2,43.708333333333336
2023-04-02,32.9,19.6,0.0,17.9,37.541666666666664
2023-04-03,35.0,19.8,0.0,21.1,32.208333333333336
2023-04-04,34.5,22.0,0.0,16.2,30.0
2023-04-05,35.9,20.5,0.0,22.4,30.75
2023-04-06,35.4,20.5,0.0,18.8,29.25
2023-04-07,36.1,19.6,0.0,11.2,29.708333333333332
2023-04-08,32.8,22.2,5.8,26.3,51.291666666666664
2023-04-09,35.4,19.3,0.0,14.6,45.666666666666664
2023-04-10,36.8,21.1,0.0,22.8,32.208333333333336
2023-04-11,38.0,20.2,0.0,17.7,27.25
2023-04-12,38.3,21.5,0.0,11.7,25.5
2023-04-13,38.7,23.7,0.0,15.9,25.208333333333332
2023-04-14,39.0,24.8,0.0,16.0,24.458333333333332
2023-04-15,37.1,25.9,0.0,16.9,25.75
