date,tmax,tmin,precip,wind,rh
2023-01-01,22.3,11.4,0.0,12.4,61.75
2023-01-02,22.1,9.7,0.0,10.9,68.45833333333333
2023-01-03,21.5,8.9,0.0,12.5,71.54166666666667
2023-01-04,19.7,8.1,0.0,15.3,73.08333333333333
2023-01-05,20.4,7.7,0.0,14.6,74.83333333333333
2023-01-06,22.3,8.4,0.0,13.7,67.875
2023-01-07,22.5,8.9,0.0,10.3,58.958333333333336
2023-01-08,23.3,7.2,0.0,9.8,60.166666666666664
2023-01-09,24.5,8.1,0.0,11.2,53.5
2023-01-10,24.7,9.1,0.0,9.9,58.416666666666664
2023-01-11,25.3,9.6,0.0,10.6,54.291666666666664
2023-01-12,25.6,11.2,0.0,10.2,59.375
2023-01-13,25.6,12.4,0.0,16.7,66.70833333333333
2023-01-14,21.7,9.0,0.0,10.5,62.416666666666664
2023-01-15,20.4,8.0,0.0,10.3,63.208333333333336
2023-01-16,22.0,6.5,0.0,11.8,60.666666666666664
2023-01-17,22.0,8.1,0.0,12.5,54.708333333333336
2023-01-18,22.3,8.1,0.0,12.4,50.791666666666664
2023-01-19,24.0,8.8,0.0,13.4,55.5
2023-01-20,27.6,13.5,0.0,20.6,63.375
2023-01-21,27.0,13.0,0.0,9.5,65.83333333333333
2023-01-22,27.5,12.9,0.0,19.2,68.95833333333333
2023-01-23,27.8,14.8,0.0,20.6,66.16666666666667
2023-01-24,27.3,14.1,0.1,19.2,68.91666666666667
2023-01-25,22.1,15.3,4.3,12.8,78.125
2023-01-26,23.3,16.5,5.7,13.3,85.75
2023-01-27,23.4,14.9,0.3,15.8,84.20833333333333
2023-01-28,25.5,13.4,0.0,12.6,76.54166666666667
2023-01-29,28.3,15.6,0.0,17.0,62.916666666666664
2023-01-30,25.7,16.3,1.8,16.1,69.5
2023-01-31,23.9,13.4,0.0,15.5,74.375
2023-02-01,22.6,10.9,0.0,13.6,69.95833333333333
2023-02-02,23.4,7.1,0.0,10.5,65.83333333333333
2023-02-03,25.2,8.7,0.0,11.2,60.25
2023-02-04,25.7,9.2,0.0,10.6,58.5
2023-02-05,26.7,11.3,0.0,9.7,52.083333333333336
2023-02-06,28.3,14.3,0.0,11.7,45.125
2023-02-07,27.1,12.8,0.0,10.8,52.916666666666664
2023-02-08,26.5,10.9,0.0,9.8,49.125
2023-02-09,28.6,12.3,0.0,8.4,47.041666666666664
2023-02-10,31.1,14.0,0.0,15.8,43.75
2023-02-11,29.8,14.0,0.0,13.2,43.208333333333336
2023-02-12,27.1,13.4,0.0,16.2,48.708333333333336
2023-02-13,25.4,11.4,0.0,11.6,42.083333333333336
2023-02-14,26.7,10.0,0.0,10.3,40.791666666666664
2023-02-15,29.7,11.7,0.0,11.4,44.375
2023-02-16,30.2,14.5,0.0,13.1,44.208333333333336
2023-02-17,29.8,14.3,0.0,14.6,46.666666666666664
2023-02-18,29.4,13.5,0.0,10.2,59.0
2023-02-19,30.6,13.4,0.0,9.8,50.958333333333336
2023-02-20,32.1,14.7,0.0,10.5,44.666666666666664
2023-02-21,32.7,15.2,0.0,12.4,32.791666666666664
2023-02-22,30.5,14.4,0.0,11.2,37.083333333333336
2023-02-23,30.9,15.4,0.0,11.5,42.958333333333336
2023-02-24,31.1,14.7,0.0,11.9,40.458333333333336
2023-02-25,31.6,14.4,0.0,12.5,40.666666666666664
2023-02-26,32.0,15.9,0.0,11.6,32.458333333333336
2023-02-27,32.0,15.3,0.0,13.4,35.208333333333336
2023-02-28,32.7,18.2,0.0,15.9,33.583333333333336
2023-03-01,32.9,18.2,0.0,14.9,36.083333333333336
2023-03-02,32.7,17.7,0.0,12.5,40.375
2023-03-03,33.4,19.5,0.0,13.0,34.125
2023-03-04,34.0,21.5,0.1,16.6,31.708333333333332
2023-03-05,32.2,19.8,0.1,14.3,45.875
2023-03-06,32.2,17.6,0.1,20.7,48.5
2023-03-07,28.2,17.4,0.7,18.9,63.5
2023-03-08,30.4,14.9,0.0,17.9,54.541666666666664
2023-03-09,29.2,15.4,0.0,15.0,49.375
2023-03-10,29.7,14.5,0.0,14.4,52.5
2023-03-11,30.8,17.8,0.0,13.4,42.541666666666664
2023-03-12,32.2,18.2,0.0,12.0,36.375
2023-03-13,33.1,19.1,0.0,14.8,34.333333333333336
2023-03-14,33.4,18.9,0.3,22.1,36.708333333333336
2023-03-15,33.3,18.3,0.0,19.5,35.083333333333336
2023-03-16,29.7,20.7,0.7,20.0,43.833333333333336
2023-03-17,29.3,17.7,0.5,15.7,56.5
2023-03-18,28.9,17.1,1.5,14.0,62.25
2023-03-19,27.5,16.8,18.3,23.1,71.04166666666667
2023-03-20,27.5,15.7,0.0,17.1,68.91666666666667
2023-03-21,29.0,16.4,0.4,16.6,56.541666666666664
2023-03-22,29.7,17.5,0.0,10.6,54.375
2023-03-23,29.7,16.9,0.0,11.1,50.875
2023-03-24,31.6,19.1,0.0,15.3,48.458333333333336
2023-03-25,31.8,19.2,0.0,12.2,46.125
2023-03-26,32.1,17.8,0.0,16.2,35.333333333333336
2023-03-27,32.7,17.7,0.0,14.9,36.083333333333336
2023-03-28,32.7,19.6,0.0,17.9,38.291666666666664
2023-03-29,35.2,19.0,0.0,17.3,31.5
2023-03-30,34.5,19.6,0.0,20.4,30.333333333333332
2023-03-31,31.6,20.0,0.5,19.4,42.25
2023-04-01,30.8,17.7,0.0,14.5,43.041666666666664
2023-04-02,32.5,19.0,0.0,14.8,37.75
2023-04-03,34.1,19.1,0.0,16.3,32.333333333333336
2023-04-04,34.2,20.7,0.0,16.5,31.583333333333332
2023-04-05,34.6,20.8,0.0,22.2,29.833333333333332
2023-04-06,34.6,19.7,0.0,11.0,27.5
2023-04-07,35.6,20.4,0.0,20.7,28.333333333333332
2023-04-08,34.2,21.8,0.3,25.9,49.958333333333336
2023-04-09,35.0,19.8,0.0,13.7,43.708333333333336
2023-04-10,35.5,21.6,0.0,9.8,34.541666666666664
2023-04-11,37.0,22.7,0.0,13.4,25.375
2023-04-12,38.0,22.0,0.0,14.1,26.166666666666668
2023-04-13,38.0,24.2,0.0,17.5,25.291666666666668
2023-04-14,38.2,24.5,0.0,16.6,24.375
2023-04-15,36.9,24.2,0.0,16.6,26.666666666666668
2023-04-16,37.1,24.3,0.0,15.2,30.416666666666668
2023-04-17,38.5,23.8,0.0,20.7,20.833333333333332
2023-04-18,39.2,23.4,0.0,13.3,19.0
2023-04-19,39.0,26.4,0.1,18.7,21.416666666666668
2023-04-20,38.2,26.1,0.0,24.7,26.791666666666668
2023-04-21,36.2,23.0,0.0,17.8,28.375
2023-04-22,35.6,23.9,0.0,17.0,25.0
2023-04-23,35.5,21.4,0.0,37.9,28.791666666666668
2023-04-24,35.3,19.9,0.0,20.9,30.458333333333332
2023-04-25,35.6,21.4,0.0,19.6,35.375
2023-04-26,33.4,22.3,2.9,18.1,46.083333333333336
2023-04-27,31.9,20.1,0.8,21.1,52.75
2023-04-28,32.8,21.2,3.3,22.4,58.083333333333336
2023-04-29,31.5,19.8,0.0,15.8,72.0
2023-04-30,28.5,19.5,10.0,11.3,81.0
2023-05-01,29.5,18.6,2.8,16.2,71.75
2023-05-02,31.0,19.8,4.3,14.4,64.75
2023-05-03,31.5,19.7,5.2,12.2,73.25
2023-05-04,31.7,20.6,0.0,15.2,64.45833333333333
2023-05-05,31.7,22.2,1.2,9.5,63.958333333333336
2023-05-06,35.7,22.0,0.0,16.4,46.875
2023-05-07,36.5,24.2,0.0,15.0,40.208333333333336
2023-05-08,37.4,23.7,0.0,14.7,33.458333333333336
2023-05-09,40.0,24.2,0.0,19.7,23.5
2023-05-10,40.0,23.3,0.0,15.8,15.458333333333334
2023-05-11,40.7,23.9,0.0,11.4,15.208333333333334
2023-05-12,41.0,24.3,0.0,15.1,15.083333333333334
2023-05-13,43.7,24.0,0.0,26.0,13.791666666666666
2023-05-14,42.3,27.0,0.0,20.5,16.541666666666668
2023-05-15,40.5,28.5,0.0,19.2,25.125
2023-05-16,38.2,27.7,0.0,19.2,38.375
2023-05-17,39.0,27.3,0.0,19.8,39.416666666666664
2023-05-18,40.0,26.7,0.0,17.9,27.75
2023-05-19,40.0,27.8,0.0,16.2,23.958333333333332
2023-05-20,40.9,27.8,0.0,17.7,23.708333333333332
2023-05-21,41.2,28.0,2.2,27.0,32.666666666666664
2023-05-22,38.8,27.2,0.4,19.8,35.0
2023-05-23,40.0,27.9,0.0,19.2,28.041666666666668
2023-05-24,39.9,27.8,0.0,22.6,28.166666666666668
2023-05-25,38.4,27.8,0.0,28.1,32.875
2023-05-26,37.1,26.0,0.0,20.3,36.958333333333336
2023-05-27,38.5,26.8,0.0,21.5,38.875
2023-05-28,36.6,27.1,2.3,29.2,45.875
2023-05-29,36.5,23.1,0.0,11.9,43.25
2023-05-30,38.2,26.0,0.0,21.8,39.5
2023-05-31,37.2,23.2,0.0,21.6,39.041666666666664
2023-06-01,39.4,25.7,0.0,21.6,25.0
2023-06-02,39.4,28.1,0.0,19.8,28.041666666666668
2023-06-03,39.3,28.5,0.1,16.2,36.541666666666664
2023-06-04,38.8,25.9,1.0,27.9,35.0
2023-06-05,38.2,26.5,0.0,19.6,33.25
2023-06-06,38.4,26.0,0.1,17.6,34.541666666666664
2023-06-07,40.2,27.2,0.0,19.7,31.083333333333332
2023-06-08,40.2,27.4,0.1,18.3,36.0
2023-06-09,39.2,28.5,0.0,21.3,38.25
2023-06-10,39.8,29.0,0.0,21.5,34.5
2023-06-11,38.6,28.4,0.0,21.1,36.875
2023-06-12,39.1,27.7,2.3,24.1,41.958333333333336
2023-06-13,39.6,29.5,0.1,19.5,35.5
2023-06-14,38.9,28.6,0.0,20.2,41.75
2023-06-15,38.9,27.3,0.0,19.1,42.958333333333336
2023-06-16,37.8,28.1,0.0,19.9,40.708333333333336
2023-06-17,37.1,27.7,0.0,24.7,45.833333333333336
2023-06-18,37.1,26.4,0.1,25.0,46.458333333333336
2023-06-19,35.3,27.0,1.1,26.4,54.375
2023-06-20,35.0,26.3,8.3,20.8,62.208333333333336
2023-06-21,36.7,27.2,1.5,18.9,57.208333333333336
2023-06-22,33.3,25.4,0.6,16.9,67.16666666666667
2023-06-23,33.6,25.0,17.9,15.6,77.0
2023-06-24,30.1,23.9,7.9,15.5,82.54166666666667
2023-06-25,32.5,24.0,14.6,13.8,82.95833333333333
2023-06-26,29.8,23.5,7.4,15.2,87.91666666666667
2023-06-27,29.1,23.5,5.1,17.6,85.875
2023-06-28,30.0,23.9,17.5,17.0,85.625
2023-06-29,29.5,22.8,19.5,19.2,87.83333333333333
2023-06-30,28.3,23.6,15.9,23.7,87.66666666666667
2023-07-01,28.9,23.9,20.9,17.8,87.29166666666667
2023-07-02,30.3,23.9,3.9,16.7,83.29166666666667
2023-07-03,31.7,23.9,0.3,13.8,79.75
2023-07-04,32.9,25.8,1.8,14.8,78.25
2023-07-05,32.6,23.5,19.5,18.4,83.25
2023-07-06,31.1,24.5,26.0,9.4,85.91666666666667
2023-07-07,28.9,24.2,4.9,11.8,86.70833333333333
2023-07-08,30.2,23.9,2.1,17.3,82.70833333333333
2023-07-09,29.2,24.3,13.8,23.5,85.66666666666667
2023-07-10,30.5,23.9,10.0,22.6,82.75
2023-07-11,28.3,24.0,33.7,17.7,89.66666666666667
2023-07-12,30.2,22.8,46.3,18.0,89.875
2023-07-13,28.8,22.9,52.8,15.3,90.08333333333333
2023-07-14,28.6,24.0,20.8,14.9,89.25
2023-07-15,28.7,23.3,34.2,14.9,91.41666666666667
2023-07-16,28.9,23.0,17.0,17.3,90.75
2023-07-17,29.2,23.2,30.7,17.4,89.625
2023-07-18,29.2,23.7,30.8,15.0,90.0
2023-07-19,30.5,23.4,8.6,14.8,87.875
2023-07-20,31.3,24.1,16.9,14.1,88.04166666666667
2023-07-21,31.5,23.8,13.3,15.6,87.04166666666667
2023-07-22,30.6,23.7,29.3,17.6,87.20833333333333
2023-07-23,31.1,23.9,8.7,15.9,86.66666666666667
2023-07-24,30.0,23.6,2.3,14.8,85.83333333333333
2023-07-25,30.8,23.9,3.0,13.7,84.70833333333333
2023-07-26,30.6,24.2,3.7,12.6,83.875
2023-07-27,30.7,23.7,6.9,16.2,85.41666666666667
2023-07-28,30.1,23.4,9.2,14.8,86.875
2023-07-29,29.8,24.2,6.8,19.2,81.16666666666667
2023-07-30,30.3,24.2,3.0,19.6,80.375
2023-07-31,30.9,23.9,3.7,18.0,80.16666666666667
2023-08-01,30.8,24.1,3.4,21.1,79.95833333333333
2023-08-02,29.6,24.5,2.9,23.6,81.20833333333333
2023-08-03,24.9,23.2,22.6,21.1,92.125
2023-08-04,25.8,23.1,15.7,21.0,90.70833333333333
2023-08-05,28.9,23.4,4.7,18.6,85.875
2023-08-06,29.3,23.6,7.0,18.7,82.04166666666667
2023-08-07,29.5,23.8,0.2,25.1,76.75
2023-08-08,29.7,23.7,0.4,22.1,76.5
2023-08-09,30.1,23.1,0.5,20.6,76.79166666666667
2023-08-10,30.1,22.8,1.8,15.7,79.5
2023-08-11,29.6,22.5,2.5,16.7,81.66666666666667
2023-08-12,29.3,22.9,1.6,17.9,80.04166666666667
2023-08-13,29.1,22.9,0.8,18.7,78.125
2023-08-14,29.0,23.0,2.9,17.2,81.75
2023-08-15,29.0,22.8,2.6,13.4,83.75
2023-08-16,29.9,23.0,2.4,16.0,81.875
2023-08-17,29.9,23.4,4.6,17.1,80.25
2023-08-18,29.5,23.3,14.6,17.1,87.08333333333333
2023-08-19,28.2,22.5,46.3,19.8,90.0
2023-08-20,29.4,23.1,14.7,11.8,90.04166666666667
2023-08-21,29.7,23.7,5.7,15.5,86.54166666666667
2023-08-22,30.6,22.5,7.9,14.2,86.20833333333333
2023-08-23,29.3,23.7,5.3,19.1,86.33333333333333
2023-08-24,28.7,22.7,1.0,21.1,80.79166666666667
2023-08-25,30.2,22.7,0.1,21.7,75.45833333333333
2023-08-26,30.2,22.4,1.1,19.5,78.625
2023-08-27,29.3,21.8,0.6,17.7,78.83333333333333
2023-08-28,29.5,21.5,0.6,20.2,74.875
2023-08-29,29.6,21.4,0.9,18.1,76.75
2023-08-30,30.2,21.5,0.4,16.0,76.04166666666667
2023-08-31,30.9,22.0,0.2,10.6,75.875
2023-09-01,32.0,23.1,0.0,12.8,73.375
2023-09-02,32.5,24.0,0.0,13.8,70.04166666666667
2023-09-03,32.4,23.8,0.2,14.2,66.20833333333333
2023-09-04,32.1,23.9,0.0,17.8,65.70833333333333
2023-09-05,32.2,23.9,3.4,24.9,69.33333333333333
2023-09-06,29.3,23.0,17.7,17.7,88.75
2023-09-07,28.5,22.8,9.5,17.3,91.08333333333333
2023-09-08,28.6,23.6,19.1,12.3,91.0
2023-09-09,28.0,23.2,13.0,17.7,91.16666666666667
2023-09-10,29.1,23.0,2.5,20.8,86.29166666666667
2023-09-11,30.0,24.1,5.6,21.9,77.91666666666667
2023-09-12,30.0,23.8,1.0,20.6,78.79166666666667
2023-09-13,28.6,23.7,6.9,19.3,80.70833333333333
2023-09-14,28.7,23.0,17.5,13.3,90.95833333333333
2023-09-15,28.6,22.6,50.3,24.9,92.625
2023-09-16,27.0,22.5,25.5,23.2,91.58333333333333
2023-09-17,26.3,22.2,18.7,36.8,87.5
2023-09-18,29.0,22.2,0.4,20.1,82.375
2023-09-19,30.2,22.1,0.0,12.0,81.0
2023-09-20,30.2,22.4,2.4,7.1,84.04166666666667
2023-09-21,30.0,23.5,8.8,12.4,86.66666666666667
2023-09-22,29.8,23.4,1.3,15.5,87.04166666666667
2023-09-23,29.9,22.7,5.4,12.1,87.08333333333333
2023-09-24,30.9,23.1,2.3,12.0,85.875
2023-09-25,30.0,22.5,1.9,13.6,84.66666666666667
2023-09-26,30.4,22.5,1.8,12.0,82.79166666666667
2023-09-27,30.9,22.5,1.2,12.1,80.75
2023-09-28,31.3,22.2,0.0,11.6,76.08333333333333
2023-09-29,31.5,22.1,0.0,13.1,74.66666666666667
2023-09-30,31.9,21.3,0.0,15.2,64.66666666666667
2023-10-01,31.7,20.8,0.0,16.6,61.791666666666664
2023-10-02,32.6,21.1,0.0,19.4,58.541666666666664
2023-10-03,32.7,19.8,0.0,16.1,52.875
2023-10-04,32.4,18.9,0.0,16.8,53.291666666666664
2023-10-05,32.5,19.7,0.0,18.7,53.625
2023-10-06,32.6,18.8,0.0,16.1,53.041666666666664
2023-10-07,33.2,20.6,0.0,14.0,58.375
2023-10-08,33.4,20.8,0.0,12.3,57.5
2023-10-09,33.7,21.4,0.0,14.5,53.708333333333336
2023-10-10,33.5,21.2,0.0,14.3,54.125
2023-10-11,33.3,21.6,0.0,12.6,49.791666666666664
2023-10-12,33.4,20.0,0.0,12.5,49.708333333333336
2023-10-13,33.4,20.2,0.0,9.8,48.541666666666664
2023-10-14,32.8,21.0,0.0,11.5,47.791666666666664
2023-10-15,33.2,21.4,0.0,14.6,43.083333333333336
2023-10-16,29.9,21.0,3.1,13.4,63.75
2023-10-17,31.7,19.7,0.0,10.2,59.333333333333336
2023-10-18,31.0,19.5,0.0,10.2,59.708333333333336
2023-10-19,30.5,20.5,0.0,12.1,60.25
2023-10-20,31.6,20.3,0.0,10.8,51.791666666666664
2023-10-21,32.0,19.5,0.0,13.9,42.458333333333336
2023-10-22,32.1,18.4,0.0,14.5,44.25
2023-10-23,30.9,18.6,0.0,16.7,46.083333333333336
2023-10-24,30.6,18.8,0.0,13.7,45.375
2023-10-25,30.4,17.1,0.0,13.4,42.875
2023-10-26,30.9,17.8,0.0,15.0,39.791666666666664
2023-10-27,30.7,18.1,0.0,11.9,41.583333333333336
2023-10-28,30.8,16.3,0.0,13.7,45.291666666666664
2023-10-29,30.9,17.6,0.0,12.1,45.166666666666664
2023-10-30,31.3,18.7,0.0,13.7,46.583333333333336
2023-10-31,31.0,17.7,0.0,15.2,51.833333333333336
2023-11-01,30.7,18.2,0.0,11.9,53.291666666666664
2023-11-02,30.4,18.7,0.0,12.6,52.791666666666664
2023-11-03,30.9,17.2,0.0,14.7,48.875
2023-11-04,31.2,17.3,0.0,9.7,43.75
2023-11-05,31.5,18.9,0.0,12.2,39.958333333333336
2023-11-06,31.5,17.8,0.0,11.0,41.541666666666664
2023-11-07,31.4,17.7,0.0,11.7,40.333333333333336
2023-11-08,31.6,17.4,0.0,14.4,42.0
2023-11-09,31.9,18.8,0.0,10.2,42.708333333333336
2023-11-10,33.0,17.8,0.0,11.5,44.666666666666664
2023-11-11,31.1,18.6,0.0,13.4,43.208333333333336
2023-11-12,29.4,16.8,0.0,11.6,53.625
2023-11-13,27.5,15.4,0.0,10.9,61.666666666666664
2023-11-14,28.7,15.7,0.0,10.5,54.958333333333336
